trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,adaptive-prasle-line,10,60,1994,60159,159
2,adaptive-prasle-line,10,60,1570,60035,35
3,adaptive-prasle-line,10,60,2166,62046,2046
4,adaptive-prasle-line,10,60,1977,60547,547
5,adaptive-prasle-line,10,60,1625,64126,4126
6,adaptive-prasle-line,10,60,2115,60600,600
7,adaptive-prasle-line,10,60,1749,61978,1978
8,adaptive-prasle-line,10,60,1633,61875,1875
9,adaptive-prasle-line,10,60,1779,60838,838
10,adaptive-prasle-line,10,60,1500,60484,484
11,adaptive-prasle-line,10,60,1931,60535,535
12,adaptive-prasle-line,10,60,2302,60512,512
13,adaptive-prasle-line,10,60,1800,60934,934
14,adaptive-prasle-line,10,60,1786,65089,5089
15,adaptive-prasle-line,10,60,1797,61765,1765
16,adaptive-prasle-line,10,60,1733,62420,2420
17,adaptive-prasle-line,10,60,1689,61161,1161
18,adaptive-prasle-line,10,60,1688,63050,3050
19,adaptive-prasle-line,10,60,1814,65398,5398
20,adaptive-prasle-line,10,60,1553,60849,849
21,adaptive-prasle-line,10,60,1867,64865,4865
22,adaptive-prasle-line,10,60,1676,63907,3907
23,adaptive-prasle-line,10,60,1714,61629,1629
24,adaptive-prasle-line,10,60,1894,66582,6582
25,adaptive-prasle-line,10,60,1625,62464,2464
26,adaptive-prasle-line,10,60,1813,66908,6908
27,adaptive-prasle-line,10,60,2218,62562,2562
28,adaptive-prasle-line,10,60,1460,64239,4239
29,adaptive-prasle-line,10,60,1816,60251,251
30,adaptive-prasle-line,10,60,1918,61992,1992
31,adaptive-prasle-line,10,60,1763,62630,2630
32,adaptive-prasle-line,10,60,1807,62063,2063
33,adaptive-prasle-line,10,60,2176,60082,82
34,adaptive-prasle-line,10,60,1730,61222,1222
35,adaptive-prasle-line,10,60,1956,65223,5223
36,adaptive-prasle-line,10,60,2056,64797,4797
37,adaptive-prasle-line,10,60,1751,64868,4868
38,adaptive-prasle-line,10,60,1892,62500,2500
39,adaptive-prasle-line,10,60,1655,62026,2026
40,adaptive-prasle-line,10,60,1887,62613,2613
41,adaptive-prasle-line,10,60,1906,60055,55
42,adaptive-prasle-line,10,60,1594,61127,1127
43,adaptive-prasle-line,10,60,1978,64871,4871
44,adaptive-prasle-line,10,60,1569,61956,1956
45,adaptive-prasle-line,10,60,2152,62144,2144
46,adaptive-prasle-line,10,60,1856,62713,2713
47,adaptive-prasle-line,10,60,1442,60433,433
48,adaptive-prasle-line,10,60,2258,62023,2023
49,adaptive-prasle-line,10,60,1906,60059,59
50,adaptive-prasle-line,10,60,2059,61812,1812
51,adaptive-prasle-line,10,60,1634,60061,61
52,adaptive-prasle-line,10,60,1669,60284,284
53,adaptive-prasle-line,10,60,1950,60023,23
54,adaptive-prasle-line,10,60,1871,60493,493
55,adaptive-prasle-line,10,60,1991,60129,129
56,adaptive-prasle-line,10,60,1755,65034,5034
57,adaptive-prasle-line,10,60,1947,61735,1735
58,adaptive-prasle-line,10,60,1590,63537,3537
59,adaptive-prasle-line,10,60,1745,60488,488
60,adaptive-prasle-line,10,60,1676,60489,489
61,adaptive-prasle-line,10,60,2010,65649,5649
62,adaptive-prasle-line,10,60,1887,60946,946
63,adaptive-prasle-line,10,60,1557,60066,66
64,adaptive-prasle-line,10,60,2140,62520,2520
65,adaptive-prasle-line,10,60,1723,60753,753
66,adaptive-prasle-line,10,60,1854,61526,1526
67,adaptive-prasle-line,10,60,2060,63532,3532
68,adaptive-prasle-line,10,60,1844,62238,2238
69,adaptive-prasle-line,10,60,2096,60412,412
70,adaptive-prasle-line,10,60,2087,60894,894
71,adaptive-prasle-line,10,60,1612,67446,7446
72,adaptive-prasle-line,10,60,1914,60784,784
73,adaptive-prasle-line,10,60,1909,62097,2097
74,adaptive-prasle-line,10,60,1869,61065,1065
75,adaptive-prasle-line,10,60,2022,60003,3
76,adaptive-prasle-line,10,60,1786,60469,469
77,adaptive-prasle-line,10,60,1570,63349,3349
78,adaptive-prasle-line,10,60,2111,61179,1179
79,adaptive-prasle-line,10,60,1817,60807,807
80,adaptive-prasle-line,10,60,1684,60885,885
81,adaptive-prasle-line,10,60,1707,63833,3833
82,adaptive-prasle-line,10,60,1818,60857,857
83,adaptive-prasle-line,10,60,2234,60215,215
84,adaptive-prasle-line,10,60,1854,70644,10644
85,adaptive-prasle-line,10,60,2278,60721,721
86,adaptive-prasle-line,10,60,1592,65585,5585
87,adaptive-prasle-line,10,60,2391,63071,3071
88,adaptive-prasle-line,10,60,1553,63836,3836
89,adaptive-prasle-line,10,60,2215,60097,97
90,adaptive-prasle-line,10,60,1664,65453,5453
91,adaptive-prasle-line,10,60,1529,64251,4251
92,adaptive-prasle-line,10,60,1816,61949,1949
93,adaptive-prasle-line,10,60,2268,60554,554
94,adaptive-prasle-line,10,60,2126,60107,107
95,adaptive-prasle-line,10,60,1946,62824,2824
96,adaptive-prasle-line,10,60,1715,60896,896
97,adaptive-prasle-line,10,60,1890,60043,43
98,adaptive-prasle-line,10,60,1903,63178,3178
99,adaptive-prasle-line,10,60,1670,64331,4331
100,adaptive-prasle-line,10,60,1932,60136,136
