trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,adaptive-prasle-line,10,70,1826,NA
2,adaptive-prasle-line,10,70,2298,NA
3,adaptive-prasle-line,10,70,1578,NA
4,adaptive-prasle-line,10,70,1536,NA
5,adaptive-prasle-line,10,70,1883,NA
6,adaptive-prasle-line,10,70,1533,NA
7,adaptive-prasle-line,10,70,1768,NA
8,adaptive-prasle-line,10,70,1878,NA
9,adaptive-prasle-line,10,70,1517,NA
10,adaptive-prasle-line,10,70,1961,NA
11,adaptive-prasle-line,10,70,1470,NA
12,adaptive-prasle-line,10,70,1791,NA
13,adaptive-prasle-line,10,70,1730,NA
14,adaptive-prasle-line,10,70,1624,NA
15,adaptive-prasle-line,10,70,1641,NA
16,adaptive-prasle-line,10,70,1802,NA
17,adaptive-prasle-line,10,70,1921,NA
18,adaptive-prasle-line,10,70,1541,NA
19,adaptive-prasle-line,10,70,1758,NA
20,adaptive-prasle-line,10,70,1792,NA
21,adaptive-prasle-line,10,70,1784,NA
22,adaptive-prasle-line,10,70,2163,NA
23,adaptive-prasle-line,10,70,1784,NA
24,adaptive-prasle-line,10,70,1810,NA
25,adaptive-prasle-line,10,70,1697,NA
26,adaptive-prasle-line,10,70,1684,NA
27,adaptive-prasle-line,10,70,1834,NA
28,adaptive-prasle-line,10,70,1945,NA
29,adaptive-prasle-line,10,70,1499,NA
30,adaptive-prasle-line,10,70,1582,NA
31,adaptive-prasle-line,10,70,1793,NA
32,adaptive-prasle-line,10,70,1925,NA
33,adaptive-prasle-line,10,70,1656,NA
34,adaptive-prasle-line,10,70,1658,NA
35,adaptive-prasle-line,10,70,1676,NA
36,adaptive-prasle-line,10,70,1599,NA
37,adaptive-prasle-line,10,70,1616,NA
38,adaptive-prasle-line,10,70,1511,NA
39,adaptive-prasle-line,10,70,1524,NA
40,adaptive-prasle-line,10,70,2063,NA
41,adaptive-prasle-line,10,70,1860,NA
42,adaptive-prasle-line,10,70,1887,NA
43,adaptive-prasle-line,10,70,1702,NA
44,adaptive-prasle-line,10,70,1773,NA
45,adaptive-prasle-line,10,70,1990,NA
46,adaptive-prasle-line,10,70,2190,NA
47,adaptive-prasle-line,10,70,1839,NA
48,adaptive-prasle-line,10,70,1738,NA
49,adaptive-prasle-line,10,70,1962,NA
50,adaptive-prasle-line,10,70,1730,NA
51,adaptive-prasle-line,10,70,1659,NA
52,adaptive-prasle-line,10,70,1854,NA
53,adaptive-prasle-line,10,70,2024,NA
54,adaptive-prasle-line,10,70,2125,NA
55,adaptive-prasle-line,10,70,2040,NA
56,adaptive-prasle-line,10,70,1486,NA
57,adaptive-prasle-line,10,70,1992,NA
58,adaptive-prasle-line,10,70,1712,NA
59,adaptive-prasle-line,10,70,2113,NA
60,adaptive-prasle-line,10,70,1555,NA
61,adaptive-prasle-line,10,70,1728,NA
62,adaptive-prasle-line,10,70,1441,NA
63,adaptive-prasle-line,10,70,1637,NA
64,adaptive-prasle-line,10,70,1580,NA
65,adaptive-prasle-line,10,70,1570,NA
66,adaptive-prasle-line,10,70,2014,NA
67,adaptive-prasle-line,10,70,1820,NA
68,adaptive-prasle-line,10,70,1687,NA
69,adaptive-prasle-line,10,70,1790,NA
70,adaptive-prasle-line,10,70,1679,NA
71,adaptive-prasle-line,10,70,1633,NA
72,adaptive-prasle-line,10,70,1925,NA
73,adaptive-prasle-line,10,70,1663,NA
74,adaptive-prasle-line,10,70,1768,NA
75,adaptive-prasle-line,10,70,2124,NA
76,adaptive-prasle-line,10,70,1683,NA
77,adaptive-prasle-line,10,70,1836,NA
78,adaptive-prasle-line,10,70,1813,NA
79,adaptive-prasle-line,10,70,1923,NA
80,adaptive-prasle-line,10,70,1625,NA
81,adaptive-prasle-line,10,70,1739,NA
82,adaptive-prasle-line,10,70,2107,NA
83,adaptive-prasle-line,10,70,1817,NA
84,adaptive-prasle-line,10,70,2027,NA
85,adaptive-prasle-line,10,70,1822,NA
86,adaptive-prasle-line,10,70,1492,NA
87,adaptive-prasle-line,10,70,2291,NA
88,adaptive-prasle-line,10,70,1922,NA
89,adaptive-prasle-line,10,70,1485,NA
90,adaptive-prasle-line,10,70,1906,NA
91,adaptive-prasle-line,10,70,1760,NA
92,adaptive-prasle-line,10,70,1619,NA
93,adaptive-prasle-line,10,70,2206,NA
94,adaptive-prasle-line,10,70,1668,NA
95,adaptive-prasle-line,10,70,1742,NA
96,adaptive-prasle-line,10,70,1846,NA
97,adaptive-prasle-line,10,70,1656,NA
98,adaptive-prasle-line,10,70,1604,NA
99,adaptive-prasle-line,10,70,1780,NA
100,adaptive-prasle-line,10,70,1560,NA
