trial,algorithm,node_count,convergence_time_ms
1,adaptive-prasle-mesh,100,1569
9,adaptive-prasle-mesh,100,1654
4,adaptive-prasle-mesh,100,1603
2,adaptive-prasle-mesh,100,1613
3,adaptive-prasle-mesh,100,1538
5,adaptive-prasle-mesh,100,1635
7,adaptive-prasle-mesh,100,1749
6,adaptive-prasle-mesh,100,1530
8,adaptive-prasle-mesh,100,1496
12,adaptive-prasle-mesh,100,1508
10,adaptive-prasle-mesh,100,1660
14,adaptive-prasle-mesh,100,1457
11,adaptive-prasle-mesh,100,1527
13,adaptive-prasle-mesh,100,1488
15,adaptive-prasle-mesh,100,1621
16,adaptive-prasle-mesh,100,1560
17,adaptive-prasle-mesh,100,1596
18,adaptive-prasle-mesh,100,1562
19,adaptive-prasle-mesh,100,1569
21,adaptive-prasle-mesh,100,1608
20,adaptive-prasle-mesh,100,1660
22,adaptive-prasle-mesh,100,1527
24,adaptive-prasle-mesh,100,1446
23,adaptive-prasle-mesh,100,1450
26,adaptive-prasle-mesh,100,1469
27,adaptive-prasle-mesh,100,1704
25,adaptive-prasle-mesh,100,1524
28,adaptive-prasle-mesh,100,1631
29,adaptive-prasle-mesh,100,1650
30,adaptive-prasle-mesh,100,1524
33,adaptive-prasle-mesh,100,1556
31,adaptive-prasle-mesh,100,1630
32,adaptive-prasle-mesh,100,1476
34,adaptive-prasle-mesh,100,1502
35,adaptive-prasle-mesh,100,1579
36,adaptive-prasle-mesh,100,1611
37,adaptive-prasle-mesh,100,1615
38,adaptive-prasle-mesh,100,1512
39,adaptive-prasle-mesh,100,1501
40,adaptive-prasle-mesh,100,1492
41,adaptive-prasle-mesh,100,1449
42,adaptive-prasle-mesh,100,1546
43,adaptive-prasle-mesh,100,1600
45,adaptive-prasle-mesh,100,1526
44,adaptive-prasle-mesh,100,1482
46,adaptive-prasle-mesh,100,1550
47,adaptive-prasle-mesh,100,1602
49,adaptive-prasle-mesh,100,1625
48,adaptive-prasle-mesh,100,1463
50,adaptive-prasle-mesh,100,1526
52,adaptive-prasle-mesh,100,1571
51,adaptive-prasle-mesh,100,1531
53,adaptive-prasle-mesh,100,1489
54,adaptive-prasle-mesh,100,1592
55,adaptive-prasle-mesh,100,1508
56,adaptive-prasle-mesh,100,1559
57,adaptive-prasle-mesh,100,1507
58,adaptive-prasle-mesh,100,1587
59,adaptive-prasle-mesh,100,1526
60,adaptive-prasle-mesh,100,1503
61,adaptive-prasle-mesh,100,1566
62,adaptive-prasle-mesh,100,1527
63,adaptive-prasle-mesh,100,1590
64,adaptive-prasle-mesh,100,1472
65,adaptive-prasle-mesh,100,1800
66,adaptive-prasle-mesh,100,1516
67,adaptive-prasle-mesh,100,1501
68,adaptive-prasle-mesh,100,1625
69,adaptive-prasle-mesh,100,1496
70,adaptive-prasle-mesh,100,1483
71,adaptive-prasle-mesh,100,1561
72,adaptive-prasle-mesh,100,1588
73,adaptive-prasle-mesh,100,1470
76,adaptive-prasle-mesh,100,1611
75,adaptive-prasle-mesh,100,1698
74,adaptive-prasle-mesh,100,1441
77,adaptive-prasle-mesh,100,1556
80,adaptive-prasle-mesh,100,1563
78,adaptive-prasle-mesh,100,1479
79,adaptive-prasle-mesh,100,1518
82,adaptive-prasle-mesh,100,1558
81,adaptive-prasle-mesh,100,1492
83,adaptive-prasle-mesh,100,1494
84,adaptive-prasle-mesh,100,1503
85,adaptive-prasle-mesh,100,1473
86,adaptive-prasle-mesh,100,1587
88,adaptive-prasle-mesh,100,1590
87,adaptive-prasle-mesh,100,1639
89,adaptive-prasle-mesh,100,1539
90,adaptive-prasle-mesh,100,1557
91,adaptive-prasle-mesh,100,1488
94,adaptive-prasle-mesh,100,1479
92,adaptive-prasle-mesh,100,1551
93,adaptive-prasle-mesh,100,1545
96,adaptive-prasle-mesh,100,1545
95,adaptive-prasle-mesh,100,1555
98,adaptive-prasle-mesh,100,1591
97,adaptive-prasle-mesh,100,1481
99,adaptive-prasle-mesh,100,1541
100,adaptive-prasle-mesh,100,1542
