timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1532,20,bully,1532,1,0,0,1,0,14,0,1,20,0,1532,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1542,47,bully,1542,1,0,0,1,0,14,0,1,47,0,1542,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1613,8,bully,1613,1,0,0,1,0,14,0,1,8,0,1613,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1462,43,bully,1462,1,0,0,1,0,14,0,1,43,0,1462,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1429,33,bully,1429,1,0,0,1,0,14,0,1,33,0,1429,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1735,37,bully,1735,1,0,0,1,0,14,0,1,37,0,1735,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1768,26,bully,1768,1,0,0,1,0,14,0,1,26,0,1768,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1440,2,bully,1440,1,0,0,2,3,28,42,1,1,0,1440,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
1632,50,bully,1632,1,0,0,1,0,14,0,1,50,0,1632,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1731,11,bully,1731,1,0,0,3,2,42,28,1,1,0,1731,0,2,0,0,0,NORMAL,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
1904,44,bully,1904,1,0,0,1,0,14,0,1,44,0,1904,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1565,30,bully,1565,1,0,0,1,0,14,0,1,30,0,1565,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2041,41,bully,2041,1,0,0,1,0,14,0,1,41,0,2041,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1598,40,bully,1598,1,0,0,1,0,14,0,1,40,0,1598,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1510,21,bully,1510,1,0,0,1,0,14,0,1,21,0,1510,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1416,1,bully,1416,1,0,0,1,2,14,28,1,1,0,1416,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1680,28,bully,1680,1,0,0,1,0,14,0,1,28,0,1680,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1784,15,bully,1784,1,0,0,2,1,28,14,1,5,0,1784,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2025,3,bully,2025,1,0,0,2,3,28,42,1,1,0,2025,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
1701,27,bully,1701,1,0,0,1,0,14,0,1,27,0,1701,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1920,12,bully,1920,1,0,0,2,1,28,14,1,1,0,1920,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
1816,25,bully,1816,1,0,0,1,0,14,0,1,25,0,1816,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2122,29,bully,2122,1,0,0,1,0,14,0,1,29,0,2122,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,31,bully,2008,1,0,0,1,0,14,0,1,31,0,2008,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1986,32,bully,1986,1,0,0,1,0,14,0,1,32,0,1986,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1886,34,bully,1886,1,0,0,1,0,14,0,1,34,0,1886,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2189,49,bully,2189,1,0,0,1,0,14,0,1,49,0,2189,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1668,17,bully,1668,1,0,0,1,0,14,0,1,17,0,1668,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1850,35,bully,1850,1,0,0,1,0,14,0,1,35,0,1850,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2362,13,bully,2362,1,0,0,1,1,14,14,1,5,0,2362,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2395,23,bully,2395,1,0,0,1,0,14,0,1,23,0,2395,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2163,6,bully,2163,1,0,0,1,2,14,28,1,5,0,2163,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
2111,5,bully,2111,1,0,0,2,2,28,28,1,1,0,2111,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
1647,18,bully,1647,1,0,0,1,0,14,0,1,18,0,1647,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2452,20,bully,1532,1,0,0,1,0,14,0,1,20,920,1532,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
