trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,adaptive-prasle-mesh,100,120,1484,120207,207
2,adaptive-prasle-mesh,100,120,1478,120202,202
3,adaptive-prasle-mesh,100,120,1544,120267,267
4,adaptive-prasle-mesh,100,120,1478,120201,201
5,adaptive-prasle-mesh,100,120,1576,120299,299
6,adaptive-prasle-mesh,100,120,1554,120277,277
7,adaptive-prasle-mesh,100,120,1489,120212,212
8,adaptive-prasle-mesh,100,120,1455,120178,178
9,adaptive-prasle-mesh,100,120,1636,120359,359
10,adaptive-prasle-mesh,100,120,1565,120290,290
11,adaptive-prasle-mesh,100,120,1522,120245,245
12,adaptive-prasle-mesh,100,120,1764,120487,487
13,adaptive-prasle-mesh,100,120,1563,120330,330
14,adaptive-prasle-mesh,100,120,1567,120290,290
15,adaptive-prasle-mesh,100,120,1627,120316,316
16,adaptive-prasle-mesh,100,120,1555,120278,278
17,adaptive-prasle-mesh,100,120,1552,120275,275
18,adaptive-prasle-mesh,100,120,1541,120264,264
19,adaptive-prasle-mesh,100,120,1616,120339,339
20,adaptive-prasle-mesh,100,120,1524,120247,247
21,adaptive-prasle-mesh,100,120,1502,120225,225
22,adaptive-prasle-mesh,100,120,1762,120485,485
23,adaptive-prasle-mesh,100,120,1622,120345,345
24,adaptive-prasle-mesh,100,120,1451,120174,174
25,adaptive-prasle-mesh,100,120,1644,120231,231
26,adaptive-prasle-mesh,100,120,1496,120219,219
27,adaptive-prasle-mesh,100,120,1536,120211,211
28,adaptive-prasle-mesh,100,120,1540,120051,51
29,adaptive-prasle-mesh,100,120,1573,120297,297
30,adaptive-prasle-mesh,100,120,1430,120153,153
31,adaptive-prasle-mesh,100,120,1690,120413,413
32,adaptive-prasle-mesh,100,120,1565,120055,55
33,adaptive-prasle-mesh,100,120,1510,120280,280
34,adaptive-prasle-mesh,100,120,1559,120282,282
35,adaptive-prasle-mesh,100,120,1697,120421,421
36,adaptive-prasle-mesh,100,120,1605,120328,328
37,adaptive-prasle-mesh,100,120,1515,120240,240
38,adaptive-prasle-mesh,100,120,1602,120325,325
39,adaptive-prasle-mesh,100,120,1588,120311,311
40,adaptive-prasle-mesh,100,120,1585,120350,350
41,adaptive-prasle-mesh,100,120,1495,120291,291
42,adaptive-prasle-mesh,100,120,1514,120237,237
43,adaptive-prasle-mesh,100,120,1563,120286,286
44,adaptive-prasle-mesh,100,120,1463,120186,186
45,adaptive-prasle-mesh,100,120,1652,120388,388
46,adaptive-prasle-mesh,100,120,1463,120186,186
47,adaptive-prasle-mesh,100,120,1619,120342,342
48,adaptive-prasle-mesh,100,120,1696,120165,165
49,adaptive-prasle-mesh,100,120,1467,120190,190
50,adaptive-prasle-mesh,100,120,1516,120038,38
51,adaptive-prasle-mesh,100,120,1490,120213,213
52,adaptive-prasle-mesh,100,120,1431,120088,88
53,adaptive-prasle-mesh,100,120,1548,120249,249
54,adaptive-prasle-mesh,100,120,1570,120293,293
55,adaptive-prasle-mesh,100,120,1535,120182,182
56,adaptive-prasle-mesh,100,120,1463,120290,290
57,adaptive-prasle-mesh,100,120,1547,120270,270
58,adaptive-prasle-mesh,100,120,1665,120388,388
59,adaptive-prasle-mesh,100,120,1521,120245,245
60,adaptive-prasle-mesh,100,120,1629,120228,228
61,adaptive-prasle-mesh,100,120,1457,120180,180
62,adaptive-prasle-mesh,100,120,1544,120267,267
63,adaptive-prasle-mesh,100,120,1514,120238,238
64,adaptive-prasle-mesh,100,120,1582,120305,305
65,adaptive-prasle-mesh,100,120,1653,120376,376
66,adaptive-prasle-mesh,100,120,1491,120214,214
67,adaptive-prasle-mesh,100,120,1547,120272,272
68,adaptive-prasle-mesh,100,120,1527,120250,250
69,adaptive-prasle-mesh,100,120,1579,120302,302
70,adaptive-prasle-mesh,100,120,1593,120316,316
71,adaptive-prasle-mesh,100,120,1513,120236,236
72,adaptive-prasle-mesh,100,120,1556,120279,279
73,adaptive-prasle-mesh,100,120,1506,120229,229
74,adaptive-prasle-mesh,100,120,1604,120406,406
75,adaptive-prasle-mesh,100,120,1494,120217,217
76,adaptive-prasle-mesh,100,120,1524,120247,247
77,adaptive-prasle-mesh,100,120,1592,120315,315
78,adaptive-prasle-mesh,100,120,1533,120218,218
79,adaptive-prasle-mesh,100,120,1589,120382,382
80,adaptive-prasle-mesh,100,120,1512,120235,235
81,adaptive-prasle-mesh,100,120,1582,120201,201
82,adaptive-prasle-mesh,100,120,1462,120185,185
83,adaptive-prasle-mesh,100,120,1566,120288,288
84,adaptive-prasle-mesh,100,120,1685,120066,66
85,adaptive-prasle-mesh,100,120,1597,120320,320
86,adaptive-prasle-mesh,100,120,1559,120282,282
87,adaptive-prasle-mesh,100,120,1493,120216,216
88,adaptive-prasle-mesh,100,120,1501,120224,224
89,adaptive-prasle-mesh,100,120,1537,120260,260
90,adaptive-prasle-mesh,100,120,1568,120291,291
91,adaptive-prasle-mesh,100,120,1619,120056,56
92,adaptive-prasle-mesh,100,120,1608,120331,331
93,adaptive-prasle-mesh,100,120,1475,120198,198
94,adaptive-prasle-mesh,100,120,1654,120377,377
95,adaptive-prasle-mesh,100,120,1477,120200,200
96,adaptive-prasle-mesh,100,120,1594,120317,317
97,adaptive-prasle-mesh,100,120,1566,120253,253
98,adaptive-prasle-mesh,100,120,1450,120173,173
99,adaptive-prasle-mesh,100,120,1487,120173,173
100,adaptive-prasle-mesh,100,120,1589,120344,344
