trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,adaptive-prasle-mesh,50,50,1589,NA
2,adaptive-prasle-mesh,50,50,1519,NA
3,adaptive-prasle-mesh,50,50,1681,NA
4,adaptive-prasle-mesh,50,50,1746,NA
5,adaptive-prasle-mesh,50,50,1543,NA
6,adaptive-prasle-mesh,50,50,1592,NA
7,adaptive-prasle-mesh,50,50,1610,NA
8,adaptive-prasle-mesh,50,50,1729,NA
9,adaptive-prasle-mesh,50,50,1795,NA
10,adaptive-prasle-mesh,50,50,1573,NA
11,adaptive-prasle-mesh,50,50,1590,NA
12,adaptive-prasle-mesh,50,50,1554,NA
13,adaptive-prasle-mesh,50,50,1604,NA
14,adaptive-prasle-mesh,50,50,1675,NA
15,adaptive-prasle-mesh,50,50,1634,NA
16,adaptive-prasle-mesh,50,50,1682,NA
17,adaptive-prasle-mesh,50,50,1542,NA
18,adaptive-prasle-mesh,50,50,1468,NA
19,adaptive-prasle-mesh,50,50,1762,NA
20,adaptive-prasle-mesh,50,50,1621,NA
21,adaptive-prasle-mesh,50,50,1688,NA
22,adaptive-prasle-mesh,50,50,1644,NA
23,adaptive-prasle-mesh,50,50,1478,NA
24,adaptive-prasle-mesh,50,50,1544,NA
25,adaptive-prasle-mesh,50,50,1592,NA
26,adaptive-prasle-mesh,50,50,1554,NA
27,adaptive-prasle-mesh,50,50,1518,NA
28,adaptive-prasle-mesh,50,50,1557,NA
29,adaptive-prasle-mesh,50,50,1657,NA
30,adaptive-prasle-mesh,50,50,1461,NA
31,adaptive-prasle-mesh,50,50,1705,NA
32,adaptive-prasle-mesh,50,50,1577,NA
33,adaptive-prasle-mesh,50,50,1469,NA
34,adaptive-prasle-mesh,50,50,1684,NA
35,adaptive-prasle-mesh,50,50,1595,NA
36,adaptive-prasle-mesh,50,50,1815,NA
37,adaptive-prasle-mesh,50,50,1559,NA
38,adaptive-prasle-mesh,50,50,1545,NA
39,adaptive-prasle-mesh,50,50,1665,NA
40,adaptive-prasle-mesh,50,50,1607,NA
41,adaptive-prasle-mesh,50,50,1587,NA
42,adaptive-prasle-mesh,50,50,1568,NA
43,adaptive-prasle-mesh,50,50,1562,NA
44,adaptive-prasle-mesh,50,50,1592,NA
45,adaptive-prasle-mesh,50,50,1519,NA
46,adaptive-prasle-mesh,50,50,1615,NA
47,adaptive-prasle-mesh,50,50,1771,NA
48,adaptive-prasle-mesh,50,50,1654,NA
49,adaptive-prasle-mesh,50,50,1561,NA
50,adaptive-prasle-mesh,50,50,1487,NA
51,adaptive-prasle-mesh,50,50,1526,NA
52,adaptive-prasle-mesh,50,50,1646,NA
53,adaptive-prasle-mesh,50,50,1576,NA
54,adaptive-prasle-mesh,50,50,1720,NA
55,adaptive-prasle-mesh,50,50,1526,NA
56,adaptive-prasle-mesh,50,50,1552,NA
57,adaptive-prasle-mesh,50,50,1662,NA
58,adaptive-prasle-mesh,50,50,1732,NA
59,adaptive-prasle-mesh,50,50,1643,NA
60,adaptive-prasle-mesh,50,50,1523,NA
61,adaptive-prasle-mesh,50,50,1620,NA
62,adaptive-prasle-mesh,50,50,1516,NA
63,adaptive-prasle-mesh,50,50,1523,NA
64,adaptive-prasle-mesh,50,50,1715,NA
65,adaptive-prasle-mesh,50,50,1566,NA
66,adaptive-prasle-mesh,50,50,1459,NA
67,adaptive-prasle-mesh,50,50,1536,NA
68,adaptive-prasle-mesh,50,50,1529,NA
69,adaptive-prasle-mesh,50,50,1586,NA
70,adaptive-prasle-mesh,50,50,1683,NA
71,adaptive-prasle-mesh,50,50,1463,NA
72,adaptive-prasle-mesh,50,50,1704,NA
73,adaptive-prasle-mesh,50,50,1537,NA
74,adaptive-prasle-mesh,50,50,1593,NA
75,adaptive-prasle-mesh,50,50,1569,NA
76,adaptive-prasle-mesh,50,50,1662,NA
77,adaptive-prasle-mesh,50,50,1605,NA
78,adaptive-prasle-mesh,50,50,1764,NA
79,adaptive-prasle-mesh,50,50,1467,NA
80,adaptive-prasle-mesh,50,50,1515,NA
81,adaptive-prasle-mesh,50,50,1452,NA
82,adaptive-prasle-mesh,50,50,1749,NA
83,adaptive-prasle-mesh,50,50,1599,NA
84,adaptive-prasle-mesh,50,50,1509,NA
85,adaptive-prasle-mesh,50,50,1489,NA
86,adaptive-prasle-mesh,50,50,1553,NA
87,adaptive-prasle-mesh,50,50,1528,NA
88,adaptive-prasle-mesh,50,50,1461,NA
89,adaptive-prasle-mesh,50,50,1586,NA
90,adaptive-prasle-mesh,50,50,1475,NA
91,adaptive-prasle-mesh,50,50,1628,NA
92,adaptive-prasle-mesh,50,50,1734,NA
93,adaptive-prasle-mesh,50,50,1492,NA
94,adaptive-prasle-mesh,50,50,1502,NA
95,adaptive-prasle-mesh,50,50,1480,NA
96,adaptive-prasle-mesh,50,50,1674,NA
97,adaptive-prasle-mesh,50,50,1508,NA
98,adaptive-prasle-mesh,50,50,1673,NA
99,adaptive-prasle-mesh,50,50,1440,NA
100,adaptive-prasle-mesh,50,50,1564,NA
