timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1636,1,bully,1636,1,0,0,1,0,14,0,1,1,0,1636,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1946,3,bully,1946,1,0,0,2,3,28,42,1,1,0,1946,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
1649,4,bully,1649,1,0,0,2,3,28,42,1,1,0,1649,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
1939,5,bully,1939,1,0,0,1,3,14,42,1,1,0,1939,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
2276,2,bully,2276,1,0,0,1,3,14,42,1,1,0,2276,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
2850,5,bully,1939,1,0,0,1,3,14,42,1,1,911,1939,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
3761,5,bully,1939,1,0,0,1,3,14,42,1,1,1822,1939,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
4214,1,bully,1636,1,0,0,1,2,14,28,1,1,2578,1636,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
3790,2,bully,2276,1,0,0,1,3,14,42,1,1,1514,2276,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
4138,3,bully,1946,1,0,0,2,3,28,42,1,1,2192,1946,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
3866,4,bully,1649,1,0,0,3,4,42,56,1,1,2217,1649,0,2,0,0,0,NORMAL,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0
4644,5,bully,1939,1,0,0,2,4,28,56,2,5,2705,1939,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0
5333,2,bully,2276,1,0,0,2,5,28,70,1,1,3057,2276,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0
5468,5,bully,1939,1,0,0,2,5,28,70,2,5,3529,1939,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,5,0,0,0,0,0,0,0
6292,5,bully,1939,1,0,0,2,5,28,70,2,5,4353,1939,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,5,0,0,0,0,0,0,0
6932,2,bully,2276,1,0,0,3,5,42,70,2,2,4656,2276,0,3,0,0,0,LEADER,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0
6888,4,bully,1649,1,0,0,3,6,42,84,1,1,5239,1649,0,2,0,0,0,NORMAL,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0
7117,5,bully,1939,1,0,0,3,5,42,70,2,5,5178,1939,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0
7941,5,bully,1939,1,0,0,3,5,42,70,2,5,6002,1939,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0
8593,1,bully,1636,1,0,0,2,6,28,84,1,1,6957,1636,0,2,0,0,0,LEADER,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0
8530,2,bully,2276,1,0,0,3,5,42,70,2,2,6254,2276,0,3,0,0,0,LEADER,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0
10128,2,bully,2276,1,0,0,3,5,42,70,2,2,7852,2276,0,3,0,0,0,LEADER,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0
10314,4,bully,1649,1,0,0,4,6,56,84,2,4,8665,1649,0,3,0,0,0,LEADER,1,0,0,4,0,0,0,6,0,0,0,0,0,0,0
11498,3,bully,1946,1,0,0,3,8,42,112,1,1,9552,1946,0,2,0,0,0,NORMAL,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0
13014,5,bully,1939,1,0,0,4,8,56,112,2,5,11075,1939,0,4,0,0,0,LEADER,1,0,0,4,0,0,0,8,0,0,0,0,0,0,0
14643,1,bully,1636,1,0,0,4,8,56,112,2,4,13007,1636,0,3,0,0,0,NORMAL,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0
19353,4,bully,1649,1,0,0,4,10,56,140,2,4,17704,1649,0,3,0,0,0,LEADER,1,0,0,4,0,0,0,10,0,0,0,0,0,0,0
20796,2,bully,2276,1,0,0,5,9,70,126,3,4,18520,2276,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0
21476,3,bully,1946,1,0,0,5,9,70,126,2,4,19530,1946,0,3,0,0,0,NORMAL,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0
24816,5,bully,1939,1,0,0,5,8,70,112,2,5,22877,1939,0,5,0,0,0,LEADER,1,0,0,5,0,0,0,8,0,0,0,0,0,0,0
26611,1,bully,1636,1,0,0,4,10,56,140,2,4,24975,1636,0,3,0,0,0,NORMAL,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0
31199,4,bully,1649,1,0,0,4,10,56,140,2,4,29550,1649,0,3,0,0,0,LEADER,1,0,0,4,0,0,0,10,0,0,0,0,0,0,0
33280,3,bully,1946,1,0,0,5,9,70,126,2,4,31334,1946,0,3,0,0,0,NORMAL,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0
35996,2,bully,2276,1,0,0,5,9,70,126,3,4,33720,2276,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0
36618,5,bully,1939,1,0,0,6,9,84,126,2,5,34679,1939,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,9,0,0,0,0,0,0,0
41811,1,bully,1636,1,0,0,4,11,56,154,2,4,40175,1636,0,3,0,0,0,NORMAL,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0
43419,4,bully,1649,1,0,0,5,11,70,154,2,4,41770,1649,0,4,0,0,0,LEADER,1,0,0,5,0,0,0,11,0,0,0,0,0,0,0
47348,3,bully,1946,1,0,0,5,10,70,140,2,4,45402,1946,0,3,0,0,0,NORMAL,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0
51196,2,bully,2276,1,0,0,5,10,70,140,3,4,48920,2276,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0
51818,5,bully,1939,1,0,0,6,10,84,140,2,5,49879,1939,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,10,0,0,0,0,0,0,0
57012,1,bully,1636,1,0,0,5,12,70,168,3,1,55376,1636,0,4,0,0,0,LEADER,1,0,0,5,0,0,0,12,0,0,0,0,0,0,0
56384,4,bully,1649,1,0,0,5,12,70,168,2,4,54735,1649,0,4,0,0,0,LEADER,1,0,0,5,0,0,0,12,0,0,0,0,0,0,0
62550,3,bully,1946,1,0,0,7,11,98,154,3,2,60604,1946,0,4,0,0,0,NORMAL,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0
66321,2,bully,2276,1,0,0,6,12,84,168,4,2,64045,2276,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,12,0,0,0,0,0,0,0
67019,5,bully,1939,1,0,0,7,10,98,140,2,5,65080,1939,0,6,0,0,0,LEADER,1,0,0,7,0,0,0,10,0,0,0,0,0,0,0
69349,4,bully,1649,1,0,0,5,14,70,196,2,4,67700,1649,0,4,0,0,0,LEADER,1,0,0,5,0,0,0,14,0,0,0,0,0,0,0
72212,1,bully,1636,1,0,0,5,13,70,182,3,1,70576,1636,0,4,0,0,0,LEADER,1,0,0,5,0,0,0,13,0,0,0,0,0,0,0
77750,3,bully,1946,1,0,0,7,12,98,168,3,2,75804,1946,0,4,0,0,0,NORMAL,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0
81293,2,bully,2276,1,0,0,6,12,84,168,4,2,79017,2276,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,12,0,0,0,0,0,0,0
82220,5,bully,1939,1,0,0,8,11,112,154,2,5,80281,1939,0,6,0,0,0,LEADER,1,0,0,8,0,0,0,11,0,0,0,0,0,0,0
83060,4,bully,1649,1,0,0,6,15,84,210,2,4,81411,1649,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,15,0,0,0,0,0,0,0
87412,1,bully,1636,1,0,0,5,14,70,196,3,1,85776,1636,0,4,0,0,0,LEADER,1,0,0,5,0,0,0,14,0,0,0,0,0,0,0
92950,3,bully,1946,1,0,0,7,12,98,168,3,2,91004,1946,0,4,0,0,0,NORMAL,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0
96265,2,bully,2276,1,0,0,6,13,84,182,4,2,93989,2276,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,13,0,0,0,0,0,0,0
97420,5,bully,1939,1,0,0,8,12,112,168,2,5,95481,1939,0,6,0,0,0,LEADER,1,0,0,8,0,0,0,12,0,0,0,0,0,0,0
98260,4,bully,1649,1,0,0,6,16,84,224,2,4,96611,1649,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,16,0,0,0,0,0,0,0
102613,1,bully,1636,1,0,0,6,15,84,210,3,1,100977,1636,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,15,0,0,0,0,0,0,0
108152,3,bully,1946,1,0,0,9,13,126,182,3,2,106206,1946,0,5,0,0,0,NORMAL,0,0,0,9,0,0,0,13,0,0,0,0,0,0,0
111240,2,bully,2276,1,0,0,7,15,98,210,4,2,108964,2276,0,6,0,0,0,LEADER,1,0,0,7,0,0,0,15,0,0,0,0,0,0,0
112621,5,bully,1939,1,0,0,9,12,126,168,2,5,110682,1939,0,7,0,0,0,LEADER,1,0,0,9,0,0,0,12,0,0,0,0,0,0,0
113460,4,bully,1649,1,0,0,6,18,84,252,2,4,111811,1649,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,18,0,0,0,0,0,0,0
117813,1,bully,1636,1,0,0,6,16,84,224,3,1,116177,1636,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,16,0,0,0,0,0,0,0
123352,3,bully,1946,1,0,0,9,14,126,196,3,2,121406,1946,0,5,0,0,0,NORMAL,0,0,0,9,0,0,0,14,0,0,0,0,0,0,0
126218,2,bully,2276,1,0,0,7,15,98,210,4,2,123942,2276,0,6,0,0,0,LEADER,1,0,0,7,0,0,0,15,0,0,0,0,0,0,0
127821,5,bully,1939,1,0,0,9,13,126,182,2,5,125882,1939,0,7,0,0,0,LEADER,1,0,0,9,0,0,0,13,0,0,0,0,0,0,0
128661,4,bully,1649,1,0,0,7,18,98,252,2,4,127012,1649,0,6,0,0,0,LEADER,1,0,0,7,0,0,0,18,0,0,0,0,0,0,0
133013,1,bully,1636,1,0,0,6,16,84,224,3,1,131377,1636,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,16,0,0,0,0,0,0,0
138552,3,bully,1946,1,0,0,9,14,126,196,3,2,136606,1946,0,5,0,0,0,NORMAL,0,0,0,9,0,0,0,14,0,0,0,0,0,0,0
141196,2,bully,2276,1,0,0,7,16,98,224,4,2,138920,2276,0,6,0,0,0,LEADER,1,0,0,7,0,0,0,16,0,0,0,0,0,0,0
143021,5,bully,1939,1,0,0,9,14,126,196,2,5,141082,1939,0,7,0,0,0,LEADER,1,0,0,9,0,0,0,14,0,0,0,0,0,0,0
143862,4,bully,1649,1,0,0,8,19,112,266,2,4,142213,1649,0,6,0,0,0,LEADER,1,0,0,8,0,0,0,19,0,0,0,0,0,0,0
148214,1,bully,1636,1,0,0,7,17,98,238,3,1,146578,1636,0,6,0,0,0,LEADER,1,0,0,7,0,0,0,17,0,0,0,0,0,0,0
153754,3,bully,1946,1,0,0,11,17,154,238,3,2,151808,1946,0,6,0,0,0,NORMAL,0,0,0,11,0,0,0,17,0,0,0,0,0,0,0
156249,2,bully,2276,1,0,0,8,18,112,252,4,2,153973,2276,0,7,0,0,0,LEADER,1,0,0,8,0,0,0,18,0,0,0,0,0,0,0
158223,5,bully,1939,1,0,0,11,16,154,224,3,2,156284,1939,0,8,0,0,0,NORMAL,0,0,0,11,0,0,0,16,0,0,0,0,0,0,0
159063,4,bully,1649,1,0,0,9,22,126,308,2,4,157414,1649,0,6,0,0,0,LEADER,1,0,0,9,0,0,0,22,0,0,0,0,0,0,0
163414,1,bully,1636,1,0,0,7,19,98,266,3,1,161778,1636,0,6,0,0,0,LEADER,1,0,0,7,0,0,0,19,0,0,0,0,0,0,0
168954,3,bully,1946,1,0,0,11,18,154,252,3,2,167008,1946,0,6,0,0,0,NORMAL,0,0,0,11,0,0,0,18,0,0,0,0,0,0,0
171449,2,bully,2276,1,0,0,8,18,112,252,4,2,169173,2276,0,7,0,0,0,LEADER,1,0,0,8,0,0,0,18,0,0,0,0,0,0,0
173423,5,bully,1939,1,0,0,11,17,154,238,3,2,171484,1939,0,8,0,0,0,NORMAL,0,0,0,11,0,0,0,17,0,0,0,0,0,0,0
174264,4,bully,1649,1,0,0,10,22,140,308,2,4,172615,1649,0,7,0,0,0,LEADER,1,0,0,10,0,0,0,22,0,0,0,0,0,0,0
178614,1,bully,1636,1,0,0,7,19,98,266,3,1,176978,1636,0,6,0,0,0,LEADER,1,0,0,7,0,0,0,19,0,0,0,0,0,0,0
184154,3,bully,1946,1,0,0,11,18,154,252,3,2,182208,1946,0,6,0,0,0,NORMAL,0,0,0,11,0,0,0,18,0,0,0,0,0,0,0
186649,2,bully,2276,1,0,0,8,19,112,266,4,2,184373,2276,0,7,0,0,0,LEADER,1,0,0,8,0,0,0,19,0,0,0,0,0,0,0
188623,5,bully,1939,1,0,0,11,18,154,252,3,2,186684,1939,0,8,0,0,0,NORMAL,0,0,0,11,0,0,0,18,0,0,0,0,0,0,0
