trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,adaptive-prasle-ring,100,120,1568,120412,412
2,adaptive-prasle-ring,100,120,1775,120498,498
3,adaptive-prasle-ring,100,120,1555,120278,278
4,adaptive-prasle-ring,100,120,1594,120317,317
5,adaptive-prasle-ring,100,120,1518,120351,351
6,adaptive-prasle-ring,100,120,1500,120223,223
7,adaptive-prasle-ring,100,120,1672,120395,395
8,adaptive-prasle-ring,100,120,1656,120379,379
9,adaptive-prasle-ring,100,120,1547,120270,270
10,adaptive-prasle-ring,100,120,1516,120342,342
11,adaptive-prasle-ring,100,120,1572,120308,308
12,adaptive-prasle-ring,100,120,1632,120355,355
13,adaptive-prasle-ring,100,120,1511,120234,234
14,adaptive-prasle-ring,100,120,1496,120219,219
15,adaptive-prasle-ring,100,120,1456,120179,179
16,adaptive-prasle-ring,100,120,1557,120280,280
17,adaptive-prasle-ring,100,120,1525,120248,248
18,adaptive-prasle-ring,100,120,1552,120275,275
19,adaptive-prasle-ring,100,120,1565,120288,288
20,adaptive-prasle-ring,100,120,1707,120430,430
21,adaptive-prasle-ring,100,120,1602,120325,325
22,adaptive-prasle-ring,100,120,1589,120312,312
23,adaptive-prasle-ring,100,120,1568,120291,291
24,adaptive-prasle-ring,100,120,1445,120168,168
25,adaptive-prasle-ring,100,120,1491,120214,214
26,adaptive-prasle-ring,100,120,1473,120196,196
27,adaptive-prasle-ring,100,120,1461,120184,184
28,adaptive-prasle-ring,100,120,1578,120301,301
29,adaptive-prasle-ring,100,120,1558,120281,281
30,adaptive-prasle-ring,100,120,1481,120204,204
31,adaptive-prasle-ring,100,120,1567,120290,290
32,adaptive-prasle-ring,100,120,1667,120390,390
33,adaptive-prasle-ring,100,120,1625,120348,348
34,adaptive-prasle-ring,100,120,1467,120190,190
35,adaptive-prasle-ring,100,120,1515,120238,238
36,adaptive-prasle-ring,100,120,1661,120384,384
37,adaptive-prasle-ring,100,120,1568,120291,291
38,adaptive-prasle-ring,100,120,1554,120277,277
39,adaptive-prasle-ring,100,120,1486,120199,199
40,adaptive-prasle-ring,100,120,1661,120384,384
41,adaptive-prasle-ring,100,120,1551,120274,274
42,adaptive-prasle-ring,100,120,1569,120294,294
43,adaptive-prasle-ring,100,120,1705,120476,476
44,adaptive-prasle-ring,100,120,1555,120278,278
45,adaptive-prasle-ring,100,120,1550,120331,331
46,adaptive-prasle-ring,100,120,1440,120041,41
47,adaptive-prasle-ring,100,120,1568,120292,292
48,adaptive-prasle-ring,100,120,1457,120180,180
49,adaptive-prasle-ring,100,120,1607,120207,207
50,adaptive-prasle-ring,100,120,1511,120234,234
51,adaptive-prasle-ring,100,120,1495,120218,218
52,adaptive-prasle-ring,100,120,1587,120310,310
53,adaptive-prasle-ring,100,120,1526,120249,249
54,adaptive-prasle-ring,100,120,1549,120272,272
55,adaptive-prasle-ring,100,120,1493,120216,216
56,adaptive-prasle-ring,100,120,1492,120360,360
57,adaptive-prasle-ring,100,120,1472,120051,51
58,adaptive-prasle-ring,100,120,1602,120325,325
59,adaptive-prasle-ring,100,120,1513,120236,236
60,adaptive-prasle-ring,100,120,1549,120272,272
61,adaptive-prasle-ring,100,120,1485,120208,208
62,adaptive-prasle-ring,100,120,1559,120282,282
63,adaptive-prasle-ring,100,120,1591,120314,314
64,adaptive-prasle-ring,100,120,1502,120225,225
65,adaptive-prasle-ring,100,120,1507,120230,230
66,adaptive-prasle-ring,100,120,1615,120338,338
67,adaptive-prasle-ring,100,120,1559,120282,282
68,adaptive-prasle-ring,100,120,1478,120201,201
69,adaptive-prasle-ring,100,120,1699,120422,422
70,adaptive-prasle-ring,100,120,1522,120245,245
71,adaptive-prasle-ring,100,120,1544,120283,283
72,adaptive-prasle-ring,100,120,1528,120251,251
73,adaptive-prasle-ring,100,120,1549,120273,273
74,adaptive-prasle-ring,100,120,1655,120378,378
75,adaptive-prasle-ring,100,120,1542,120265,265
76,adaptive-prasle-ring,100,120,1481,120204,204
77,adaptive-prasle-ring,100,120,1535,120258,258
78,adaptive-prasle-ring,100,120,1649,120372,372
79,adaptive-prasle-ring,100,120,1600,120296,296
80,adaptive-prasle-ring,100,120,1611,120271,271
81,adaptive-prasle-ring,100,120,1525,120248,248
82,adaptive-prasle-ring,100,120,1499,120222,222
83,adaptive-prasle-ring,100,120,1503,120226,226
84,adaptive-prasle-ring,100,120,1480,120203,203
85,adaptive-prasle-ring,100,120,1552,120277,277
86,adaptive-prasle-ring,100,120,1483,120294,294
87,adaptive-prasle-ring,100,120,1525,120248,248
88,adaptive-prasle-ring,100,120,1748,120471,471
89,adaptive-prasle-ring,100,120,1545,120268,268
90,adaptive-prasle-ring,100,120,1525,120248,248
91,adaptive-prasle-ring,100,120,1610,120333,333
92,adaptive-prasle-ring,100,120,1584,120072,72
93,adaptive-prasle-ring,100,120,1639,120074,74
94,adaptive-prasle-ring,100,120,1527,120250,250
95,adaptive-prasle-ring,100,120,1551,120274,274
96,adaptive-prasle-ring,100,120,1452,120175,175
97,adaptive-prasle-ring,100,120,1478,120201,201
98,adaptive-prasle-ring,100,120,1546,120269,269
99,adaptive-prasle-ring,100,120,1494,120360,360
100,adaptive-prasle-ring,100,120,1627,120350,350
