trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-ring,100,1499,1642,50,100,true
2,adaptive-prasle-ring,100,1722,1530,50,100,true
3,adaptive-prasle-ring,100,1653,1634,50,100,true
4,adaptive-prasle-ring,100,1651,1713,50,100,true
5,adaptive-prasle-ring,100,1645,1634,50,100,true
6,adaptive-prasle-ring,100,1517,1670,50,100,true
7,adaptive-prasle-ring,100,1564,1628,50,100,true
8,adaptive-prasle-ring,100,1452,1538,50,100,true
9,adaptive-prasle-ring,100,1833,1630,50,100,true
10,adaptive-prasle-ring,100,1689,1633,50,100,true
11,adaptive-prasle-ring,100,1752,1501,50,100,true
12,adaptive-prasle-ring,100,1575,1480,50,100,true
13,adaptive-prasle-ring,100,1547,1543,50,100,true
14,adaptive-prasle-ring,100,1669,1505,50,100,true
15,adaptive-prasle-ring,100,1709,1542,50,100,true
16,adaptive-prasle-ring,100,1528,1588,50,100,true
17,adaptive-prasle-ring,100,1632,1465,50,100,true
18,adaptive-prasle-ring,100,1551,1587,50,100,true
19,adaptive-prasle-ring,100,1587,1477,50,100,true
20,adaptive-prasle-ring,100,1723,1621,50,100,true
21,adaptive-prasle-ring,100,1730,1525,50,100,true
22,adaptive-prasle-ring,100,1489,1591,50,100,true
23,adaptive-prasle-ring,100,1592,1503,50,100,true
24,adaptive-prasle-ring,100,1593,1562,50,100,true
25,adaptive-prasle-ring,100,1535,1745,50,100,true
26,adaptive-prasle-ring,100,1648,1541,50,100,true
27,adaptive-prasle-ring,100,1707,1599,50,100,true
28,adaptive-prasle-ring,100,1488,1580,50,100,true
29,adaptive-prasle-ring,100,1749,1518,50,100,true
30,adaptive-prasle-ring,100,1684,1519,50,100,true
31,adaptive-prasle-ring,100,1626,1492,50,100,true
32,adaptive-prasle-ring,100,1602,1538,50,100,true
33,adaptive-prasle-ring,100,1465,1788,50,100,true
34,adaptive-prasle-ring,100,1442,1654,50,100,true
35,adaptive-prasle-ring,100,1485,1663,50,100,true
36,adaptive-prasle-ring,100,1433,1690,50,100,true
37,adaptive-prasle-ring,100,1569,1681,50,100,true
38,adaptive-prasle-ring,100,1661,1654,50,100,true
39,adaptive-prasle-ring,100,1597,1687,50,100,true
40,adaptive-prasle-ring,100,1489,1695,50,100,true
41,adaptive-prasle-ring,100,1566,1730,50,100,true
42,adaptive-prasle-ring,100,1447,1786,50,100,true
43,adaptive-prasle-ring,100,1556,1740,50,100,true
44,adaptive-prasle-ring,100,1468,1598,50,100,true
45,adaptive-prasle-ring,100,1767,1865,50,100,true
46,adaptive-prasle-ring,100,1570,1750,50,100,true
47,adaptive-prasle-ring,100,1515,1448,50,100,true
48,adaptive-prasle-ring,100,1672,1609,50,100,true
49,adaptive-prasle-ring,100,1465,1589,50,100,true
50,adaptive-prasle-ring,100,1706,1460,50,100,true
51,adaptive-prasle-ring,100,1687,1627,50,100,true
52,adaptive-prasle-ring,100,1655,1799,50,100,true
53,adaptive-prasle-ring,100,1455,1434,50,100,true
54,adaptive-prasle-ring,100,1627,1819,50,100,true
55,adaptive-prasle-ring,100,1611,1561,50,100,true
56,adaptive-prasle-ring,100,1926,1543,50,100,true
57,adaptive-prasle-ring,100,1486,1654,50,100,true
58,adaptive-prasle-ring,100,1692,1527,50,100,true
59,adaptive-prasle-ring,100,1658,1577,50,100,true
60,adaptive-prasle-ring,100,1525,1651,50,100,true
61,adaptive-prasle-ring,100,1745,1539,50,100,true
62,adaptive-prasle-ring,100,1720,1593,50,100,true
63,adaptive-prasle-ring,100,1555,1709,50,100,true
64,adaptive-prasle-ring,100,1578,1618,50,100,true
65,adaptive-prasle-ring,100,1534,1580,50,100,true
66,adaptive-prasle-ring,100,1564,1464,50,100,true
67,adaptive-prasle-ring,100,1538,1572,50,100,true
68,adaptive-prasle-ring,100,1524,1540,50,100,true
69,adaptive-prasle-ring,100,1551,1679,50,100,true
70,adaptive-prasle-ring,100,1574,1714,50,100,true
71,adaptive-prasle-ring,100,1594,1683,50,100,true
72,adaptive-prasle-ring,100,1654,1602,50,100,true
73,adaptive-prasle-ring,100,1591,1555,50,100,true
74,adaptive-prasle-ring,100,1526,1673,50,100,true
75,adaptive-prasle-ring,100,1634,1507,50,100,true
76,adaptive-prasle-ring,100,1612,1766,50,100,true
77,adaptive-prasle-ring,100,1783,1581,50,100,true
78,adaptive-prasle-ring,100,1725,1610,50,100,true
79,adaptive-prasle-ring,100,1471,1471,50,100,true
80,adaptive-prasle-ring,100,1706,1582,50,100,true
81,adaptive-prasle-ring,100,1621,1589,50,100,true
82,adaptive-prasle-ring,100,1514,1572,50,100,true
83,adaptive-prasle-ring,100,1425,1761,50,100,true
