timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1560,10,bully,1560,1,0,0,3,11,42,154,1,1,0,1560,0,2,0,0,0,NORMAL,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0
2029,2,bully,2029,1,0,0,2,10,28,140,1,1,0,2029,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
2132,8,bully,2132,1,0,0,2,10,28,140,1,1,0,2132,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
1725,5,bully,1725,1,0,0,2,10,28,140,1,1,0,1725,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
1960,1,bully,1960,1,0,0,1,11,14,154,1,1,0,1960,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,11,0,0,0,0,0,0,0
2278,6,bully,2278,1,0,0,1,11,14,154,1,1,0,2278,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
2391,3,bully,2391,1,0,0,1,11,14,154,1,1,0,2391,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
1799,4,bully,1799,1,0,0,1,11,14,154,1,1,0,1799,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
2071,9,bully,2071,1,0,0,1,11,14,154,1,1,0,2071,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
2102,7,bully,2102,1,0,0,1,11,14,154,1,1,0,2102,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
2672,10,bully,1560,1,0,0,3,11,42,154,1,1,1112,1560,0,2,0,0,0,NORMAL,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0
2645,5,bully,1725,1,0,0,2,10,28,140,1,1,920,1725,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
3226,8,bully,2132,1,0,0,2,10,28,140,1,1,1094,2132,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
2964,1,bully,1960,1,0,0,1,11,14,154,1,1,1004,1960,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,11,0,0,0,0,0,0,0
3333,6,bully,2278,1,0,0,1,11,14,154,1,1,1055,2278,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
3387,2,bully,2029,1,0,0,2,10,28,140,1,1,1358,2029,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
2767,4,bully,1799,1,0,0,1,11,14,154,1,1,968,1799,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
2991,9,bully,2071,1,0,0,1,11,14,154,1,1,920,2071,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
3410,3,bully,2391,1,0,0,1,11,14,154,1,1,1019,2391,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
3097,7,bully,2102,1,0,0,1,11,14,154,1,1,995,2102,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
3565,5,bully,1725,1,0,0,2,10,28,140,1,1,1840,1725,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
3784,10,bully,1560,1,0,0,3,11,42,154,1,1,2224,1560,0,2,0,0,0,NORMAL,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0
3969,1,bully,1960,1,0,0,2,12,28,168,1,1,2009,1960,0,2,0,0,0,LEADER,1,0,0,2,0,0,0,12,0,0,0,0,0,0,0
4320,8,bully,2132,1,0,0,3,12,42,168,1,1,2188,2132,0,2,0,0,0,NORMAL,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0
3912,9,bully,2071,1,0,0,2,15,28,210,1,1,1841,2071,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0
3736,4,bully,1799,1,0,0,2,15,28,210,1,1,1937,1799,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0
4389,6,bully,2278,1,0,0,2,17,28,238,1,1,2111,2278,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0
4430,3,bully,2391,1,0,0,2,18,28,252,1,1,2039,2391,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0
4093,7,bully,2102,1,0,0,2,19,28,266,1,1,1991,2102,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0
4767,2,bully,2029,1,0,0,4,22,56,308,1,1,2738,2029,0,2,0,0,0,NORMAL,0,0,0,4,0,0,0,22,0,0,0,0,0,0,0
4429,5,bully,1725,1,0,0,4,24,56,336,1,1,2704,1725,0,3,0,0,0,NORMAL,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0
4709,4,bully,1799,1,0,0,3,27,42,378,1,1,2910,1799,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0
5411,8,bully,2132,1,0,0,4,26,56,364,1,1,3279,2132,0,3,0,0,0,NORMAL,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0
5086,1,bully,1960,1,0,0,3,27,42,378,1,1,3126,1960,0,3,0,0,0,LEADER,1,0,0,3,0,0,0,27,0,0,0,0,0,0,0
5339,6,bully,2278,1,0,0,3,27,42,378,1,1,3061,2278,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0
5448,3,bully,2391,1,0,0,3,27,42,378,1,1,3057,2391,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0
5199,7,bully,2102,1,0,0,3,27,42,378,1,1,3097,2102,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0
5396,5,bully,1725,1,0,0,4,26,56,364,1,1,3671,1725,0,3,0,0,0,NORMAL,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0
6142,2,bully,2029,1,0,0,5,25,70,350,1,1,4113,2029,0,3,0,0,0,NORMAL,0,0,0,5,0,0,0,25,0,0,0,0,0,0,0
6235,6,bully,2278,1,0,0,3,27,42,378,1,1,3957,2278,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0
5683,4,bully,1799,1,0,0,3,27,42,378,1,1,3884,1799,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0
6499,8,bully,2132,1,0,0,4,26,56,364,1,1,4367,2132,0,3,0,0,0,NORMAL,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0
6464,3,bully,2391,1,0,0,3,27,42,378,1,1,4073,2391,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0
6258,1,bully,1960,1,0,0,3,27,42,378,1,1,4298,1960,0,3,0,0,0,LEADER,1,0,0,3,0,0,0,27,0,0,0,0,0,0,0
6359,7,bully,2102,1,0,0,3,27,42,378,1,1,4257,2102,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0
6430,5,bully,1725,1,0,0,4,26,56,364,1,1,4705,1725,0,3,0,0,0,NORMAL,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0
7131,6,bully,2278,1,0,0,3,28,42,392,1,1,4853,2278,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,28,0,0,0,0,0,0,0
6657,4,bully,1799,1,0,0,3,28,42,392,1,1,4858,1799,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,28,0,0,0,0,0,0,0
7494,2,bully,2029,1,0,0,5,27,70,378,1,1,5465,2029,0,3,0,0,0,NORMAL,0,0,0,5,0,0,0,27,0,0,0,0,0,0,0
7480,3,bully,2391,1,0,0,3,29,42,406,1,1,5089,2391,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,29,0,0,0,0,0,0,0
7587,8,bully,2132,1,0,0,4,28,56,392,1,1,5455,2132,0,3,0,0,0,NORMAL,0,0,0,4,0,0,0,28,0,0,0,0,0,0,0
7430,1,bully,1960,1,0,0,3,31,42,434,1,1,5470,1960,0,3,0,0,0,LEADER,1,0,0,3,0,0,0,31,0,0,0,0,0,0,0
7519,7,bully,2102,1,0,0,3,35,42,490,1,1,5417,2102,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,35,0,0,0,0,0,0,0
8059,6,bully,2278,1,0,0,5,34,70,476,1,1,5781,2278,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,34,0,0,0,0,0,0,0
7778,5,bully,1725,1,0,0,6,34,84,476,1,1,6053,1725,0,4,0,0,0,NORMAL,0,0,0,6,0,0,0,34,0,0,0,0,0,0,0
7579,4,bully,1799,1,0,0,5,35,70,490,1,1,5780,1799,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,35,0,0,0,0,0,0,0
8451,3,bully,2391,1,0,0,4,37,56,518,1,1,6060,2391,0,4,0,0,0,NORMAL,0,0,0,4,0,0,0,37,0,0,0,0,0,0,0
8580,8,bully,2132,1,0,0,5,36,70,504,1,1,6448,2132,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,36,0,0,0,0,0,0,0
8636,1,bully,1960,1,0,0,4,37,56,518,1,1,6676,1960,0,4,0,0,0,LEADER,1,0,0,4,0,0,0,37,0,0,0,0,0,0,0
9045,6,bully,2278,1,0,0,5,36,70,504,1,1,6767,2278,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,36,0,0,0,0,0,0,0
8680,7,bully,2102,1,0,0,4,37,56,518,1,1,6578,2102,0,4,0,0,0,NORMAL,0,0,0,4,0,0,0,37,0,0,0,0,0,0,0
8709,4,bully,1799,1,0,0,5,36,70,504,1,1,6910,1799,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,36,0,0,0,0,0,0,0
9398,3,bully,2391,1,0,0,4,37,56,518,1,1,7007,2391,0,4,0,0,0,NORMAL,0,0,0,4,0,0,0,37,0,0,0,0,0,0,0
9524,8,bully,2132,1,0,0,5,36,70,504,1,1,7392,2132,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,36,0,0,0,0,0,0,0
9580,5,bully,1725,1,0,0,6,35,84,490,1,1,7855,1725,0,4,0,0,0,NORMAL,0,0,0,6,0,0,0,35,0,0,0,0,0,0,0
10031,6,bully,2278,1,0,0,5,36,70,504,1,1,7753,2278,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,36,0,0,0,0,0,0,0
9882,10,bully,1560,1,0,0,5,38,70,532,1,1,8322,1560,0,3,0,0,0,NORMAL,0,0,0,5,0,0,0,38,0,0,0,0,0,0,0
9907,1,bully,1960,1,0,0,4,37,56,518,1,1,7947,1960,0,4,0,0,0,LEADER,1,0,0,4,0,0,0,37,0,0,0,0,0,0,0
