trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,adaptive-prasle,10,70,1830,NA
2,adaptive-prasle,10,70,2043,NA
3,adaptive-prasle,10,70,2049,NA
4,adaptive-prasle,10,70,1584,NA
5,adaptive-prasle,10,70,2103,NA
6,adaptive-prasle,10,70,1879,NA
7,adaptive-prasle,10,70,2022,NA
8,adaptive-prasle,10,70,1920,NA
9,adaptive-prasle,10,70,1756,NA
10,adaptive-prasle,10,70,1860,NA
11,adaptive-prasle,10,70,2210,NA
12,adaptive-prasle,10,70,1701,NA
13,adaptive-prasle,10,70,2144,NA
14,adaptive-prasle,10,70,2058,NA
15,adaptive-prasle,10,70,1763,NA
16,adaptive-prasle,10,70,2287,NA
17,adaptive-prasle,10,70,1686,NA
18,adaptive-prasle,10,70,2098,NA
19,adaptive-prasle,10,70,1673,NA
20,adaptive-prasle,10,70,1719,NA
21,adaptive-prasle,10,70,1559,NA
22,adaptive-prasle,10,70,1588,NA
23,adaptive-prasle,10,70,1769,NA
24,adaptive-prasle,10,70,1719,NA
25,adaptive-prasle,10,70,1961,NA
26,adaptive-prasle,10,70,1844,NA
27,adaptive-prasle,10,70,1859,NA
28,adaptive-prasle,10,70,1894,NA
29,adaptive-prasle,10,70,1622,NA
30,adaptive-prasle,10,70,1758,NA
31,adaptive-prasle,10,70,1981,NA
32,adaptive-prasle,10,70,2062,NA
33,adaptive-prasle,10,70,2027,NA
34,adaptive-prasle,10,70,2059,NA
35,adaptive-prasle,10,70,1707,NA
36,adaptive-prasle,10,70,2225,NA
37,adaptive-prasle,10,70,1940,NA
38,adaptive-prasle,10,70,1677,NA
39,adaptive-prasle,10,70,2061,NA
40,adaptive-prasle,10,70,1916,NA
41,adaptive-prasle,10,70,1846,NA
42,adaptive-prasle,10,70,1872,NA
43,adaptive-prasle,10,70,1757,NA
44,adaptive-prasle,10,70,1925,NA
45,adaptive-prasle,10,70,1669,NA
46,adaptive-prasle,10,70,1794,NA
47,adaptive-prasle,10,70,2212,NA
48,adaptive-prasle,10,70,1960,NA
49,adaptive-prasle,10,70,1709,NA
50,adaptive-prasle,10,70,2120,NA
51,adaptive-prasle,10,70,2005,NA
52,adaptive-prasle,10,70,1619,NA
53,adaptive-prasle,10,70,1756,NA
54,adaptive-prasle,10,70,1784,NA
55,adaptive-prasle,10,70,1815,NA
56,adaptive-prasle,10,70,2222,NA
57,adaptive-prasle,10,70,1878,NA
58,adaptive-prasle,10,70,1680,NA
59,adaptive-prasle,10,70,1933,NA
60,adaptive-prasle,10,70,1931,NA
61,adaptive-prasle,10,70,2072,NA
62,adaptive-prasle,10,70,1747,NA
63,adaptive-prasle,10,70,1855,NA
64,adaptive-prasle,10,70,1668,NA
65,adaptive-prasle,10,70,1808,NA
66,adaptive-prasle,10,70,2160,NA
67,adaptive-prasle,10,70,1525,NA
68,adaptive-prasle,10,70,1936,NA
69,adaptive-prasle,10,70,2198,NA
70,adaptive-prasle,10,70,1843,NA
71,adaptive-prasle,10,70,1782,NA
72,adaptive-prasle,10,70,1846,NA
73,adaptive-prasle,10,70,1849,NA
74,adaptive-prasle,10,70,1884,NA
75,adaptive-prasle,10,70,1478,NA
76,adaptive-prasle,10,70,2041,NA
77,adaptive-prasle,10,70,1929,NA
78,adaptive-prasle,10,70,2004,NA
79,adaptive-prasle,10,70,1821,NA
80,adaptive-prasle,10,70,1978,NA
81,adaptive-prasle,10,70,1965,NA
82,adaptive-prasle,10,70,1773,NA
83,adaptive-prasle,10,70,1638,NA
84,adaptive-prasle,10,70,1943,NA
85,adaptive-prasle,10,70,1929,NA
86,adaptive-prasle,10,70,2325,NA
87,adaptive-prasle,10,70,1948,NA
88,adaptive-prasle,10,70,1645,NA
89,adaptive-prasle,10,70,1875,NA
90,adaptive-prasle,10,70,1563,NA
91,adaptive-prasle,10,70,1842,NA
92,adaptive-prasle,10,70,1641,NA
93,adaptive-prasle,10,70,2124,NA
94,adaptive-prasle,10,70,2122,NA
95,adaptive-prasle,10,70,1975,NA
96,adaptive-prasle,10,70,1575,NA
97,adaptive-prasle,10,70,1887,NA
98,adaptive-prasle,10,70,2011,NA
99,adaptive-prasle,10,70,2102,NA
100,adaptive-prasle,10,70,1774,NA
