trial,algorithm,node_count,convergence_time_ms
2,bully,50,4890
12,bully,50,4443
1,bully,50,5128
5,bully,50,4849
11,bully,50,4763
7,bully,50,4563
3,bully,50,4740
9,bully,50,4855
4,bully,50,5623
6,bully,50,5710
13,bully,50,4840
10,bully,50,4665
14,bully,50,5413
8,bully,50,4883
15,bully,50,4080
20,bully,50,4940
17,bully,50,5094
19,bully,50,4772
16,bully,50,5297
24,bully,50,4322
21,bully,50,5087
22,bully,50,5039
23,bully,50,4320
18,bully,50,4843
28,bully,50,4326
25,bully,50,5060
26,bully,50,5061
27,bully,50,4307
29,bully,50,4883
32,bully,50,4533
30,bully,50,5337
34,bully,50,4992
35,bully,50,5015
33,bully,50,5257
31,bully,50,4931
39,bully,50,5495
36,bully,50,4783
37,bully,50,5677
41,bully,50,4874
40,bully,50,5173
38,bully,50,4907
42,bully,50,5256
43,bully,50,5146
46,bully,50,4563
45,bully,50,4620
53,bully,50,4414
48,bully,50,4596
44,bully,50,4821
52,bully,50,4298
47,bully,50,4740
49,bully,50,4564
54,bully,50,4914
51,bully,50,5607
50,bully,50,5046
56,bully,50,4131
55,bully,50,5244
57,bully,50,4440
58,bully,50,4901
60,bully,50,4319
59,bully,50,5350
62,bully,50,5423
68,bully,50,4268
63,bully,50,5268
67,bully,50,5230
66,bully,50,5053
64,bully,50,4194
61,bully,50,5260
70,bully,50,4716
69,bully,50,5134
65,bully,50,5063
71,bully,50,4999
73,bully,50,4073
74,bully,50,4471
72,bully,50,4937
76,bully,50,4339
79,bully,50,4628
75,bully,50,4387
84,bully,50,4376
78,bully,50,4585
83,bully,50,4501
81,bully,50,5274
77,bully,50,5312
82,bully,50,5025
80,bully,50,5584
86,bully,50,4658
85,bully,50,5381
87,bully,50,5589
88,bully,50,5177
89,bully,50,5139
95,bully,50,4732
91,bully,50,5361
90,bully,50,5519
92,bully,50,4688
94,bully,50,5141
93,bully,50,5074
97,bully,50,5293
96,bully,50,5428
99,bully,50,5019
98,bully,50,5275
100,bully,50,5210
