trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,bully,100,120,4497,126661,6661
2,bully,100,120,4816,127622,7622
3,bully,100,120,4621,126959,6959
4,bully,100,120,4395,126869,6869
5,bully,100,120,4513,127091,7091
6,bully,100,120,4757,127915,7915
7,bully,100,120,4612,126756,6756
8,bully,100,120,4559,127486,7486
9,bully,100,120,4689,126734,6734
10,bully,100,120,4819,126588,6588
11,bully,100,120,4567,127916,7916
12,bully,100,120,4696,127616,7616
13,bully,100,120,4607,126929,6929
14,bully,100,120,4576,126459,6459
15,bully,100,120,4258,127430,7430
16,bully,100,120,4834,127954,7954
17,bully,100,120,4499,126203,6203
18,bully,100,120,4522,127106,7106
19,bully,100,120,4628,127226,7226
20,bully,100,120,4781,126989,6989
21,bully,100,120,4409,127826,7826
22,bully,100,120,4421,125980,5980
23,bully,100,120,4598,126425,6425
24,bully,100,120,4390,126066,6066
25,bully,100,120,4315,126049,6049
26,bully,100,120,4644,127201,7201
27,bully,100,120,4570,127071,7071
28,bully,100,120,4059,126413,6413
29,bully,100,120,4601,126705,6705
30,bully,100,120,4618,127387,7387
31,bully,100,120,4775,126785,6785
32,bully,100,120,4633,126036,6036
33,bully,100,120,4471,127045,7045
34,bully,100,120,4123,126712,6712
35,bully,100,120,4481,127812,7812
36,bully,100,120,4436,126501,6501
37,bully,100,120,4564,126673,6673
38,bully,100,120,4312,126344,6344
39,bully,100,120,4510,127265,7265
40,bully,100,120,4393,126600,6600
41,bully,100,120,4651,127772,7772
42,bully,100,120,4614,127180,7180
43,bully,100,120,4565,127704,7704
44,bully,100,120,4605,126864,6864
45,bully,100,120,4529,127260,7260
46,bully,100,120,4597,127274,7274
47,bully,100,120,4416,126179,6179
48,bully,100,120,4587,126580,6580
49,bully,100,120,4162,126353,6353
50,bully,100,120,4571,127823,7823
51,bully,100,120,4514,126971,6971
52,bully,100,120,4546,127381,7381
53,bully,100,120,4487,126301,6301
54,bully,100,120,4507,126484,6484
55,bully,100,120,4660,127172,7172
56,bully,100,120,4556,126444,6444
57,bully,100,120,4706,127485,7485
58,bully,100,120,4106,127173,7173
59,bully,100,120,4736,127072,7072
60,bully,100,120,4661,127244,7244
61,bully,100,120,4673,126738,6738
62,bully,100,120,4721,126726,6726
63,bully,100,120,4369,126396,6396
64,bully,100,120,4638,126742,6742
65,bully,100,120,4060,127822,7822
66,bully,100,120,4745,126168,6168
67,bully,100,120,4157,126184,6184
68,bully,100,120,4627,126052,6052
69,bully,100,120,4879,127783,7783
70,bully,100,120,4475,126548,6548
71,bully,100,120,4371,127190,7190
72,bully,100,120,4508,126120,6120
73,bully,100,120,4069,126708,6708
74,bully,100,120,4709,127903,7903
75,bully,100,120,4766,127290,7290
76,bully,100,120,4415,127454,7454
77,bully,100,120,4500,127180,7180
78,bully,100,120,4316,126358,6358
79,bully,100,120,4394,127648,7648
80,bully,100,120,4647,127361,7361
81,bully,100,120,4693,126903,6903
82,bully,100,120,4325,126327,6327
83,bully,100,120,4658,127601,7601
84,bully,100,120,4056,126082,6082
85,bully,100,120,4582,126815,6815
86,bully,100,120,4582,127240,7240
87,bully,100,120,4708,127125,7125
88,bully,100,120,4474,127511,7511
89,bully,100,120,4489,126977,6977
90,bully,100,120,4653,127611,7611
91,bully,100,120,4041,127532,7532
92,bully,100,120,4633,127724,7724
93,bully,100,120,4896,126247,6247
94,bully,100,120,4454,126215,6215
95,bully,100,120,4525,127895,7895
96,bully,100,120,4592,127372,7372
97,bully,100,120,4687,127435,7435
98,bully,100,120,4499,126797,6797
99,bully,100,120,4568,126548,6548
100,bully,100,120,4538,126147,6147
