trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,bully,10,5541,6623,5,10,true
2,bully,10,5409,5566,5,10,true
3,bully,10,4287,5390,5,10,true
4,bully,10,5489,5666,5,10,true
5,bully,10,5119,5681,5,10,true
6,bully,10,5565,4519,5,10,true
7,bully,10,5988,5998,5,10,true
8,bully,10,4494,5570,5,10,true
9,bully,10,5746,4567,5,10,true
10,bully,10,5013,5788,5,10,true
11,bully,10,6069,5836,5,10,true
12,bully,10,5249,6428,5,10,true
13,bully,10,5216,6102,5,10,true
14,bully,10,5197,5655,5,10,true
15,bully,10,6383,5156,5,10,true
16,bully,10,6192,4439,5,10,true
17,bully,10,6139,6177,5,10,true
18,bully,10,4556,4246,5,10,true
19,bully,10,5473,5842,5,10,true
20,bully,10,5058,5674,5,10,true
21,bully,10,4930,5451,5,10,true
22,bully,10,4570,4814,5,10,true
23,bully,10,4797,5526,5,10,true
24,bully,10,4663,4754,5,10,true
25,bully,10,4788,5434,5,10,true
26,bully,10,4974,5664,5,10,true
27,bully,10,4933,5864,5,10,true
28,bully,10,4568,5321,5,10,true
29,bully,10,6211,5067,5,10,true
30,bully,10,6598,5148,5,10,true
31,bully,10,5284,5910,5,10,true
32,bully,10,6075,4957,5,10,true
33,bully,10,4229,6696,5,10,true
34,bully,10,5549,4360,5,10,true
35,bully,10,5313,5793,5,10,true
36,bully,10,4899,5626,5,10,true
37,bully,10,6840,5260,5,10,true
38,bully,10,4901,5331,5,10,true
39,bully,10,5818,6899,5,10,true
40,bully,10,5668,6494,5,10,true
41,bully,10,5903,6183,5,10,true
42,bully,10,6432,5333,5,10,true
43,bully,10,4769,4693,5,10,true
44,bully,10,5063,6420,5,10,true
45,bully,10,6083,5182,5,10,true
46,bully,10,4456,4821,5,10,true
47,bully,10,6347,4997,5,10,true
48,bully,10,6496,5905,5,10,true
49,bully,10,4545,5998,5,10,true
50,bully,10,5855,6078,5,10,true
51,bully,10,5345,5574,5,10,true
52,bully,10,5740,5470,5,10,true
53,bully,10,4445,4567,5,10,true
54,bully,10,5388,6390,5,10,true
55,bully,10,5635,6868,5,10,true
56,bully,10,5338,5559,5,10,true
57,bully,10,6239,4595,5,10,true
58,bully,10,5121,4766,5,10,true
59,bully,10,5666,4916,5,10,true
60,bully,10,6332,4945,5,10,true
61,bully,10,4621,5878,5,10,true
62,bully,10,4418,5106,5,10,true
63,bully,10,6658,5373,5,10,true
64,bully,10,5873,6148,5,10,true
65,bully,10,6393,5245,5,10,true
66,bully,10,6252,4629,5,10,true
67,bully,10,4149,4557,5,10,true
68,bully,10,4260,5439,5,10,true
69,bully,10,5064,4801,5,10,true
70,bully,10,6362,5384,5,10,true
71,bully,10,5655,6726,5,10,true
72,bully,10,4894,5076,5,10,true
73,bully,10,5544,5874,5,10,true
74,bully,10,5099,5180,5,10,true
75,bully,10,4600,4659,5,10,true
76,bully,10,4150,4311,5,10,true
77,bully,10,4985,5844,5,10,true
78,bully,10,5829,4825,5,10,true
79,bully,10,5160,5732,5,10,true
80,bully,10,4911,5656,5,10,true
81,bully,10,4321,6252,5,10,true
82,bully,10,5510,5900,5,10,true
83,bully,10,4989,4905,5,10,true
84,bully,10,4810,4864,5,10,true
85,bully,10,5879,5670,5,10,true
86,bully,10,4283,5181,5,10,true
87,bully,10,4651,4728,5,10,true
88,bully,10,4510,4920,5,10,true
89,bully,10,5012,5682,5,10,true
90,bully,10,5010,5371,5,10,true
91,bully,10,4514,5965,5,10,true
92,bully,10,4369,4068,5,10,true
93,bully,10,6426,4558,5,10,true
94,bully,10,4491,4946,5,10,true
95,bully,10,4496,4927,5,10,true
96,bully,10,6353,5827,5,10,true
97,bully,10,4185,5738,5,10,true
98,bully,10,5532,6063,5,10,true
99,bully,10,5099,5286,5,10,true
100,bully,10,4697,5758,5,10,true
