trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,bully,100,50,4235,NA
2,bully,100,50,4244,NA
3,bully,100,50,4342,NA
4,bully,100,50,4260,NA
5,bully,100,50,4203,NA
6,bully,100,50,4272,NA
7,bully,100,50,4177,NA
8,bully,100,50,4480,NA
9,bully,100,50,4035,NA
10,bully,100,50,4115,NA
11,bully,100,50,4317,NA
12,bully,100,50,4267,NA
13,bully,100,50,4542,NA
14,bully,100,50,4292,NA
15,bully,100,50,4415,NA
16,bully,100,50,4127,NA
17,bully,100,50,4205,NA
18,bully,100,50,4088,NA
19,bully,100,50,4141,NA
20,bully,100,50,4171,NA
21,bully,100,50,4233,NA
22,bully,100,50,4275,NA
23,bully,100,50,4076,NA
24,bully,100,50,4191,NA
25,bully,100,50,4095,NA
26,bully,100,50,4226,NA
27,bully,100,50,4119,NA
28,bully,100,50,4206,NA
29,bully,100,50,4254,NA
30,bully,100,50,4257,NA
31,bully,100,50,4306,NA
32,bully,100,50,4123,NA
33,bully,100,50,4171,NA
34,bully,100,50,4296,NA
35,bully,100,50,4191,NA
36,bully,100,50,4449,NA
37,bully,100,50,4239,NA
38,bully,100,50,4037,NA
39,bully,100,50,4302,NA
40,bully,100,50,4104,NA
41,bully,100,50,4404,NA
42,bully,100,50,4124,NA
43,bully,100,50,4146,NA
44,bully,100,50,4309,NA
45,bully,100,50,4092,NA
46,bully,100,50,4290,NA
47,bully,100,50,4399,NA
48,bully,100,50,4532,NA
49,bully,100,50,4384,NA
50,bully,100,50,4397,NA
51,bully,100,50,4200,NA
52,bully,100,50,4427,NA
53,bully,100,50,4187,NA
54,bully,100,50,4140,NA
55,bully,100,50,4194,NA
56,bully,100,50,4157,NA
57,bully,100,50,4041,NA
58,bully,100,50,4395,NA
59,bully,100,50,4044,NA
60,bully,100,50,4132,NA
61,bully,100,50,4283,NA
62,bully,100,50,4073,NA
63,bully,100,50,4193,NA
64,bully,100,50,4136,NA
65,bully,100,50,4092,NA
66,bully,100,50,4150,NA
67,bully,100,50,4138,NA
68,bully,100,50,4112,NA
69,bully,100,50,4246,NA
70,bully,100,50,4259,NA
71,bully,100,50,4077,NA
72,bully,100,50,4417,NA
73,bully,100,50,4180,NA
74,bully,100,50,4292,NA
75,bully,100,50,4266,NA
76,bully,100,50,4168,NA
77,bully,100,50,4371,NA
78,bully,100,50,4261,NA
79,bully,100,50,4122,NA
80,bully,100,50,4114,NA
81,bully,100,50,4018,NA
82,bully,100,50,4192,NA
83,bully,100,50,4536,NA
84,bully,100,50,4196,NA
85,bully,100,50,4390,NA
86,bully,100,50,4196,NA
87,bully,100,50,4263,NA
88,bully,100,50,4199,NA
89,bully,100,50,4441,NA
90,bully,100,50,4077,NA
91,bully,100,50,4170,NA
92,bully,100,50,4045,NA
93,bully,100,50,4691,NA
94,bully,100,50,4212,NA
95,bully,100,50,4527,NA
96,bully,100,50,4307,NA
97,bully,100,50,4264,NA
98,bully,100,50,4122,NA
99,bully,100,50,4381,NA
100,bully,100,50,4300,NA
