trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,prasle-line,100,150,3123,152944,2944
2,prasle-line,100,150,2748,152912,2912
3,prasle-line,100,150,2747,152514,2514
4,prasle-line,100,150,2915,152797,2797
5,prasle-line,100,150,2767,152786,2786
6,prasle-line,100,150,2866,152783,2783
7,prasle-line,100,150,2937,152792,2792
8,prasle-line,100,150,2838,152815,2815
9,prasle-line,100,150,2934,152845,2845
10,prasle-line,100,150,2815,152508,2508
11,prasle-line,100,150,2832,152789,2789
12,prasle-line,100,150,2748,152970,2970
13,prasle-line,100,150,2718,152962,2962
14,prasle-line,100,150,2767,152942,2942
15,prasle-line,100,150,2866,152970,2970
16,prasle-line,100,150,2866,153046,3046
17,prasle-line,100,150,2787,152640,2640
18,prasle-line,100,150,2872,153118,3118
19,prasle-line,100,150,2878,152856,2856
20,prasle-line,100,150,2860,152553,2553
21,prasle-line,100,150,2961,152773,2773
22,prasle-line,100,150,2850,152551,2551
23,prasle-line,100,150,2805,152795,2795
24,prasle-line,100,150,2864,153387,3387
25,prasle-line,100,150,2895,152690,2690
26,prasle-line,100,150,2875,152944,2944
27,prasle-line,100,150,2815,152512,2512
28,prasle-line,100,150,2811,152506,2506
29,prasle-line,100,150,2828,153096,3096
30,prasle-line,100,150,2770,152767,2767
31,prasle-line,100,150,2762,152736,2736
32,prasle-line,100,150,2862,152864,2864
33,prasle-line,100,150,2830,152845,2845
34,prasle-line,100,150,2806,153108,3108
35,prasle-line,100,150,2847,152866,2866
36,prasle-line,100,150,2809,152966,2966
37,prasle-line,100,150,2953,152648,2648
38,prasle-line,100,150,2889,152796,2796
39,prasle-line,100,150,2806,152658,2658
40,prasle-line,100,150,2772,152889,2889
41,prasle-line,100,150,2719,152788,2788
42,prasle-line,100,150,2864,152772,2772
43,prasle-line,100,150,2810,152908,2908
44,prasle-line,100,150,2975,152971,2971
45,prasle-line,100,150,2786,153252,3252
46,prasle-line,100,150,2847,152689,2689
47,prasle-line,100,150,2793,152726,2726
48,prasle-line,100,150,2836,152754,2754
49,prasle-line,100,150,2752,152692,2692
50,prasle-line,100,150,2760,152639,2639
51,prasle-line,100,150,2856,152602,2602
52,prasle-line,100,150,2786,152481,2481
53,prasle-line,100,150,3010,152831,2831
54,prasle-line,100,150,2829,152753,2753
55,prasle-line,100,150,2819,152675,2675
56,prasle-line,100,150,2873,152827,2827
57,prasle-line,100,150,2783,152620,2620
58,prasle-line,100,150,2836,152850,2850
59,prasle-line,100,150,2973,152842,2842
60,prasle-line,100,150,2929,152986,2986
61,prasle-line,100,150,2736,152915,2915
62,prasle-line,100,150,2774,152537,2537
63,prasle-line,100,150,2906,152635,2635
64,prasle-line,100,150,2910,152909,2909
65,prasle-line,100,150,2739,152690,2690
66,prasle-line,100,150,2854,152558,2558
67,prasle-line,100,150,2844,152566,2566
68,prasle-line,100,150,2930,152737,2737
69,prasle-line,100,150,2757,152617,2617
70,prasle-line,100,150,2770,152715,2715
71,prasle-line,100,150,2827,152888,2888
72,prasle-line,100,150,2845,152803,2803
73,prasle-line,100,150,2752,152813,2813
74,prasle-line,100,150,2842,152972,2972
75,prasle-line,100,150,2802,152664,2664
76,prasle-line,100,150,2863,152558,2558
77,prasle-line,100,150,2795,152490,2490
78,prasle-line,100,150,2909,152606,2606
79,prasle-line,100,150,2961,152769,2769
80,prasle-line,100,150,2863,153070,3070
81,prasle-line,100,150,2960,152992,2992
82,prasle-line,100,150,2808,152813,2813
83,prasle-line,100,150,2740,152576,2576
84,prasle-line,100,150,2898,153001,3001
85,prasle-line,100,150,2868,152849,2849
86,prasle-line,100,150,2840,153088,3088
87,prasle-line,100,150,2786,153138,3138
88,prasle-line,100,150,2795,153045,3045
89,prasle-line,100,150,2772,152856,2856
90,prasle-line,100,150,2807,152960,2960
91,prasle-line,100,150,2799,153094,3094
92,prasle-line,100,150,2800,152620,2620
93,prasle-line,100,150,2819,152877,2877
94,prasle-line,100,150,2860,153334,3334
95,prasle-line,100,150,2769,152624,2624
96,prasle-line,100,150,2918,152613,2613
97,prasle-line,100,150,2855,153110,3110
98,prasle-line,100,150,2796,152988,2988
99,prasle-line,100,150,2942,152889,2889
100,prasle-line,100,150,2768,152584,2584
