trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle-line,100,2863,2841,1,67,true
2,prasle-line,100,2854,2973,1,76,true
3,prasle-line,100,2908,2967,1,65,true
4,prasle-line,100,3010,2873,1,57,true
5,prasle-line,100,2994,2793,1,59,true
6,prasle-line,100,2852,2775,41,75,true
7,prasle-line,100,2989,2847,25,91,true
8,prasle-line,100,2998,2928,1,51,true
9,prasle-line,100,3034,2908,1,94,true
10,prasle-line,100,2800,2949,44,76,true
11,prasle-line,100,2850,2739,1,56,true
12,prasle-line,100,3038,2817,1,56,true
13,prasle-line,100,2802,2850,40,69,true
14,prasle-line,100,2854,3087,1,67,true
15,prasle-line,100,2864,2804,1,62,true
16,prasle-line,100,2860,2914,30,92,true
17,prasle-line,100,2904,2909,39,100,true
18,prasle-line,100,2888,2868,1,79,true
19,prasle-line,100,3061,2732,46,61,true
20,prasle-line,100,3004,2804,39,85,true
21,prasle-line,100,2838,2823,36,56,true
22,prasle-line,100,2788,2945,34,54,true
23,prasle-line,100,2868,2850,1,90,true
24,prasle-line,100,2786,2893,37,90,true
25,prasle-line,100,2860,2855,41,100,true
26,prasle-line,100,2797,2816,45,73,true
27,prasle-line,100,2786,2772,1,53,true
28,prasle-line,100,2979,2808,31,63,true
29,prasle-line,100,2781,2945,1,58,true
30,prasle-line,100,2803,2887,1,62,true
31,prasle-line,100,2807,2910,1,65,true
32,prasle-line,100,2843,2760,1,54,true
33,prasle-line,100,2858,2735,39,97,true
34,prasle-line,100,2878,2774,35,70,true
35,prasle-line,100,2985,2734,1,85,true
36,prasle-line,100,2863,2987,41,61,true
37,prasle-line,100,2917,2720,1,63,true
38,prasle-line,100,2775,3068,26,70,true
39,prasle-line,100,3027,2818,1,76,true
40,prasle-line,100,2902,2767,1,79,true
41,prasle-line,100,2837,2892,1,53,true
42,prasle-line,100,2810,2815,1,54,true
43,prasle-line,100,2885,2859,34,54,true
44,prasle-line,100,2907,2833,35,68,true
45,prasle-line,100,2844,2788,25,85,true
46,prasle-line,100,2906,2773,47,53,true
47,prasle-line,100,2959,2812,41,68,true
48,prasle-line,100,2749,2926,1,63,true
49,prasle-line,100,2889,2786,1,55,true
50,prasle-line,100,2959,2923,27,56,true
51,prasle-line,100,2822,2834,26,86,true
52,prasle-line,100,2764,2895,1,68,true
53,prasle-line,100,2944,2785,37,59,true
54,prasle-line,100,2980,2925,26,89,true
55,prasle-line,100,2864,2741,30,86,true
56,prasle-line,100,2826,2935,44,56,true
57,prasle-line,100,3018,3045,1,60,true
58,prasle-line,100,2947,2755,43,98,true
59,prasle-line,100,2758,2840,50,75,true
60,prasle-line,100,2965,2874,1,74,true
61,prasle-line,100,2886,2840,1,70,true
62,prasle-line,100,2918,2971,32,90,true
63,prasle-line,100,3024,2837,37,67,true
64,prasle-line,100,2970,3036,37,97,true
65,prasle-line,100,2980,2746,1,90,true
66,prasle-line,100,2844,2837,25,66,true
67,prasle-line,100,2894,3050,25,93,true
68,prasle-line,100,3038,2917,1,74,true
69,prasle-line,100,2807,2955,1,56,true
70,prasle-line,100,2842,2869,33,85,true
71,prasle-line,100,2758,3067,1,57,true
72,prasle-line,100,2985,2845,1,62,true
73,prasle-line,100,2772,2860,1,54,true
74,prasle-line,100,2706,2876,44,83,true
75,prasle-line,100,2913,2883,1,90,true
76,prasle-line,100,2990,2769,40,97,true
77,prasle-line,100,2917,2807,33,87,true
78,prasle-line,100,2929,3041,1,59,true
79,prasle-line,100,2744,2900,33,67,true
80,prasle-line,100,2819,2793,1,73,true
81,prasle-line,100,2871,3004,35,86,true
82,prasle-line,100,2791,2883,1,88,true
83,prasle-line,100,2893,2775,1,68,true
84,prasle-line,100,2772,2793,40,79,true
85,prasle-line,100,2781,2828,28,73,true
86,prasle-line,100,2999,2737,1,76,true
87,prasle-line,100,2910,2940,37,51,true
88,prasle-line,100,2829,2910,42,83,true
89,prasle-line,100,2798,3028,1,74,true
90,prasle-line,100,2755,2788,1,76,true
91,prasle-line,100,2794,2915,50,93,true
92,prasle-line,100,2814,2991,1,86,true
93,prasle-line,100,3059,2823,32,70,true
94,prasle-line,100,2940,3025,1,72,true
95,prasle-line,100,2737,2840,27,82,true
96,prasle-line,100,2927,2870,45,78,true
97,prasle-line,100,2909,2846,1,88,true
98,prasle-line,100,2896,2848,1,82,true
99,prasle-line,100,2888,2930,44,81,true
100,prasle-line,100,2991,2888,1,77,true
