trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,prasle-line,50,90,2785,NA
2,prasle-line,50,90,2893,NA
3,prasle-line,50,90,2900,NA
4,prasle-line,50,90,2764,NA
5,prasle-line,50,90,2779,NA
6,prasle-line,50,90,2986,NA
7,prasle-line,50,90,2791,NA
8,prasle-line,50,90,2809,NA
9,prasle-line,50,90,2806,NA
10,prasle-line,50,90,2956,NA
11,prasle-line,50,90,3024,NA
12,prasle-line,50,90,2796,NA
13,prasle-line,50,90,2820,NA
14,prasle-line,50,90,2761,NA
15,prasle-line,50,90,2948,NA
16,prasle-line,50,90,2850,NA
17,prasle-line,50,90,2912,NA
18,prasle-line,50,90,2818,NA
19,prasle-line,50,90,2891,NA
20,prasle-line,50,90,2744,NA
21,prasle-line,50,90,2838,NA
22,prasle-line,50,90,2985,NA
23,prasle-line,50,90,2908,NA
24,prasle-line,50,90,3036,NA
25,prasle-line,50,90,3031,NA
26,prasle-line,50,90,3000,NA
27,prasle-line,50,90,2931,NA
28,prasle-line,50,90,2864,NA
29,prasle-line,50,90,3030,NA
30,prasle-line,50,90,3014,NA
31,prasle-line,50,90,2958,NA
32,prasle-line,50,90,2920,NA
33,prasle-line,50,90,3117,NA
34,prasle-line,50,90,3066,NA
35,prasle-line,50,90,2957,NA
36,prasle-line,50,90,2737,NA
37,prasle-line,50,90,2942,NA
38,prasle-line,50,90,2901,NA
39,prasle-line,50,90,2820,NA
40,prasle-line,50,90,2853,NA
41,prasle-line,50,90,2852,NA
42,prasle-line,50,90,3057,NA
43,prasle-line,50,90,2931,NA
44,prasle-line,50,90,2976,NA
45,prasle-line,50,90,2994,NA
46,prasle-line,50,90,3139,NA
47,prasle-line,50,90,2767,NA
48,prasle-line,50,90,2917,NA
49,prasle-line,50,90,2727,NA
50,prasle-line,50,90,2858,NA
51,prasle-line,50,90,2993,NA
52,prasle-line,50,90,2744,NA
53,prasle-line,50,90,2875,NA
54,prasle-line,50,90,2824,NA
55,prasle-line,50,90,2879,NA
56,prasle-line,50,90,2922,NA
57,prasle-line,50,90,2930,NA
58,prasle-line,50,90,2785,NA
59,prasle-line,50,90,2852,NA
60,prasle-line,50,90,2811,NA
61,prasle-line,50,90,2965,NA
62,prasle-line,50,90,2913,NA
63,prasle-line,50,90,2930,NA
64,prasle-line,50,90,2933,NA
65,prasle-line,50,90,2885,NA
66,prasle-line,50,90,2759,NA
67,prasle-line,50,90,2769,NA
68,prasle-line,50,90,2854,NA
69,prasle-line,50,90,3142,NA
70,prasle-line,50,90,2923,NA
71,prasle-line,50,90,2890,NA
72,prasle-line,50,90,2853,NA
73,prasle-line,50,90,2847,NA
74,prasle-line,50,90,2996,NA
75,prasle-line,50,90,2958,NA
76,prasle-line,50,90,2904,NA
77,prasle-line,50,90,2946,NA
78,prasle-line,50,90,2888,NA
79,prasle-line,50,90,3053,NA
80,prasle-line,50,90,2789,NA
81,prasle-line,50,90,2889,NA
82,prasle-line,50,90,2834,NA
83,prasle-line,50,90,2798,NA
84,prasle-line,50,90,2736,NA
85,prasle-line,50,90,2835,NA
86,prasle-line,50,90,2851,NA
87,prasle-line,50,90,2831,NA
88,prasle-line,50,90,2858,NA
89,prasle-line,50,90,2824,NA
90,prasle-line,50,90,2809,NA
91,prasle-line,50,90,3007,NA
92,prasle-line,50,90,2943,NA
93,prasle-line,50,90,2805,NA
94,prasle-line,50,90,2926,NA
95,prasle-line,50,90,2973,NA
96,prasle-line,50,90,2776,NA
97,prasle-line,50,90,2854,NA
98,prasle-line,50,90,2996,NA
99,prasle-line,50,90,3007,NA
100,prasle-line,50,90,2819,NA
