trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,prasle-mesh,50,70,3103,NA
2,prasle-mesh,50,70,2811,NA
3,prasle-mesh,50,70,2843,NA
4,prasle-mesh,50,70,2767,NA
5,prasle-mesh,50,70,2897,NA
6,prasle-mesh,50,70,2835,NA
7,prasle-mesh,50,70,3122,NA
8,prasle-mesh,50,70,2867,NA
9,prasle-mesh,50,70,2899,NA
10,prasle-mesh,50,70,2939,NA
11,prasle-mesh,50,70,2832,NA
12,prasle-mesh,50,70,3128,NA
13,prasle-mesh,50,70,2882,NA
14,prasle-mesh,50,70,2879,NA
15,prasle-mesh,50,70,2947,NA
16,prasle-mesh,50,70,2970,NA
17,prasle-mesh,50,70,2910,NA
18,prasle-mesh,50,70,2817,NA
19,prasle-mesh,50,70,2989,NA
20,prasle-mesh,50,70,2827,NA
21,prasle-mesh,50,70,3037,NA
22,prasle-mesh,50,70,2753,NA
23,prasle-mesh,50,70,2848,NA
24,prasle-mesh,50,70,2784,NA
25,prasle-mesh,50,70,2793,NA
26,prasle-mesh,50,70,2874,NA
27,prasle-mesh,50,70,2849,NA
28,prasle-mesh,50,70,2876,NA
29,prasle-mesh,50,70,2879,NA
30,prasle-mesh,50,70,2880,NA
31,prasle-mesh,50,70,2951,NA
32,prasle-mesh,50,70,3049,NA
33,prasle-mesh,50,70,2859,NA
34,prasle-mesh,50,70,2803,NA
35,prasle-mesh,50,70,2849,NA
36,prasle-mesh,50,70,2826,NA
37,prasle-mesh,50,70,2896,NA
38,prasle-mesh,50,70,2950,NA
39,prasle-mesh,50,70,2936,NA
40,prasle-mesh,50,70,2887,NA
41,prasle-mesh,50,70,2754,NA
42,prasle-mesh,50,70,2864,NA
43,prasle-mesh,50,70,3025,NA
44,prasle-mesh,50,70,2968,NA
45,prasle-mesh,50,70,3158,NA
46,prasle-mesh,50,70,2842,NA
47,prasle-mesh,50,70,2802,NA
48,prasle-mesh,50,70,2792,NA
49,prasle-mesh,50,70,2838,NA
50,prasle-mesh,50,70,2861,NA
51,prasle-mesh,50,70,2710,NA
52,prasle-mesh,50,70,2858,NA
53,prasle-mesh,50,70,2807,NA
54,prasle-mesh,50,70,2830,NA
55,prasle-mesh,50,70,2911,NA
56,prasle-mesh,50,70,2802,NA
57,prasle-mesh,50,70,2810,NA
58,prasle-mesh,50,70,2916,NA
59,prasle-mesh,50,70,2994,NA
60,prasle-mesh,50,70,2848,NA
61,prasle-mesh,50,70,2803,NA
62,prasle-mesh,50,70,2930,NA
63,prasle-mesh,50,70,2730,NA
64,prasle-mesh,50,70,2848,NA
65,prasle-mesh,50,70,2956,NA
66,prasle-mesh,50,70,2933,NA
67,prasle-mesh,50,70,2717,NA
68,prasle-mesh,50,70,2838,NA
69,prasle-mesh,50,70,2982,NA
70,prasle-mesh,50,70,2843,NA
71,prasle-mesh,50,70,2794,NA
72,prasle-mesh,50,70,2913,NA
73,prasle-mesh,50,70,2826,NA
74,prasle-mesh,50,70,3013,NA
75,prasle-mesh,50,70,2845,NA
76,prasle-mesh,50,70,3161,NA
77,prasle-mesh,50,70,2917,NA
78,prasle-mesh,50,70,2794,NA
79,prasle-mesh,50,70,2929,NA
80,prasle-mesh,50,70,2857,NA
81,prasle-mesh,50,70,2921,NA
82,prasle-mesh,50,70,3046,NA
83,prasle-mesh,50,70,2716,NA
84,prasle-mesh,50,70,2899,NA
85,prasle-mesh,50,70,2845,NA
86,prasle-mesh,50,70,3073,NA
87,prasle-mesh,50,70,2818,NA
88,prasle-mesh,50,70,2839,NA
89,prasle-mesh,50,70,2862,NA
90,prasle-mesh,50,70,2984,NA
91,prasle-mesh,50,70,2916,NA
92,prasle-mesh,50,70,2993,NA
93,prasle-mesh,50,70,2942,NA
94,prasle-mesh,50,70,2765,NA
95,prasle-mesh,50,70,3007,NA
96,prasle-mesh,50,70,2808,NA
97,prasle-mesh,50,70,2892,NA
98,prasle-mesh,50,70,2853,NA
99,prasle-mesh,50,70,2731,NA
100,prasle-mesh,50,70,2791,NA
