timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
2944,3,bully,2944,1,1,2944,3,3,18,18,1,1,0,2944,0,2,0,0,0,NORMAL,0,3,2,2,5,3,0,3,0,0,0,0,0,0,0
2965,2,bully,2965,1,1,2965,3,6,18,36,1,1,0,2965,0,2,0,0,0,NORMAL,0,3,2,3,3,3,0,6,0,0,0,0,0,0,0
2829,5,bully,2829,1,1,2829,3,4,18,24,1,1,0,2829,0,2,0,0,0,NORMAL,0,3,2,3,3,3,0,4,0,0,0,0,0,0,0
3523,1,bully,3523,1,1,3523,3,8,18,48,1,1,0,3523,0,2,0,0,0,LEADER,1,4,1,4,1,3,0,8,0,0,0,0,0,0,0
3386,4,bully,3386,1,1,3386,3,8,18,48,1,1,0,3386,0,2,0,0,0,NORMAL,0,3,2,3,5,3,0,8,0,0,0,0,0,0,0
5247,3,bully,2944,1,1,2944,6,9,36,54,1,1,2303,2944,0,2,0,0,0,NORMAL,0,3,1,5,5,6,0,9,0,0,0,0,0,0,0
5268,2,bully,2965,1,1,2965,6,12,36,72,1,1,2303,2965,0,2,0,0,0,NORMAL,0,3,1,6,3,6,0,12,0,0,0,0,0,0,0
5132,5,bully,2829,1,1,2829,6,10,36,60,1,1,2303,2829,0,2,0,0,0,NORMAL,0,3,1,6,3,6,0,10,0,0,0,0,0,0,0
5826,1,bully,3523,1,1,3523,6,14,36,84,1,1,2303,3523,0,2,0,0,0,LEADER,1,4,1,7,1,6,0,14,0,0,0,0,0,0,0
5689,4,bully,3386,1,1,3386,6,14,36,84,1,1,2303,3386,0,2,0,0,0,NORMAL,0,3,1,6,5,6,0,14,0,0,0,0,0,0,0
7550,3,bully,2944,1,1,2944,9,15,54,90,1,1,4606,2944,0,2,0,0,0,NORMAL,0,3,1,8,5,9,0,15,0,0,0,0,0,0,0
7571,2,bully,2965,1,1,2965,9,18,54,108,1,1,4606,2965,0,2,0,0,0,NORMAL,0,3,1,9,3,9,0,18,0,0,0,0,0,0,0
7435,5,bully,2829,1,1,2829,9,16,54,96,1,1,4606,2829,0,2,0,0,0,NORMAL,0,3,1,9,3,9,0,16,0,0,0,0,0,0,0
8129,1,bully,3523,1,1,3523,9,20,54,120,1,1,4606,3523,0,2,0,0,0,LEADER,1,4,1,10,1,9,0,20,0,0,0,0,0,0,0
7992,4,bully,3386,1,1,3386,9,20,54,120,1,1,4606,3386,0,2,0,0,0,NORMAL,0,3,1,9,5,9,0,20,0,0,0,0,0,0,0
9853,3,bully,2944,1,2,12797,12,21,72,126,1,1,6909,2944,0,3,0,0,0,NORMAL,0,3,2,3,8,12,0,21,0,0,0,0,0,0,0
9874,2,bully,2965,1,2,12839,12,24,72,144,1,1,6909,2965,0,3,0,0,0,NORMAL,0,3,2,3,6,12,0,24,0,0,0,0,0,0,0
9738,5,bully,2829,1,2,12567,12,22,72,132,1,1,6909,2829,0,3,0,0,0,NORMAL,0,3,2,3,6,12,0,22,0,0,0,0,0,0,0
10432,1,bully,3523,1,2,13955,12,26,72,156,1,1,6909,3523,0,3,0,0,0,LEADER,1,4,1,4,2,12,0,26,0,0,0,0,0,0,0
10295,4,bully,3386,1,2,13681,12,26,72,156,1,1,6909,3386,0,3,0,0,0,NORMAL,0,3,2,4,7,12,0,26,0,0,0,0,0,0,0
12156,3,bully,2944,1,2,12797,15,27,90,162,1,1,9212,2944,0,3,0,0,0,NORMAL,0,3,1,6,8,15,0,27,0,0,0,0,0,0,0
12177,2,bully,2965,1,2,12839,15,30,90,180,1,1,9212,2965,0,3,0,0,0,NORMAL,0,3,1,6,6,15,0,30,0,0,0,0,0,0,0
12041,5,bully,2829,1,2,12567,15,28,90,168,1,1,9212,2829,0,3,0,0,0,NORMAL,0,3,1,6,6,15,0,28,0,0,0,0,0,0,0
12735,1,bully,3523,1,2,13955,15,32,90,192,1,1,9212,3523,0,3,0,0,0,LEADER,1,4,1,7,2,15,0,32,0,0,0,0,0,0,0
12598,4,bully,3386,1,2,13681,15,32,90,192,1,1,9212,3386,0,3,0,0,0,NORMAL,0,3,1,7,7,15,0,32,0,0,0,0,0,0,0
14459,3,bully,2944,1,2,12797,18,33,108,198,1,1,11515,2944,0,3,0,0,0,NORMAL,0,3,1,9,8,18,0,33,0,0,0,0,0,0,0
14480,2,bully,2965,1,2,12839,18,36,108,216,1,1,11515,2965,0,3,0,0,0,NORMAL,0,3,1,9,6,18,0,36,0,0,0,0,0,0,0
14344,5,bully,2829,1,2,12567,18,34,108,204,1,1,11515,2829,0,3,0,0,0,NORMAL,0,3,1,9,6,18,0,34,0,0,0,0,0,0,0
15038,1,bully,3523,1,2,13955,18,38,108,228,1,1,11515,3523,0,3,0,0,0,LEADER,1,4,1,10,2,18,0,38,0,0,0,0,0,0,0
14901,4,bully,3386,1,2,13681,18,38,108,228,1,1,11515,3386,0,3,0,0,0,NORMAL,0,3,1,10,7,18,0,38,0,0,0,0,0,0,0
16762,3,bully,2944,1,3,29559,21,39,126,234,1,1,13818,2944,0,4,0,0,0,NORMAL,0,3,2,3,11,21,0,39,0,0,0,0,0,0,0
16783,2,bully,2965,1,3,29622,21,42,126,252,1,1,13818,2965,0,4,0,0,0,NORMAL,0,3,2,3,9,21,0,42,0,0,0,0,0,0,0
16647,5,bully,2829,1,3,29214,21,40,126,240,1,1,13818,2829,0,4,0,0,0,NORMAL,0,3,2,3,9,21,0,40,0,0,0,0,0,0,0
17341,1,bully,3523,1,3,31296,21,44,126,264,1,1,13818,3523,0,4,0,0,0,LEADER,1,4,1,4,3,21,0,44,0,0,0,0,0,0,0
17204,4,bully,3386,1,3,30885,21,44,126,264,1,1,13818,3386,0,4,0,0,0,NORMAL,0,3,2,4,9,21,0,44,0,0,0,0,0,0,0
19065,3,bully,2944,1,3,29559,24,45,144,270,1,1,16121,2944,0,4,0,0,0,NORMAL,0,3,1,6,11,24,0,45,0,0,0,0,0,0,0
19086,2,bully,2965,1,3,29622,24,48,144,288,1,1,16121,2965,0,4,0,0,0,NORMAL,0,3,1,6,9,24,0,48,0,0,0,0,0,0,0
18950,5,bully,2829,1,3,29214,24,46,144,276,1,1,16121,2829,0,4,0,0,0,NORMAL,0,3,1,6,9,24,0,46,0,0,0,0,0,0,0
19644,1,bully,3523,1,3,31296,24,50,144,300,1,1,16121,3523,0,4,0,0,0,LEADER,1,4,1,7,3,24,0,50,0,0,0,0,0,0,0
19507,4,bully,3386,1,3,30885,24,50,144,300,1,1,16121,3386,0,4,0,0,0,NORMAL,0,3,1,7,9,24,0,50,0,0,0,0,0,0,0
21368,3,bully,2944,1,3,29559,27,51,162,306,1,1,18424,2944,0,4,0,0,0,NORMAL,0,3,1,9,11,27,0,51,0,0,0,0,0,0,0
21389,2,bully,2965,1,3,29622,27,54,162,324,1,1,18424,2965,0,4,0,0,0,NORMAL,0,3,1,9,9,27,0,54,0,0,0,0,0,0,0
21253,5,bully,2829,1,3,29214,27,52,162,312,1,1,18424,2829,0,4,0,0,0,NORMAL,0,3,1,9,9,27,0,52,0,0,0,0,0,0,0
21947,1,bully,3523,1,3,31296,27,56,162,336,1,1,18424,3523,0,4,0,0,0,LEADER,1,4,1,10,3,27,0,56,0,0,0,0,0,0,0
21810,4,bully,3386,1,3,30885,27,56,162,336,1,1,18424,3386,0,4,0,0,0,NORMAL,0,3,1,10,9,27,0,56,0,0,0,0,0,0,0
23671,3,bully,2944,1,4,53230,30,57,180,342,1,1,20727,2944,0,5,0,0,0,NORMAL,0,3,2,3,14,30,0,57,0,0,0,0,0,0,0
23692,2,bully,2965,1,4,53314,30,60,180,360,1,1,20727,2965,0,5,0,0,0,NORMAL,0,3,2,3,12,30,0,60,0,0,0,0,0,0,0
23556,5,bully,2829,1,4,52770,30,58,180,348,1,1,20727,2829,0,5,0,0,0,NORMAL,0,3,2,3,12,30,0,58,0,0,0,0,0,0,0
24250,1,bully,3523,1,4,55546,30,62,180,372,1,1,20727,3523,0,5,0,0,0,LEADER,1,4,1,4,4,30,0,62,0,0,0,0,0,0,0
24113,4,bully,3386,1,4,54998,30,62,180,372,1,1,20727,3386,0,5,0,0,0,NORMAL,0,3,2,4,11,30,0,62,0,0,0,0,0,0,0
25974,3,bully,2944,1,4,53230,33,63,198,378,1,1,23030,2944,0,5,0,0,0,NORMAL,0,3,1,6,14,33,0,63,0,0,0,0,0,0,0
25995,2,bully,2965,1,4,53314,33,66,198,396,1,1,23030,2965,0,5,0,0,0,NORMAL,0,3,1,6,12,33,0,66,0,0,0,0,0,0,0
25859,5,bully,2829,1,4,52770,33,64,198,384,1,1,23030,2829,0,5,0,0,0,NORMAL,0,3,1,6,12,33,0,64,0,0,0,0,0,0,0
26553,1,bully,3523,1,4,55546,33,68,198,408,1,1,23030,3523,0,5,0,0,0,LEADER,1,4,1,7,4,33,0,68,0,0,0,0,0,0,0
26416,4,bully,3386,1,4,54998,33,68,198,408,1,1,23030,3386,0,5,0,0,0,NORMAL,0,3,1,7,11,33,0,68,0,0,0,0,0,0,0
28277,3,bully,2944,1,4,53230,36,69,216,414,1,1,25333,2944,0,5,0,0,0,NORMAL,0,3,1,9,14,36,0,69,0,0,0,0,0,0,0
28298,2,bully,2965,1,4,53314,36,72,216,432,1,1,25333,2965,0,5,0,0,0,NORMAL,0,3,1,9,12,36,0,72,0,0,0,0,0,0,0
28162,5,bully,2829,1,4,52770,36,70,216,420,1,1,25333,2829,0,5,0,0,0,NORMAL,0,3,1,9,12,36,0,70,0,0,0,0,0,0,0
28856,1,bully,3523,1,4,55546,36,74,216,444,1,1,25333,3523,0,5,0,0,0,LEADER,1,4,1,10,4,36,0,74,0,0,0,0,0,0,0
28719,4,bully,3386,1,4,54998,36,74,216,444,1,1,25333,3386,0,5,0,0,0,NORMAL,0,3,1,10,11,36,0,74,0,0,0,0,0,0,0
30580,3,bully,2944,1,5,83810,39,75,234,450,1,1,27636,2944,0,6,0,0,0,NORMAL,0,3,2,3,17,39,0,75,0,0,0,0,0,0,0
30601,2,bully,2965,1,5,83915,39,78,234,468,1,1,27636,2965,0,6,0,0,0,NORMAL,0,3,2,3,15,39,0,78,0,0,0,0,0,0,0
30465,5,bully,2829,1,5,83235,39,76,234,456,1,1,27636,2829,0,6,0,0,0,NORMAL,0,3,2,3,15,39,0,76,0,0,0,0,0,0,0
31159,1,bully,3523,1,5,86705,39,80,234,480,1,1,27636,3523,0,6,0,0,0,LEADER,1,4,1,4,5,39,0,80,0,0,0,0,0,0,0
