trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle-ring,50,3344,3026,19,35,true
2,prasle-ring,50,2798,2748,25,39,true
3,prasle-ring,50,2809,2926,17,29,true
4,prasle-ring,50,2862,2927,1,35,true
5,prasle-ring,50,3061,2858,20,26,true
6,prasle-ring,50,3075,2857,19,39,true
7,prasle-ring,50,3029,2732,1,42,true
8,prasle-ring,50,2883,2894,1,43,true
9,prasle-ring,50,3078,2840,1,31,true
10,prasle-ring,50,2948,2914,1,32,true
11,prasle-ring,50,2990,2868,25,41,true
12,prasle-ring,50,3107,2892,1,26,true
13,prasle-ring,50,3061,2841,21,26,true
14,prasle-ring,50,2865,2860,1,49,true
15,prasle-ring,50,2809,2914,20,44,true
16,prasle-ring,50,3093,3203,22,41,true
17,prasle-ring,50,2853,3202,1,35,true
18,prasle-ring,50,3011,3123,1,26,true
19,prasle-ring,50,2900,2879,1,46,true
20,prasle-ring,50,3271,2986,19,38,true
21,prasle-ring,50,2882,3023,23,46,true
22,prasle-ring,50,3025,3098,24,45,true
23,prasle-ring,50,2907,3060,1,33,true
24,prasle-ring,50,3035,2789,1,49,true
25,prasle-ring,50,3093,2830,14,48,true
26,prasle-ring,50,2968,3042,22,50,true
27,prasle-ring,50,2886,2944,15,50,true
28,prasle-ring,50,2880,2857,1,30,true
29,prasle-ring,50,2836,2900,1,26,true
30,prasle-ring,50,2922,2905,18,31,true
31,prasle-ring,50,3003,3137,17,27,true
32,prasle-ring,50,2837,2947,1,27,true
33,prasle-ring,50,2984,2995,1,49,true
34,prasle-ring,50,2875,2827,25,41,true
35,prasle-ring,50,2910,3007,1,29,true
36,prasle-ring,50,3002,2898,1,40,true
37,prasle-ring,50,2844,3046,1,44,true
38,prasle-ring,50,3244,2960,1,40,true
39,prasle-ring,50,2888,2786,25,48,true
40,prasle-ring,50,2998,2949,19,50,true
41,prasle-ring,50,2905,2827,15,43,true
42,prasle-ring,50,2864,2926,1,50,true
43,prasle-ring,50,3006,2957,1,39,true
44,prasle-ring,50,3190,2984,21,50,true
45,prasle-ring,50,3019,2865,19,31,true
46,prasle-ring,50,2791,3030,18,42,true
47,prasle-ring,50,2830,2729,16,47,true
48,prasle-ring,50,2817,3071,23,39,true
49,prasle-ring,50,2867,2915,25,38,true
50,prasle-ring,50,2881,2825,19,50,true
51,prasle-ring,50,2936,2878,17,40,true
52,prasle-ring,50,2768,3175,1,29,true
53,prasle-ring,50,2894,3428,1,50,true
54,prasle-ring,50,2901,2910,24,49,true
55,prasle-ring,50,3246,2749,1,40,true
56,prasle-ring,50,3062,2845,1,32,true
57,prasle-ring,50,2884,2934,20,41,true
58,prasle-ring,50,3006,2853,1,40,true
59,prasle-ring,50,3069,3078,1,46,true
60,prasle-ring,50,2982,3030,1,29,true
61,prasle-ring,50,2938,2979,1,44,true
62,prasle-ring,50,2998,2871,1,26,true
63,prasle-ring,50,2889,2856,15,26,true
64,prasle-ring,50,2858,3008,1,29,true
65,prasle-ring,50,2737,3227,1,44,true
66,prasle-ring,50,2943,2870,22,50,true
67,prasle-ring,50,2944,3039,25,44,true
68,prasle-ring,50,3004,3089,1,31,true
69,prasle-ring,50,2771,2919,1,48,true
70,prasle-ring,50,2864,2821,1,46,true
71,prasle-ring,50,2807,3004,1,48,true
72,prasle-ring,50,2929,2782,14,44,true
73,prasle-ring,50,2938,3019,1,46,true
74,prasle-ring,50,2946,2886,1,39,true
75,prasle-ring,50,2958,2957,25,40,true
76,prasle-ring,50,3121,3008,21,29,true
77,prasle-ring,50,3272,3122,17,41,true
78,prasle-ring,50,2963,2776,22,44,true
79,prasle-ring,50,2901,2770,1,35,true
80,prasle-ring,50,3158,3012,1,38,true
81,prasle-ring,50,3133,3033,1,32,true
82,prasle-ring,50,3056,3052,1,43,true
83,prasle-ring,50,3014,2897,22,29,true
84,prasle-ring,50,2887,3058,1,44,true
85,prasle-ring,50,3031,2787,16,32,true
86,prasle-ring,50,2737,2936,24,45,true
87,prasle-ring,50,3182,2956,1,42,true
88,prasle-ring,50,3255,2922,18,42,true
89,prasle-ring,50,3011,2886,25,47,true
90,prasle-ring,50,3047,3093,1,41,true
91,prasle-ring,50,3201,2899,1,50,true
92,prasle-ring,50,3198,2834,16,38,true
93,prasle-ring,50,3093,2949,1,43,true
94,prasle-ring,50,2774,2915,14,36,true
95,prasle-ring,50,3030,2999,21,34,true
96,prasle-ring,50,2970,2958,20,26,true
97,prasle-ring,50,3136,2805,25,44,true
98,prasle-ring,50,2860,2822,20,29,true
99,prasle-ring,50,2763,2939,1,37,true
100,prasle-ring,50,2763,2791,1,47,true
