trial,algorithm,node_count,convergence_time_ms
3,prasle,100,2778
2,prasle,100,2849
4,prasle,100,2737
6,prasle,100,2799
5,prasle,100,2891
1,prasle,100,2899
9,prasle,100,2794
13,prasle,100,2938
7,prasle,100,2844
8,prasle,100,2821
11,prasle,100,2792
14,prasle,100,2769
10,prasle,100,2804
12,prasle,100,2890
17,prasle,100,2880
18,prasle,100,2961
27,prasle,100,2764
16,prasle,100,2772
25,prasle,100,2730
20,prasle,100,2722
23,prasle,100,2766
24,prasle,100,2786
26,prasle,100,2782
21,prasle,100,2716
19,prasle,100,2764
15,prasle,100,2791
22,prasle,100,2874
28,prasle,100,2751
29,prasle,100,2739
36,prasle,100,2796
30,prasle,100,2810
41,prasle,100,2864
34,prasle,100,2829
39,prasle,100,2889
37,prasle,100,2863
31,prasle,100,2864
32,prasle,100,2757
35,prasle,100,2795
40,prasle,100,2796
33,prasle,100,3070
42,prasle,100,2729
38,prasle,100,2825
45,prasle,100,2762
49,prasle,100,2772
50,prasle,100,2762
53,prasle,100,2846
48,prasle,100,2917
43,prasle,100,2803
44,prasle,100,2814
46,prasle,100,2737
54,prasle,100,2838
55,prasle,100,2858
52,prasle,100,2847
47,prasle,100,2853
56,prasle,100,2801
51,prasle,100,2834
60,prasle,100,2904
58,prasle,100,2778
57,prasle,100,2980
59,prasle,100,2792
61,prasle,100,2843
62,prasle,100,2801
64,prasle,100,2849
66,prasle,100,2869
63,prasle,100,2782
65,prasle,100,2818
69,prasle,100,2858
67,prasle,100,2786
68,prasle,100,2800
70,prasle,100,2776
73,prasle,100,2841
72,prasle,100,2925
71,prasle,100,2866
74,prasle,100,2840
77,prasle,100,2817
82,prasle,100,2855
75,prasle,100,2807
79,prasle,100,2733
83,prasle,100,2856
78,prasle,100,2786
80,prasle,100,2743
76,prasle,100,2873
81,prasle,100,2866
84,prasle,100,2864
85,prasle,100,2760
86,prasle,100,2778
87,prasle,100,2745
88,prasle,100,2790
91,prasle,100,2739
95,prasle,100,2734
90,prasle,100,2734
89,prasle,100,2886
94,prasle,100,2747
97,prasle,100,2794
98,prasle,100,2887
96,prasle,100,2756
93,prasle,100,2806
92,prasle,100,2747
99,prasle,100,2799
100,prasle,100,2861
