timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
2723,3,bully,2723,1,1,2723,3,6,18,36,1,1,0,2723,0,2,0,0,0,NORMAL,0,3,2,2,5,3,0,6,0,0,0,0,0,0,0
3166,4,bully,3166,1,1,3166,3,10,18,60,1,1,0,3166,0,2,0,0,0,NORMAL,0,3,2,3,5,3,0,10,0,0,0,0,0,0,0
3281,2,bully,3281,1,1,3281,3,12,18,72,1,1,0,3281,0,2,0,0,0,NORMAL,0,3,2,3,3,3,0,12,0,0,0,0,0,0,0
3302,1,bully,3302,1,1,3302,3,13,18,78,1,1,0,3302,0,2,0,0,0,LEADER,1,4,1,4,1,3,0,13,0,0,0,0,0,0,0
3608,5,bully,3608,1,1,3608,3,16,18,96,1,1,0,3608,0,2,0,0,0,NORMAL,0,3,2,4,4,3,0,16,0,0,0,0,0,0,0
5025,3,bully,2723,1,1,2723,6,18,36,108,1,1,2302,2723,0,2,0,0,0,NORMAL,0,3,1,5,5,6,0,18,0,0,0,0,0,0,0
5469,4,bully,3166,1,1,3166,6,22,36,132,1,1,2303,3166,0,2,0,0,0,NORMAL,0,3,1,6,5,6,0,22,0,0,0,0,0,0,0
5584,2,bully,3281,1,1,3281,6,24,36,144,1,1,2303,3281,0,2,0,0,0,NORMAL,0,3,1,6,3,6,0,24,0,0,0,0,0,0,0
5605,1,bully,3302,1,1,3302,6,25,36,150,1,1,2303,3302,0,2,0,0,0,LEADER,1,4,1,7,1,6,0,25,0,0,0,0,0,0,0
5911,5,bully,3608,1,1,3608,6,28,36,168,1,1,2303,3608,0,2,0,0,0,NORMAL,0,3,1,7,4,6,0,28,0,0,0,0,0,0,0
7328,3,bully,2723,1,1,2723,9,30,54,180,1,1,4605,2723,0,2,0,0,0,NORMAL,0,3,1,8,5,9,0,30,0,0,0,0,0,0,0
7772,4,bully,3166,1,1,3166,9,33,54,198,1,1,4606,3166,0,2,0,0,0,NORMAL,0,3,1,9,5,9,0,33,0,0,0,0,0,0,0
7887,2,bully,3281,1,1,3281,9,36,54,216,1,1,4606,3281,0,2,0,0,0,NORMAL,0,3,1,9,3,9,0,36,0,0,0,0,0,0,0
7908,1,bully,3302,1,1,3302,9,37,54,222,1,1,4606,3302,0,2,0,0,0,LEADER,1,4,1,10,1,9,0,37,0,0,0,0,0,0,0
8214,5,bully,3608,1,1,3608,9,39,54,234,1,1,4606,3608,0,2,0,0,0,NORMAL,0,3,1,10,4,9,0,39,0,0,0,0,0,0,0
