trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,prasle,5,60,3040,63463,3463
2,prasle,5,60,3207,63433,3433
3,prasle,5,60,2998,62876,2876
4,prasle,5,60,3632,63661,3661
5,prasle,5,60,3022,62900,2900
6,prasle,5,60,2896,62774,2774
7,prasle,5,60,3029,63157,3157
8,prasle,5,60,3090,63221,3221
9,prasle,5,60,2964,63217,3217
10,prasle,5,60,3122,63497,3497
11,prasle,5,60,3241,63119,3119
12,prasle,5,60,3652,63530,3530
13,prasle,5,60,3025,63294,3294
14,prasle,5,60,2808,63208,3208
15,prasle,5,60,3519,63472,3472
16,prasle,5,60,2991,62869,2869
17,prasle,5,60,3104,62981,2981
18,prasle,5,60,3232,63110,3110
19,prasle,5,60,3486,63605,3605
20,prasle,5,60,3433,63311,3311
21,prasle,5,60,3556,63434,3434
22,prasle,5,60,3220,63597,3597
23,prasle,5,60,3439,63316,3316
24,prasle,5,60,3384,63401,3401
25,prasle,5,60,3257,63135,3135
26,prasle,5,60,3243,63121,3121
27,prasle,5,60,3297,63818,3818
28,prasle,5,60,2846,63257,3257
29,prasle,5,60,3237,63115,3115
30,prasle,5,60,2987,62865,2865
31,prasle,5,60,3124,63002,3002
32,prasle,5,60,3040,62918,2918
33,prasle,5,60,3540,63418,3418
34,prasle,5,60,3509,63524,3524
35,prasle,5,60,3172,63616,3616
36,prasle,5,60,3317,63269,3269
37,prasle,5,60,3081,63339,3339
38,prasle,5,60,3390,63267,3267
39,prasle,5,60,3098,62975,2975
40,prasle,5,60,3492,63491,3491
41,prasle,5,60,3071,62949,2949
42,prasle,5,60,3527,63405,3405
43,prasle,5,60,2883,62761,2761
44,prasle,5,60,3506,63382,3382
45,prasle,5,60,3386,63497,3497
46,prasle,5,60,3181,63567,3567
47,prasle,5,60,3090,63020,3020
48,prasle,5,60,3859,63855,3855
49,prasle,5,60,3198,63075,3075
50,prasle,5,60,3226,63103,3103
51,prasle,5,60,3299,63234,3234
52,prasle,5,60,3451,63329,3329
53,prasle,5,60,3183,63149,3149
54,prasle,5,60,3470,63348,3348
55,prasle,5,60,2976,62854,2854
56,prasle,5,60,3083,62961,2961
57,prasle,5,60,3032,62909,2909
58,prasle,5,60,3376,63254,3254
59,prasle,5,60,3078,63013,3013
60,prasle,5,60,3321,63199,3199
61,prasle,5,60,3322,63199,3199
62,prasle,5,60,3336,63214,3214
63,prasle,5,60,3439,63317,3317
64,prasle,5,60,3162,63040,3040
65,prasle,5,60,3408,63314,3314
66,prasle,5,60,2908,62786,2786
67,prasle,5,60,3330,63423,3423
68,prasle,5,60,3597,63671,3671
69,prasle,5,60,3087,62965,2965
70,prasle,5,60,2805,62683,2683
71,prasle,5,60,3342,63220,3220
72,prasle,5,60,3182,63256,3256
73,prasle,5,60,3454,63346,3346
74,prasle,5,60,3456,63885,3885
75,prasle,5,60,2953,62831,2831
76,prasle,5,60,3235,63113,3113
77,prasle,5,60,3248,63126,3126
78,prasle,5,60,3119,62997,2997
79,prasle,5,60,3483,63360,3360
80,prasle,5,60,2768,62645,2645
81,prasle,5,60,2885,63414,3414
82,prasle,5,60,3078,62955,2955
83,prasle,5,60,3223,63101,3101
84,prasle,5,60,2936,62814,2814
85,prasle,5,60,3115,62993,2993
86,prasle,5,60,3677,63555,3555
87,prasle,5,60,3390,63268,3268
88,prasle,5,60,3161,63039,3039
89,prasle,5,60,3205,63082,3082
90,prasle,5,60,3228,63106,3106
91,prasle,5,60,3390,63268,3268
92,prasle,5,60,3433,63311,3311
93,prasle,5,60,3535,63413,3413
94,prasle,5,60,3428,63576,3576
95,prasle,5,60,3529,63448,3448
96,prasle,5,60,3626,63504,3504
97,prasle,5,60,2922,62800,2800
98,prasle,5,60,3496,63640,3640
99,prasle,5,60,2985,62863,2863
100,prasle,5,60,2996,62874,2874
