trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,prasle,10,90,3094,NA
2,prasle,10,90,2880,NA
3,prasle,10,90,2854,NA
4,prasle,10,90,3108,NA
5,prasle,10,90,3143,NA
6,prasle,10,90,3037,NA
7,prasle,10,90,2851,NA
8,prasle,10,90,2928,NA
9,prasle,10,90,2877,NA
10,prasle,10,90,3206,NA
11,prasle,10,90,3179,NA
12,prasle,10,90,2744,NA
13,prasle,10,90,2875,NA
14,prasle,10,90,2917,NA
15,prasle,10,90,3059,NA
16,prasle,10,90,3206,NA
17,prasle,10,90,3028,NA
18,prasle,10,90,2806,NA
19,prasle,10,90,3043,NA
20,prasle,10,90,3095,NA
21,prasle,10,90,3116,NA
22,prasle,10,90,2938,NA
23,prasle,10,90,3045,NA
24,prasle,10,90,3047,NA
25,prasle,10,90,2769,NA
26,prasle,10,90,3229,NA
27,prasle,10,90,3139,NA
28,prasle,10,90,3014,NA
29,prasle,10,90,3109,NA
30,prasle,10,90,3052,NA
31,prasle,10,90,3325,NA
32,prasle,10,90,3226,NA
33,prasle,10,90,2965,NA
34,prasle,10,90,3148,NA
35,prasle,10,90,2733,NA
36,prasle,10,90,2862,NA
37,prasle,10,90,3081,NA
38,prasle,10,90,2952,NA
39,prasle,10,90,3180,NA
40,prasle,10,90,3081,NA
41,prasle,10,90,2880,NA
42,prasle,10,90,3175,NA
43,prasle,10,90,2883,NA
44,prasle,10,90,3210,NA
45,prasle,10,90,3259,NA
46,prasle,10,90,2751,NA
47,prasle,10,90,2990,NA
48,prasle,10,90,3180,NA
49,prasle,10,90,3042,NA
50,prasle,10,90,3093,NA
51,prasle,10,90,3117,NA
52,prasle,10,90,3277,NA
53,prasle,10,90,3017,NA
54,prasle,10,90,2954,NA
55,prasle,10,90,3032,NA
56,prasle,10,90,3162,NA
57,prasle,10,90,3132,NA
58,prasle,10,90,3041,NA
59,prasle,10,90,3085,NA
60,prasle,10,90,3297,NA
61,prasle,10,90,3264,NA
62,prasle,10,90,3124,NA
63,prasle,10,90,2845,NA
64,prasle,10,90,2880,NA
65,prasle,10,90,3324,NA
66,prasle,10,90,3307,NA
67,prasle,10,90,3093,NA
68,prasle,10,90,3329,NA
69,prasle,10,90,3355,NA
70,prasle,10,90,2777,NA
71,prasle,10,90,2835,NA
72,prasle,10,90,3037,NA
73,prasle,10,90,2921,NA
74,prasle,10,90,3048,NA
75,prasle,10,90,3049,NA
76,prasle,10,90,2948,NA
77,prasle,10,90,2789,NA
78,prasle,10,90,3088,NA
79,prasle,10,90,3134,NA
80,prasle,10,90,3164,NA
81,prasle,10,90,3237,NA
82,prasle,10,90,3228,NA
83,prasle,10,90,2843,NA
84,prasle,10,90,3279,NA
85,prasle,10,90,2850,NA
86,prasle,10,90,3369,NA
87,prasle,10,90,2966,NA
88,prasle,10,90,2934,NA
89,prasle,10,90,3191,NA
90,prasle,10,90,2914,NA
91,prasle,10,90,2978,NA
92,prasle,10,90,3221,NA
93,prasle,10,90,3138,NA
94,prasle,10,90,2916,NA
95,prasle,10,90,2829,NA
96,prasle,10,90,3014,NA
97,prasle,10,90,3185,NA
98,prasle,10,90,3372,NA
99,prasle,10,90,3117,NA
100,prasle,10,90,2877,NA
