timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
10060,86,bully,0,1,0,0,6,11,84,154,0,0,0,6000,0,6,2,0,0,ELECTION,0,0,6,12,0,0,5,5,0,5,12,0,0,0,0
10141,74,bully,9587,1,0,0,6,11,84,154,1,100,554,5446,0,6,2,0,0,NORMAL,0,0,6,10,2,0,4,5,1,5,12,0,0,0,0
10278,54,bully,0,1,0,0,6,11,84,154,0,0,0,6000,0,6,2,0,0,ELECTION,0,0,6,12,0,0,5,5,0,5,12,0,0,0,0
10008,34,bully,0,0,0,0,6,12,84,168,0,0,0,6760,0,6,2,0,0,ELECTION,0,0,6,12,0,0,6,6,0,6,12,0,0,0,0
10023,97,bully,8889,1,2,10216,7,13,98,182,1,100,1134,4866,0,7,2,0,0,NORMAL,0,2,9,10,4,0,6,6,0,6,14,0,0,0,0
10129,63,bully,9416,1,1,5287,7,13,98,182,1,100,713,5287,0,7,2,0,0,NORMAL,0,1,8,12,2,0,6,6,0,6,14,0,0,0,0
10281,28,bully,0,0,0,0,6,12,84,168,0,0,0,7242,0,6,2,0,0,ELECTION,0,0,6,12,0,0,6,6,0,6,12,0,0,0,0
10144,31,bully,0,0,0,0,6,12,84,168,0,0,0,7123,0,6,2,0,0,ELECTION,0,0,6,12,0,0,6,6,0,6,12,0,0,0,0
10444,4,bully,9520,0,0,0,9,17,126,238,1,100,924,7548,0,8,2,1,1,NORMAL,0,0,9,12,4,2,6,8,3,9,16,0,0,0,0
10429,36,bully,0,0,0,0,6,12,84,168,0,0,0,7094,0,6,2,0,0,ELECTION,0,0,6,12,0,0,6,6,0,6,12,0,0,0,0
10292,2,bully,9137,0,0,0,9,17,126,238,1,100,1155,7524,0,8,2,1,1,NORMAL,0,0,9,12,4,2,6,8,3,9,16,0,0,0,0
10790,71,bully,9561,1,1,4771,7,14,98,196,1,100,1229,4771,0,8,2,0,0,NORMAL,0,1,8,10,4,0,6,7,1,7,14,0,0,0,0
