trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,ring,5,60,1169,66343,6343
2,ring,5,60,719,65967,5967
3,ring,5,60,1601,66921,6921
4,ring,5,60,2321,65620,5620
5,ring,5,60,2042,65257,5257
6,ring,5,60,1486,66792,6792
7,ring,5,60,1495,66739,6739
8,ring,5,60,1241,66506,6506
9,ring,5,60,3079,66317,6317
10,ring,5,60,2512,65799,5799
11,ring,5,60,1087,66308,6308
12,ring,5,60,1357,NA,NA
13,ring,5,60,2026,67266,7266
14,ring,5,60,1537,66742,6742
15,ring,5,60,911,66063,6063
16,ring,5,60,1410,66705,6705
17,ring,5,60,2101,67406,7406
18,ring,5,60,1113,66373,6373
19,ring,5,60,1576,66853,6853
20,ring,5,60,1412,66646,6646
21,ring,5,60,1571,66900,6900
22,ring,5,60,1954,67163,7163
23,ring,5,60,1230,66457,6457
24,ring,5,60,1348,66637,6637
25,ring,5,60,1569,66856,6856
26,ring,5,60,2584,65739,5739
27,ring,5,60,2047,67261,7261
28,ring,5,60,2167,65392,5392
29,ring,5,60,1205,NA,NA
30,ring,5,60,1216,66439,6439
31,ring,5,60,1431,66672,6672
32,ring,5,60,2103,65345,5345
33,ring,5,60,1543,NA,NA
34,ring,5,60,1926,67134,7134
35,ring,5,60,2445,NA,NA
36,ring,5,60,2175,65386,5386
37,ring,5,60,1042,66327,6327
38,ring,5,60,1608,66800,6800
39,ring,5,60,2580,65836,5836
40,ring,5,60,1506,NA,NA
41,ring,5,60,1338,NA,NA
42,ring,5,60,1720,67050,7050
43,ring,5,60,2412,65569,5569
44,ring,5,60,1145,66462,6462
45,ring,5,60,868,66083,6083
46,ring,5,60,2007,65209,5209
47,ring,5,60,1744,67013,7013
48,ring,5,60,1463,66731,6731
49,ring,5,60,1701,66973,6973
50,ring,5,60,2630,65958,5958
51,ring,5,60,1212,66409,6409
52,ring,5,60,1268,66567,6567
53,ring,5,60,1491,66745,6745
54,ring,5,60,1927,67094,7094
55,ring,5,60,1897,67139,7139
56,ring,5,60,1500,66735,6735
57,ring,5,60,2055,65368,5368
58,ring,5,60,2847,66107,6107
59,ring,5,60,2649,NA,NA
60,ring,5,60,2445,65648,5648
61,ring,5,60,1554,66799,6799
62,ring,5,60,1271,66524,6524
63,ring,5,60,1441,66688,6688
64,ring,5,60,2580,NA,NA
65,ring,5,60,2515,65671,5671
66,ring,5,60,2865,NA,NA
67,ring,5,60,2259,67472,7472
68,ring,5,60,1433,66616,6616
69,ring,5,60,982,66196,6196
70,ring,5,60,1212,66413,6413
71,ring,5,60,1477,66720,6720
72,ring,5,60,1320,66521,6521
73,ring,5,60,1278,66464,6464
74,ring,5,60,1360,66564,6564
75,ring,5,60,2332,65585,5585
76,ring,5,60,1278,NA,NA
77,ring,5,60,1164,66432,6432
78,ring,5,60,2110,65219,5219
79,ring,5,60,2695,66003,6003
80,ring,5,60,1331,66679,6679
81,ring,5,60,2091,67314,7314
82,ring,5,60,1711,66881,6881
83,ring,5,60,1633,66795,6795
84,ring,5,60,1213,66492,6492
85,ring,5,60,1884,NA,NA
86,ring,5,60,1301,NA,NA
87,ring,5,60,2926,66140,6140
88,ring,5,60,1567,NA,NA
89,ring,5,60,3267,66435,6435
90,ring,5,60,1894,67086,7086
91,ring,5,60,1253,66481,6481
92,ring,5,60,1165,66444,6444
93,ring,5,60,1781,NA,NA
94,ring,5,60,1281,66600,6600
95,ring,5,60,1334,66665,6665
96,ring,5,60,1102,NA,NA
97,ring,5,60,1982,67290,7290
98,ring,5,60,1380,NA,NA
99,ring,5,60,1952,67264,7264
100,ring,5,60,1401,66637,6637
