timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1503,56,bully,1503,1,0,0,1,0,14,0,1,56,0,1503,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1449,20,bully,1449,1,0,0,1,0,14,0,1,20,0,1449,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1491,4,bully,1491,1,0,0,1,1,14,14,1,4,0,1491,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1421,38,bully,1421,1,0,0,1,0,14,0,1,38,0,1421,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1600,77,bully,1600,1,0,0,1,0,14,0,1,77,0,1600,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1737,9,bully,1737,1,0,0,2,1,28,14,1,7,0,1737,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
1482,57,bully,1482,1,0,0,1,0,14,0,1,57,0,1482,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1721,41,bully,1721,1,0,0,1,0,14,0,1,41,0,1721,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1464,15,bully,1464,1,0,0,1,0,14,0,1,15,0,1464,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1673,63,bully,1673,1,0,0,1,0,14,0,1,63,0,1673,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1500,64,bully,1500,1,0,0,1,0,14,0,1,64,0,1500,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1843,70,bully,1843,1,0,0,1,0,14,0,1,70,0,1843,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1924,58,bully,1924,1,0,0,1,0,14,0,1,58,0,1924,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1637,96,bully,1637,1,0,0,1,0,14,0,1,96,0,1637,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1467,89,bully,1467,1,0,0,1,0,14,0,1,89,0,1467,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1973,35,bully,1973,1,0,0,1,0,14,0,1,35,0,1973,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1603,86,bully,1603,1,0,0,1,0,14,0,1,86,0,1603,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1522,98,bully,1522,1,0,0,1,0,14,0,1,98,0,1522,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1552,34,bully,1552,1,0,0,1,0,14,0,1,34,0,1552,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1633,22,bully,1633,1,0,0,1,0,14,0,1,22,0,1633,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1518,24,bully,1518,1,0,0,1,0,14,0,1,24,0,1518,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1988,55,bully,1988,1,0,0,1,0,14,0,1,55,0,1988,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1740,83,bully,1740,1,0,0,1,0,14,0,1,83,0,1740,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1858,32,bully,1858,1,0,0,1,0,14,0,1,32,0,1858,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1788,61,bully,1788,1,0,0,1,0,14,0,1,61,0,1788,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1943,21,bully,1943,1,0,0,1,0,14,0,1,21,0,1943,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1537,49,bully,1537,1,0,0,1,0,14,0,1,49,0,1537,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2142,43,bully,2142,1,0,0,1,0,14,0,1,43,0,2142,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1491,93,bully,1491,1,0,0,1,0,14,0,1,93,0,1491,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1887,72,bully,1887,1,0,0,1,0,14,0,1,72,0,1887,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1497,25,bully,1497,1,0,0,1,0,14,0,1,25,0,1497,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2128,75,bully,2128,1,0,0,1,0,14,0,1,75,0,2128,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1906,16,bully,1906,1,0,0,1,0,14,0,1,16,0,1906,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2046,100,bully,2046,1,0,0,1,0,14,0,1,100,0,2046,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2173,65,bully,2173,1,0,0,1,0,14,0,1,65,0,2173,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2217,36,bully,2217,1,0,0,1,0,14,0,1,36,0,2217,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2189,7,bully,2189,1,0,0,2,3,28,42,1,4,0,2189,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
1618,54,bully,1618,1,0,0,1,0,14,0,1,54,0,1618,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1939,26,bully,1939,1,0,0,1,0,14,0,1,26,0,1939,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1600,5,bully,1600,1,0,0,1,2,14,28,1,4,0,1600,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1685,74,bully,1685,1,0,0,1,0,14,0,1,74,0,1685,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1488,88,bully,1488,1,0,0,1,0,14,0,1,88,0,1488,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2161,85,bully,2161,1,0,0,1,0,14,0,1,85,0,2161,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1958,68,bully,1958,1,0,0,1,0,14,0,1,68,0,1958,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1585,44,bully,1585,1,0,0,1,0,14,0,1,44,0,1585,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2104,3,bully,2104,1,0,0,2,2,28,28,1,2,0,2104,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
2292,8,bully,2292,1,0,0,2,4,28,56,1,4,0,2292,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
2179,10,bully,2179,1,0,0,1,0,14,0,1,10,0,2179,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1821,71,bully,1821,1,0,0,1,0,14,0,1,71,0,1821,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1855,81,bully,1855,1,0,0,1,0,14,0,1,81,0,1855,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2028,45,bully,2028,1,0,0,1,0,14,0,1,45,0,2028,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1570,76,bully,1570,1,0,0,1,0,14,0,1,76,0,1570,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2307,12,bully,2307,1,0,0,1,0,14,0,1,12,0,2307,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1773,90,bully,1773,1,0,0,1,0,14,0,1,90,0,1773,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2076,23,bully,2076,1,0,0,1,0,14,0,1,23,0,2076,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,14,bully,2021,1,0,0,1,0,14,0,1,14,0,2021,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2042,67,bully,2042,1,0,0,1,0,14,0,1,67,0,2042,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1978,6,bully,1978,1,0,0,1,3,14,42,1,4,0,1978,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
2338,47,bully,2338,1,0,0,1,0,14,0,1,47,0,2338,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2103,79,bully,2103,1,0,0,1,0,14,0,1,79,0,2103,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1803,29,bully,1803,1,0,0,1,0,14,0,1,29,0,1803,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1991,78,bully,1991,1,0,0,1,0,14,0,1,78,0,1991,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2423,56,bully,1503,1,0,0,1,0,14,0,1,56,920,1503,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2369,20,bully,1449,1,0,0,1,0,14,0,1,20,920,1449,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2331,92,bully,2331,1,0,0,1,0,14,0,1,92,0,2331,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1695,95,bully,1695,1,0,0,1,0,14,0,1,95,0,1695,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1721,2,bully,1721,1,0,0,2,3,28,42,1,1,0,1721,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
1891,48,bully,1891,1,0,0,1,0,14,0,1,48,0,1891,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2264,19,bully,2264,1,0,0,1,0,14,0,1,19,0,2264,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2312,50,bully,2312,1,0,0,1,0,14,0,1,50,0,2312,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2164,42,bully,2164,1,0,0,1,0,14,0,1,42,0,2164,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2341,38,bully,1421,1,0,0,1,0,14,0,1,38,920,1421,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1706,73,bully,1706,1,0,0,1,0,14,0,1,73,0,1706,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2416,87,bully,2416,1,0,0,1,0,14,0,1,87,0,2416,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2182,84,bully,2182,1,0,0,1,0,14,0,1,84,0,2182,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1688,31,bully,1688,1,0,0,1,0,14,0,1,31,0,1688,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1876,80,bully,1876,1,0,0,1,0,14,0,1,80,0,1876,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2216,94,bully,2216,1,0,0,1,0,14,0,1,94,0,2216,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2520,77,bully,1600,1,0,0,1,0,14,0,1,77,920,1600,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2246,30,bully,2246,1,0,0,1,0,14,0,1,30,0,2246,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2109,33,bully,2109,1,0,0,1,0,14,0,1,33,0,2109,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2079,97,bully,2079,1,0,0,1,0,14,0,1,97,0,2079,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2402,57,bully,1482,1,0,0,1,0,14,0,1,57,920,1482,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2157,11,bully,2157,1,0,0,1,0,14,0,1,11,0,2157,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
