trial,algorithm,node_count,convergence_time_ms
1,adaptive-prasle-line,50,1624
2,adaptive-prasle-line,50,1627
6,adaptive-prasle-line,50,1714
5,adaptive-prasle-line,50,1687
12,adaptive-prasle-line,50,1598
3,adaptive-prasle-line,50,1660
9,adaptive-prasle-line,50,1527
4,adaptive-prasle-line,50,1571
7,adaptive-prasle-line,50,1511
8,adaptive-prasle-line,50,1628
14,adaptive-prasle-line,50,1503
10,adaptive-prasle-line,50,1653
11,adaptive-prasle-line,50,1637
13,adaptive-prasle-line,50,1600
15,adaptive-prasle-line,50,1603
16,adaptive-prasle-line,50,1683
17,adaptive-prasle-line,50,1673
19,adaptive-prasle-line,50,1574
18,adaptive-prasle-line,50,1563
20,adaptive-prasle-line,50,1571
24,adaptive-prasle-line,50,1549
22,adaptive-prasle-line,50,1511
25,adaptive-prasle-line,50,1459
23,adaptive-prasle-line,50,1582
21,adaptive-prasle-line,50,1588
26,adaptive-prasle-line,50,1709
27,adaptive-prasle-line,50,1689
28,adaptive-prasle-line,50,1532
29,adaptive-prasle-line,50,1467
30,adaptive-prasle-line,50,1540
32,adaptive-prasle-line,50,1473
31,adaptive-prasle-line,50,1517
33,adaptive-prasle-line,50,1608
38,adaptive-prasle-line,50,1592
37,adaptive-prasle-line,50,1475
36,adaptive-prasle-line,50,1515
40,adaptive-prasle-line,50,1692
34,adaptive-prasle-line,50,1636
35,adaptive-prasle-line,50,1506
39,adaptive-prasle-line,50,1482
41,adaptive-prasle-line,50,1492
42,adaptive-prasle-line,50,1520
44,adaptive-prasle-line,50,1761
43,adaptive-prasle-line,50,1455
47,adaptive-prasle-line,50,1468
49,adaptive-prasle-line,50,1662
46,adaptive-prasle-line,50,1491
45,adaptive-prasle-line,50,1592
52,adaptive-prasle-line,50,1710
51,adaptive-prasle-line,50,1541
50,adaptive-prasle-line,50,1540
48,adaptive-prasle-line,50,1668
54,adaptive-prasle-line,50,1525
56,adaptive-prasle-line,50,1472
55,adaptive-prasle-line,50,1495
53,adaptive-prasle-line,50,1625
58,adaptive-prasle-line,50,1442
57,adaptive-prasle-line,50,1705
60,adaptive-prasle-line,50,1512
61,adaptive-prasle-line,50,1614
59,adaptive-prasle-line,50,1827
63,adaptive-prasle-line,50,1483
66,adaptive-prasle-line,50,1581
62,adaptive-prasle-line,50,1715
65,adaptive-prasle-line,50,1498
64,adaptive-prasle-line,50,1695
69,adaptive-prasle-line,50,1791
68,adaptive-prasle-line,50,1585
67,adaptive-prasle-line,50,1553
70,adaptive-prasle-line,50,1674
72,adaptive-prasle-line,50,1548
71,adaptive-prasle-line,50,1568
73,adaptive-prasle-line,50,1644
76,adaptive-prasle-line,50,1634
78,adaptive-prasle-line,50,1476
75,adaptive-prasle-line,50,1473
74,adaptive-prasle-line,50,1698
77,adaptive-prasle-line,50,1726
79,adaptive-prasle-line,50,1464
81,adaptive-prasle-line,50,1699
83,adaptive-prasle-line,50,1596
84,adaptive-prasle-line,50,1525
82,adaptive-prasle-line,50,1572
80,adaptive-prasle-line,50,1643
85,adaptive-prasle-line,50,1588
86,adaptive-prasle-line,50,1531
89,adaptive-prasle-line,50,1636
88,adaptive-prasle-line,50,1490
90,adaptive-prasle-line,50,1807
87,adaptive-prasle-line,50,1463
91,adaptive-prasle-line,50,1723
93,adaptive-prasle-line,50,1698
92,adaptive-prasle-line,50,1507
96,adaptive-prasle-line,50,1602
95,adaptive-prasle-line,50,1566
94,adaptive-prasle-line,50,1525
98,adaptive-prasle-line,50,1550
97,adaptive-prasle-line,50,1732
99,adaptive-prasle-line,50,1565
100,adaptive-prasle-line,50,1561
