trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-line,100,1687,1605,50,100,true
2,adaptive-prasle-line,100,1584,1604,50,100,true
3,adaptive-prasle-line,100,1637,1510,50,100,true
4,adaptive-prasle-line,100,1582,1709,50,100,true
5,adaptive-prasle-line,100,1696,1530,50,100,true
6,adaptive-prasle-line,100,1528,1585,50,100,true
7,adaptive-prasle-line,100,1557,1612,50,100,true
8,adaptive-prasle-line,100,1507,1530,50,100,true
9,adaptive-prasle-line,100,1502,1635,50,100,true
10,adaptive-prasle-line,100,1636,1565,50,100,true
11,adaptive-prasle-line,100,1580,1465,50,100,true
12,adaptive-prasle-line,100,1527,1581,50,100,true
13,adaptive-prasle-line,100,1517,1609,50,100,true
14,adaptive-prasle-line,100,1745,1630,50,100,true
15,adaptive-prasle-line,100,1719,1502,50,100,true
16,adaptive-prasle-line,100,1559,1570,50,100,true
17,adaptive-prasle-line,100,1746,1580,50,100,true
18,adaptive-prasle-line,100,1741,1486,50,100,true
19,adaptive-prasle-line,100,1754,1694,50,100,true
20,adaptive-prasle-line,100,1701,1612,50,100,true
21,adaptive-prasle-line,100,1545,1558,50,100,true
22,adaptive-prasle-line,100,1503,1605,50,100,true
23,adaptive-prasle-line,100,1631,1457,50,100,true
24,adaptive-prasle-line,100,1755,1626,50,100,true
25,adaptive-prasle-line,100,1627,1668,50,100,true
26,adaptive-prasle-line,100,1543,1612,50,100,true
27,adaptive-prasle-line,100,1730,1615,50,100,true
28,adaptive-prasle-line,100,1548,1535,50,100,true
29,adaptive-prasle-line,100,1834,1508,50,100,true
30,adaptive-prasle-line,100,1611,1675,50,100,true
31,adaptive-prasle-line,100,1568,1699,50,100,true
32,adaptive-prasle-line,100,1620,1611,50,100,true
33,adaptive-prasle-line,100,1508,1626,50,100,true
34,adaptive-prasle-line,100,1727,1449,50,100,true
35,adaptive-prasle-line,100,1435,1649,50,100,true
36,adaptive-prasle-line,100,1691,1476,50,100,true
37,adaptive-prasle-line,100,1572,1454,50,100,true
38,adaptive-prasle-line,100,1475,1481,50,100,true
39,adaptive-prasle-line,100,1467,1625,50,100,true
40,adaptive-prasle-line,100,1650,1843,50,100,true
41,adaptive-prasle-line,100,1696,1730,50,100,true
42,adaptive-prasle-line,100,1787,1577,50,100,true
43,adaptive-prasle-line,100,1564,1438,50,100,true
44,adaptive-prasle-line,100,1549,1542,50,100,true
45,adaptive-prasle-line,100,1677,1720,50,100,true
46,adaptive-prasle-line,100,1602,1682,50,100,true
47,adaptive-prasle-line,100,1533,1543,50,100,true
48,adaptive-prasle-line,100,1753,1540,50,100,true
49,adaptive-prasle-line,100,1738,1660,50,100,true
50,adaptive-prasle-line,100,1616,1839,50,100,true
51,adaptive-prasle-line,100,1533,1751,50,100,true
52,adaptive-prasle-line,100,1630,1538,50,100,true
53,adaptive-prasle-line,100,1536,1747,50,100,true
54,adaptive-prasle-line,100,1887,1539,50,100,true
55,adaptive-prasle-line,100,1522,1596,50,100,true
56,adaptive-prasle-line,100,1539,1657,50,100,true
57,adaptive-prasle-line,100,1536,1697,50,100,true
58,adaptive-prasle-line,100,1556,1599,50,100,true
59,adaptive-prasle-line,100,1688,1664,50,100,true
60,adaptive-prasle-line,100,1687,1584,50,100,true
61,adaptive-prasle-line,100,1783,1557,50,100,true
62,adaptive-prasle-line,100,1471,1453,50,100,true
63,adaptive-prasle-line,100,1439,1657,50,100,true
64,adaptive-prasle-line,100,1448,1499,50,100,true
65,adaptive-prasle-line,100,1541,1480,50,100,true
66,adaptive-prasle-line,100,1555,1723,50,100,true
67,adaptive-prasle-line,100,1438,1563,50,100,true
68,adaptive-prasle-line,100,1600,1679,50,100,true
69,adaptive-prasle-line,100,1733,1491,50,100,true
70,adaptive-prasle-line,100,1477,1603,50,100,true
71,adaptive-prasle-line,100,1487,1513,50,100,true
72,adaptive-prasle-line,100,1632,1514,50,100,true
73,adaptive-prasle-line,100,1809,1582,50,100,true
74,adaptive-prasle-line,100,1635,1535,50,100,true
75,adaptive-prasle-line,100,1789,1581,50,100,true
76,adaptive-prasle-line,100,1588,1724,50,100,true
77,adaptive-prasle-line,100,1777,1590,50,100,true
78,adaptive-prasle-line,100,1608,1675,50,100,true
79,adaptive-prasle-line,100,1687,1582,50,100,true
80,adaptive-prasle-line,100,1743,1592,50,100,true
81,adaptive-prasle-line,100,1664,1718,50,100,true
82,adaptive-prasle-line,100,1841,1717,50,100,true
83,adaptive-prasle-line,100,1484,1512,50,100,true
84,adaptive-prasle-line,100,1789,1483,50,100,true
85,adaptive-prasle-line,100,1508,1544,50,100,true
86,adaptive-prasle-line,100,1752,1572,50,100,true
87,adaptive-prasle-line,100,1498,1608,50,100,true
88,adaptive-prasle-line,100,1586,1550,50,100,true
89,adaptive-prasle-line,100,1585,1511,50,100,true
90,adaptive-prasle-line,100,1641,1443,50,100,true
91,adaptive-prasle-line,100,1688,1653,50,100,true
92,adaptive-prasle-line,100,1712,1544,50,100,true
93,adaptive-prasle-line,100,1795,1588,50,100,true
94,adaptive-prasle-line,100,1646,1706,50,100,true
95,adaptive-prasle-line,100,1646,1548,50,100,true
96,adaptive-prasle-line,100,1781,1551,50,100,true
97,adaptive-prasle-line,100,1584,1608,50,100,true
98,adaptive-prasle-line,100,1685,1685,50,100,true
99,adaptive-prasle-line,100,1738,1669,50,100,true
100,adaptive-prasle-line,100,1540,1687,50,100,true
