trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-mesh,10,2119,1551,5,10,true
2,adaptive-prasle-mesh,10,1717,2074,5,10,true
3,adaptive-prasle-mesh,10,2254,2143,5,10,true
4,adaptive-prasle-mesh,10,2198,2314,5,10,true
5,adaptive-prasle-mesh,10,1904,2221,5,10,true
6,adaptive-prasle-mesh,10,2148,2078,5,10,true
7,adaptive-prasle-mesh,10,1589,1762,5,10,true
8,adaptive-prasle-mesh,10,1797,2130,5,10,true
9,adaptive-prasle-mesh,10,2575,1913,5,10,true
10,adaptive-prasle-mesh,10,1615,2150,5,10,true
11,adaptive-prasle-mesh,10,1921,1787,5,10,true
12,adaptive-prasle-mesh,10,2408,2060,5,10,true
13,adaptive-prasle-mesh,10,2053,1620,5,10,true
14,adaptive-prasle-mesh,10,1744,2000,5,10,true
15,adaptive-prasle-mesh,10,1829,1882,5,10,true
16,adaptive-prasle-mesh,10,1775,1678,5,10,true
17,adaptive-prasle-mesh,10,2053,2230,5,10,true
18,adaptive-prasle-mesh,10,2388,1726,5,10,true
19,adaptive-prasle-mesh,10,1960,2316,5,10,true
20,adaptive-prasle-mesh,10,1978,2261,5,10,true
21,adaptive-prasle-mesh,10,1444,1649,5,10,true
22,adaptive-prasle-mesh,10,1854,2502,5,10,true
23,adaptive-prasle-mesh,10,2172,2312,5,10,true
24,adaptive-prasle-mesh,10,2091,2252,5,10,true
25,adaptive-prasle-mesh,10,1939,2117,5,10,true
26,adaptive-prasle-mesh,10,1771,1779,5,10,true
27,adaptive-prasle-mesh,10,2120,1683,5,10,true
28,adaptive-prasle-mesh,10,2245,2518,5,10,true
29,adaptive-prasle-mesh,10,1583,2291,5,10,true
30,adaptive-prasle-mesh,10,2073,1687,5,10,true
31,adaptive-prasle-mesh,10,2020,1667,5,10,true
32,adaptive-prasle-mesh,10,2228,1883,5,10,true
33,adaptive-prasle-mesh,10,1821,1528,5,10,true
34,adaptive-prasle-mesh,10,1513,2070,5,10,true
35,adaptive-prasle-mesh,10,2064,1790,5,10,true
36,adaptive-prasle-mesh,10,2452,2125,5,10,true
37,adaptive-prasle-mesh,10,1768,2280,5,10,true
38,adaptive-prasle-mesh,10,1508,2258,5,10,true
39,adaptive-prasle-mesh,10,1526,1898,5,10,true
40,adaptive-prasle-mesh,10,1974,1975,5,10,true
41,adaptive-prasle-mesh,10,2209,2451,5,10,true
42,adaptive-prasle-mesh,10,2431,1836,5,10,true
43,adaptive-prasle-mesh,10,2110,1732,5,10,true
44,adaptive-prasle-mesh,10,1937,1681,5,10,true
45,adaptive-prasle-mesh,10,1980,1572,5,10,true
46,adaptive-prasle-mesh,10,1519,2375,5,10,true
47,adaptive-prasle-mesh,10,1540,2357,5,10,true
48,adaptive-prasle-mesh,10,1947,1955,5,10,true
49,adaptive-prasle-mesh,10,1741,1952,5,10,true
50,adaptive-prasle-mesh,10,1773,1675,5,10,true
51,adaptive-prasle-mesh,10,2347,2496,5,10,true
52,adaptive-prasle-mesh,10,1838,2454,5,10,true
53,adaptive-prasle-mesh,10,1733,2148,5,10,true
54,adaptive-prasle-mesh,10,2072,2122,5,10,true
55,adaptive-prasle-mesh,10,2394,1862,5,10,true
56,adaptive-prasle-mesh,10,2080,1827,5,10,true
57,adaptive-prasle-mesh,10,1906,1870,5,10,true
58,adaptive-prasle-mesh,10,1879,1778,5,10,true
59,adaptive-prasle-mesh,10,2156,2042,5,10,true
60,adaptive-prasle-mesh,10,1934,2372,5,10,true
61,adaptive-prasle-mesh,10,1746,2430,5,10,true
62,adaptive-prasle-mesh,10,2290,1993,5,10,true
63,adaptive-prasle-mesh,10,1924,2068,5,10,true
64,adaptive-prasle-mesh,10,2118,2195,5,10,true
65,adaptive-prasle-mesh,10,1608,2057,5,10,true
66,adaptive-prasle-mesh,10,1714,1944,5,10,true
67,adaptive-prasle-mesh,10,2200,2327,5,10,true
68,adaptive-prasle-mesh,10,1573,2457,5,10,true
69,adaptive-prasle-mesh,10,1932,2170,5,10,true
70,adaptive-prasle-mesh,10,2108,1911,5,10,true
71,adaptive-prasle-mesh,10,1880,2271,5,10,true
72,adaptive-prasle-mesh,10,2126,2551,5,10,true
73,adaptive-prasle-mesh,10,2421,1662,5,10,true
74,adaptive-prasle-mesh,10,1821,1775,5,10,true
