trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,adaptive-prasle-ring,5,70,1564,NA
2,adaptive-prasle-ring,5,70,2109,NA
3,adaptive-prasle-ring,5,70,1780,NA
4,adaptive-prasle-ring,5,70,2320,NA
5,adaptive-prasle-ring,5,70,1618,NA
6,adaptive-prasle-ring,5,70,2322,NA
7,adaptive-prasle-ring,5,70,2073,NA
8,adaptive-prasle-ring,5,70,1819,NA
9,adaptive-prasle-ring,5,70,2111,NA
10,adaptive-prasle-ring,5,70,1760,NA
11,adaptive-prasle-ring,5,70,1736,NA
12,adaptive-prasle-ring,5,70,2545,NA
13,adaptive-prasle-ring,5,70,1541,NA
14,adaptive-prasle-ring,5,70,1901,NA
15,adaptive-prasle-ring,5,70,1835,NA
16,adaptive-prasle-ring,5,70,2496,NA
17,adaptive-prasle-ring,5,70,1782,NA
18,adaptive-prasle-ring,5,70,2020,NA
19,adaptive-prasle-ring,5,70,1984,NA
20,adaptive-prasle-ring,5,70,2115,NA
21,adaptive-prasle-ring,5,70,1886,NA
22,adaptive-prasle-ring,5,70,2404,NA
23,adaptive-prasle-ring,5,70,1787,NA
24,adaptive-prasle-ring,5,70,1617,NA
25,adaptive-prasle-ring,5,70,1804,NA
26,adaptive-prasle-ring,5,70,1918,NA
27,adaptive-prasle-ring,5,70,2128,NA
28,adaptive-prasle-ring,5,70,1847,NA
29,adaptive-prasle-ring,5,70,1959,NA
30,adaptive-prasle-ring,5,70,1932,NA
31,adaptive-prasle-ring,5,70,1712,NA
32,adaptive-prasle-ring,5,70,1737,NA
33,adaptive-prasle-ring,5,70,2277,NA
34,adaptive-prasle-ring,5,70,2251,NA
35,adaptive-prasle-ring,5,70,1666,NA
36,adaptive-prasle-ring,5,70,1977,NA
37,adaptive-prasle-ring,5,70,2199,NA
38,adaptive-prasle-ring,5,70,1879,NA
39,adaptive-prasle-ring,5,70,1569,NA
40,adaptive-prasle-ring,5,70,2096,NA
41,adaptive-prasle-ring,5,70,2112,NA
42,adaptive-prasle-ring,5,70,2167,NA
43,adaptive-prasle-ring,5,70,1960,NA
44,adaptive-prasle-ring,5,70,1601,NA
45,adaptive-prasle-ring,5,70,2154,NA
46,adaptive-prasle-ring,5,70,1720,NA
47,adaptive-prasle-ring,5,70,2502,NA
48,adaptive-prasle-ring,5,70,2303,NA
49,adaptive-prasle-ring,5,70,1619,NA
50,adaptive-prasle-ring,5,70,1527,NA
51,adaptive-prasle-ring,5,70,2099,NA
52,adaptive-prasle-ring,5,70,2170,NA
53,adaptive-prasle-ring,5,70,2159,NA
54,adaptive-prasle-ring,5,70,1597,NA
55,adaptive-prasle-ring,5,70,1938,NA
56,adaptive-prasle-ring,5,70,2268,NA
57,adaptive-prasle-ring,5,70,1767,NA
58,adaptive-prasle-ring,5,70,1825,NA
59,adaptive-prasle-ring,5,70,2009,NA
60,adaptive-prasle-ring,5,70,2208,NA
61,adaptive-prasle-ring,5,70,1691,NA
62,adaptive-prasle-ring,5,70,2153,NA
63,adaptive-prasle-ring,5,70,2304,NA
64,adaptive-prasle-ring,5,70,1888,NA
65,adaptive-prasle-ring,5,70,2125,NA
66,adaptive-prasle-ring,5,70,2110,NA
67,adaptive-prasle-ring,5,70,1961,NA
68,adaptive-prasle-ring,5,70,2038,NA
69,adaptive-prasle-ring,5,70,1817,NA
70,adaptive-prasle-ring,5,70,2105,NA
71,adaptive-prasle-ring,5,70,1514,NA
72,adaptive-prasle-ring,5,70,1661,NA
73,adaptive-prasle-ring,5,70,1797,NA
74,adaptive-prasle-ring,5,70,1746,NA
75,adaptive-prasle-ring,5,70,1613,NA
76,adaptive-prasle-ring,5,70,2038,NA
77,adaptive-prasle-ring,5,70,1691,NA
78,adaptive-prasle-ring,5,70,1899,NA
79,adaptive-prasle-ring,5,70,2569,NA
80,adaptive-prasle-ring,5,70,2382,NA
81,adaptive-prasle-ring,5,70,1736,NA
82,adaptive-prasle-ring,5,70,1681,NA
83,adaptive-prasle-ring,5,70,2064,NA
84,adaptive-prasle-ring,5,70,1713,NA
85,adaptive-prasle-ring,5,70,2091,NA
86,adaptive-prasle-ring,5,70,1513,NA
87,adaptive-prasle-ring,5,70,2221,NA
88,adaptive-prasle-ring,5,70,2009,NA
89,adaptive-prasle-ring,5,70,2090,NA
90,adaptive-prasle-ring,5,70,1560,NA
91,adaptive-prasle-ring,5,70,2158,NA
92,adaptive-prasle-ring,5,70,1863,NA
93,adaptive-prasle-ring,5,70,1631,NA
94,adaptive-prasle-ring,5,70,1830,NA
95,adaptive-prasle-ring,5,70,2410,NA
96,adaptive-prasle-ring,5,70,1823,NA
97,adaptive-prasle-ring,5,70,1769,NA
98,adaptive-prasle-ring,5,70,2315,NA
99,adaptive-prasle-ring,5,70,1532,NA
100,adaptive-prasle-ring,5,70,2295,NA
