trial,algorithm,node_count,convergence_time_ms
10,adaptive-prasle,100,1764
8,adaptive-prasle,100,1614
5,adaptive-prasle,100,1802
13,adaptive-prasle,100,1764
9,adaptive-prasle,100,1810
11,adaptive-prasle,100,1708
7,adaptive-prasle,100,1698
6,adaptive-prasle,100,1655
3,adaptive-prasle,100,1727
2,adaptive-prasle,100,1789
12,adaptive-prasle,100,1794
14,adaptive-prasle,100,1765
4,adaptive-prasle,100,1460
1,adaptive-prasle,100,1616
18,adaptive-prasle,100,1763
20,adaptive-prasle,100,1502
16,adaptive-prasle,100,1558
19,adaptive-prasle,100,1684
17,adaptive-prasle,100,1584
15,adaptive-prasle,100,1759
21,adaptive-prasle,100,1612
22,adaptive-prasle,100,1505
23,adaptive-prasle,100,1826
24,adaptive-prasle,100,1652
26,adaptive-prasle,100,1517
28,adaptive-prasle,100,1733
25,adaptive-prasle,100,1511
27,adaptive-prasle,100,1662
29,adaptive-prasle,100,1649
31,adaptive-prasle,100,1586
30,adaptive-prasle,100,1751
35,adaptive-prasle,100,1523
33,adaptive-prasle,100,1527
34,adaptive-prasle,100,1527
32,adaptive-prasle,100,1473
36,adaptive-prasle,100,1793
37,adaptive-prasle,100,1544
38,adaptive-prasle,100,1730
39,adaptive-prasle,100,1521
40,adaptive-prasle,100,1685
42,adaptive-prasle,100,1447
41,adaptive-prasle,100,1557
43,adaptive-prasle,100,1610
46,adaptive-prasle,100,1544
48,adaptive-prasle,100,1487
45,adaptive-prasle,100,1733
44,adaptive-prasle,100,1489
47,adaptive-prasle,100,1617
49,adaptive-prasle,100,1517
50,adaptive-prasle,100,1882
52,adaptive-prasle,100,1492
51,adaptive-prasle,100,1714
53,adaptive-prasle,100,1709
56,adaptive-prasle,100,1753
54,adaptive-prasle,100,1573
55,adaptive-prasle,100,1543
58,adaptive-prasle,100,1549
57,adaptive-prasle,100,1665
61,adaptive-prasle,100,1466
60,adaptive-prasle,100,1743
59,adaptive-prasle,100,1734
62,adaptive-prasle,100,1642
63,adaptive-prasle,100,1466
64,adaptive-prasle,100,1584
65,adaptive-prasle,100,1670
66,adaptive-prasle,100,1533
67,adaptive-prasle,100,1482
69,adaptive-prasle,100,1735
70,adaptive-prasle,100,1736
68,adaptive-prasle,100,1483
72,adaptive-prasle,100,1517
73,adaptive-prasle,100,1611
74,adaptive-prasle,100,1714
71,adaptive-prasle,100,1876
76,adaptive-prasle,100,1640
79,adaptive-prasle,100,1586
77,adaptive-prasle,100,1803
75,adaptive-prasle,100,1484
78,adaptive-prasle,100,1772
80,adaptive-prasle,100,1652
81,adaptive-prasle,100,1565
82,adaptive-prasle,100,1507
83,adaptive-prasle,100,1503
84,adaptive-prasle,100,1771
88,adaptive-prasle,100,1630
87,adaptive-prasle,100,1673
86,adaptive-prasle,100,1706
85,adaptive-prasle,100,1510
91,adaptive-prasle,100,1625
90,adaptive-prasle,100,1467
89,adaptive-prasle,100,1648
93,adaptive-prasle,100,1699
94,adaptive-prasle,100,1532
92,adaptive-prasle,100,1592
95,adaptive-prasle,100,1838
96,adaptive-prasle,100,1794
97,adaptive-prasle,100,1478
98,adaptive-prasle,100,1554
99,adaptive-prasle,100,1523
100,adaptive-prasle,100,1456
