trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,adaptive-prasle,5,60,2275,70286,10286
2,adaptive-prasle,5,60,1643,64136,4136
3,adaptive-prasle,5,60,2365,63548,3548
4,adaptive-prasle,5,60,1716,62726,2726
5,adaptive-prasle,5,60,2334,64268,4268
6,adaptive-prasle,5,60,1988,62070,2070
7,adaptive-prasle,5,60,2123,60746,746
8,adaptive-prasle,5,60,1861,62018,2018
9,adaptive-prasle,5,60,2169,61124,1124
10,adaptive-prasle,5,60,2274,63445,3445
11,adaptive-prasle,5,60,2025,63223,3223
12,adaptive-prasle,5,60,1529,66870,6870
13,adaptive-prasle,5,60,2376,69933,9933
14,adaptive-prasle,5,60,1880,60142,142
15,adaptive-prasle,5,60,1934,68050,8050
16,adaptive-prasle,5,60,1784,60351,351
17,adaptive-prasle,5,60,2143,64597,4597
18,adaptive-prasle,5,60,2031,61103,1103
19,adaptive-prasle,5,60,2116,60443,443
20,adaptive-prasle,5,60,1730,71861,11861
21,adaptive-prasle,5,60,2118,64484,4484
22,adaptive-prasle,5,60,1979,71495,11495
23,adaptive-prasle,5,60,2209,64715,4715
24,adaptive-prasle,5,60,1643,72759,12759
25,adaptive-prasle,5,60,1792,62112,2112
26,adaptive-prasle,5,60,1737,60368,368
27,adaptive-prasle,5,60,2217,83690,23690
28,adaptive-prasle,5,60,1595,79423,19423
29,adaptive-prasle,5,60,2000,63145,3145
30,adaptive-prasle,5,60,1844,64460,4460
31,adaptive-prasle,5,60,2109,60067,67
32,adaptive-prasle,5,60,2306,65550,5550
33,adaptive-prasle,5,60,2102,62240,2240
34,adaptive-prasle,5,60,2124,64123,4123
35,adaptive-prasle,5,60,1811,70162,10162
36,adaptive-prasle,5,60,2122,60350,350
37,adaptive-prasle,5,60,1984,61327,1327
38,adaptive-prasle,5,60,1949,60167,167
39,adaptive-prasle,5,60,1510,69517,9517
40,adaptive-prasle,5,60,2215,69727,9727
41,adaptive-prasle,5,60,2517,65628,5628
42,adaptive-prasle,5,60,2298,63070,3070
43,adaptive-prasle,5,60,2136,61981,1981
44,adaptive-prasle,5,60,2041,63937,3937
45,adaptive-prasle,5,60,1877,61344,1344
46,adaptive-prasle,5,60,2455,61798,1798
47,adaptive-prasle,5,60,2407,65098,5098
48,adaptive-prasle,5,60,2383,65988,5988
49,adaptive-prasle,5,60,2139,61357,1357
50,adaptive-prasle,5,60,1805,62637,2637
51,adaptive-prasle,5,60,2403,60517,517
52,adaptive-prasle,5,60,1919,63807,3807
53,adaptive-prasle,5,60,1951,64566,4566
54,adaptive-prasle,5,60,1802,61456,1456
55,adaptive-prasle,5,60,2128,67367,7367
56,adaptive-prasle,5,60,2319,67635,7635
57,adaptive-prasle,5,60,2108,68661,8661
58,adaptive-prasle,5,60,1916,63338,3338
59,adaptive-prasle,5,60,2142,66189,6189
60,adaptive-prasle,5,60,1958,67330,7330
61,adaptive-prasle,5,60,2139,61994,1994
62,adaptive-prasle,5,60,1480,62313,2313
63,adaptive-prasle,5,60,2003,70032,10032
64,adaptive-prasle,5,60,2517,60294,294
65,adaptive-prasle,5,60,1560,60087,87
66,adaptive-prasle,5,60,1967,60173,173
67,adaptive-prasle,5,60,2150,62566,2566
68,adaptive-prasle,5,60,1942,60861,861
69,adaptive-prasle,5,60,2293,61636,1636
70,adaptive-prasle,5,60,2408,61977,1977
71,adaptive-prasle,5,60,2295,60297,297
72,adaptive-prasle,5,60,1916,69443,9443
73,adaptive-prasle,5,60,1827,64692,4692
74,adaptive-prasle,5,60,2038,60966,966
75,adaptive-prasle,5,60,1920,64846,4846
76,adaptive-prasle,5,60,1956,69052,9052
77,adaptive-prasle,5,60,2186,60442,442
78,adaptive-prasle,5,60,2197,65766,5766
79,adaptive-prasle,5,60,2466,62153,2153
80,adaptive-prasle,5,60,1896,62064,2064
81,adaptive-prasle,5,60,2111,61879,1879
82,adaptive-prasle,5,60,2247,65950,5950
83,adaptive-prasle,5,60,1822,61589,1589
84,adaptive-prasle,5,60,1699,60979,979
85,adaptive-prasle,5,60,2063,60367,367
86,adaptive-prasle,5,60,1953,63786,3786
87,adaptive-prasle,5,60,2476,63072,3072
88,adaptive-prasle,5,60,2170,63395,3395
89,adaptive-prasle,5,60,2431,60447,447
90,adaptive-prasle,5,60,2289,61391,1391
91,adaptive-prasle,5,60,2131,73324,13324
92,adaptive-prasle,5,60,1725,67079,7079
93,adaptive-prasle,5,60,2183,69859,9859
94,adaptive-prasle,5,60,1945,67533,7533
95,adaptive-prasle,5,60,2142,62580,2580
96,adaptive-prasle,5,60,2051,63834,3834
97,adaptive-prasle,5,60,1862,60842,842
98,adaptive-prasle,5,60,2305,68122,8122
99,adaptive-prasle,5,60,1493,67198,7198
100,adaptive-prasle,5,60,1953,61250,1250
