trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle,100,1942,1558,50,100,true
2,adaptive-prasle,100,1667,1509,50,100,true
3,adaptive-prasle,100,1474,1790,50,100,true
4,adaptive-prasle,100,1477,1622,50,100,true
5,adaptive-prasle,100,1634,1633,50,100,true
6,adaptive-prasle,100,1630,1688,50,100,true
7,adaptive-prasle,100,1778,1443,50,100,true
8,adaptive-prasle,100,1512,1572,50,100,true
9,adaptive-prasle,100,1698,1691,50,100,true
10,adaptive-prasle,100,1601,1575,50,100,true
11,adaptive-prasle,100,1892,1632,50,100,true
12,adaptive-prasle,100,1628,1573,50,100,true
13,adaptive-prasle,100,1790,1494,50,100,true
14,adaptive-prasle,100,1692,1546,50,100,true
15,adaptive-prasle,100,1541,1587,50,100,true
16,adaptive-prasle,100,1575,1552,50,100,true
17,adaptive-prasle,100,1586,1641,50,100,true
18,adaptive-prasle,100,1566,1478,50,100,true
19,adaptive-prasle,100,1945,1633,50,100,true
20,adaptive-prasle,100,1896,1677,50,100,true
21,adaptive-prasle,100,1674,1523,50,100,true
22,adaptive-prasle,100,1504,1606,50,100,true
23,adaptive-prasle,100,1764,1623,50,100,true
24,adaptive-prasle,100,1451,1627,50,100,true
25,adaptive-prasle,100,1553,1463,50,100,true
26,adaptive-prasle,100,1573,1489,50,100,true
27,adaptive-prasle,100,1809,1440,50,100,true
28,adaptive-prasle,100,1552,1469,50,100,true
29,adaptive-prasle,100,1910,1677,50,100,true
30,adaptive-prasle,100,1578,1499,50,100,true
31,adaptive-prasle,100,1594,1462,50,100,true
32,adaptive-prasle,100,1645,1575,50,100,true
33,adaptive-prasle,100,1520,1548,50,100,true
34,adaptive-prasle,100,1697,1573,50,100,true
35,adaptive-prasle,100,1871,1506,50,100,true
36,adaptive-prasle,100,1510,1601,50,100,true
37,adaptive-prasle,100,1683,1477,50,100,true
38,adaptive-prasle,100,1707,1598,50,100,true
39,adaptive-prasle,100,1596,1689,50,100,true
40,adaptive-prasle,100,1850,1513,50,100,true
41,adaptive-prasle,100,1908,1780,50,100,true
42,adaptive-prasle,100,1640,1520,50,100,true
43,adaptive-prasle,100,1562,1637,50,100,true
44,adaptive-prasle,100,1749,1656,50,100,true
45,adaptive-prasle,100,1515,1687,50,100,true
46,adaptive-prasle,100,1616,1782,50,100,true
47,adaptive-prasle,100,1471,1567,50,100,true
48,adaptive-prasle,100,1877,1472,50,100,true
49,adaptive-prasle,100,1675,1536,50,100,true
50,adaptive-prasle,100,1511,1678,50,100,true
51,adaptive-prasle,100,1570,1615,50,100,true
52,adaptive-prasle,100,1781,1459,50,100,true
53,adaptive-prasle,100,1734,1560,50,100,true
54,adaptive-prasle,100,1498,1636,50,100,true
55,adaptive-prasle,100,1835,1572,50,100,true
56,adaptive-prasle,100,1755,1545,50,100,true
57,adaptive-prasle,100,1594,1640,50,100,true
58,adaptive-prasle,100,1659,1688,50,100,true
59,adaptive-prasle,100,2015,1604,50,100,true
60,adaptive-prasle,100,1955,1520,50,100,true
61,adaptive-prasle,100,1727,1578,50,100,true
62,adaptive-prasle,100,1516,1499,50,100,true
63,adaptive-prasle,100,1662,1562,50,100,true
64,adaptive-prasle,100,1873,1597,50,100,true
65,adaptive-prasle,100,1616,1526,50,100,true
66,adaptive-prasle,100,1688,1570,50,100,true
67,adaptive-prasle,100,1497,1613,50,100,true
68,adaptive-prasle,100,1781,1534,50,100,true
69,adaptive-prasle,100,1590,1461,50,100,true
70,adaptive-prasle,100,1603,1620,50,100,true
71,adaptive-prasle,100,1540,1465,50,100,true
72,adaptive-prasle,100,1791,1503,50,100,true
73,adaptive-prasle,100,1490,1591,50,100,true
74,adaptive-prasle,100,1509,1456,50,100,true
75,adaptive-prasle,100,1766,1681,50,100,true
76,adaptive-prasle,100,1517,1723,50,100,true
77,adaptive-prasle,100,1503,1588,50,100,true
78,adaptive-prasle,100,1734,1811,50,100,true
79,adaptive-prasle,100,1728,1755,50,100,true
80,adaptive-prasle,100,1477,1463,50,100,true
81,adaptive-prasle,100,1644,1596,50,100,true
82,adaptive-prasle,100,1859,1608,50,100,true
83,adaptive-prasle,100,1779,1522,50,100,true
84,adaptive-prasle,100,1537,1481,50,100,true
85,adaptive-prasle,100,1871,1532,50,100,true
86,adaptive-prasle,100,1685,1715,50,100,true
87,adaptive-prasle,100,1469,1556,50,100,true
88,adaptive-prasle,100,1736,1573,50,100,true
89,adaptive-prasle,100,1756,1687,50,100,true
90,adaptive-prasle,100,1577,1620,50,100,true
91,adaptive-prasle,100,1518,1456,50,100,true
92,adaptive-prasle,100,1429,1661,50,100,true
93,adaptive-prasle,100,1717,1866,50,100,true
94,adaptive-prasle,100,1890,1744,50,100,true
95,adaptive-prasle,100,1480,1765,50,100,true
96,adaptive-prasle,100,1645,1659,50,100,true
97,adaptive-prasle,100,1614,1468,50,100,true
98,adaptive-prasle,100,1527,1601,50,100,true
99,adaptive-prasle,100,1503,1690,50,100,true
100,adaptive-prasle,100,1884,1696,50,100,true
