timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
10072,6,bully,6459,2,2,300,12,1787,96,14296,30,49,3613,300,6088,39,1,0,2,NORMAL,0,0,2,2,10,0,0,125,1625,35,2,0,0,0,0
10208,3,bully,6499,2,2,115,6,1796,48,14368,30,49,3709,115,6177,39,1,0,2,NORMAL,0,0,2,2,4,0,0,125,1634,35,2,0,0,0,0
10275,23,bully,6493,2,2,300,42,1763,336,14104,30,49,3782,300,5919,39,1,0,2,NORMAL,0,0,2,2,40,0,0,125,1601,35,2,0,0,0,0
10056,34,bully,6266,9,3,879,85,1729,680,13832,19,49,3260,1289,5451,38,1,0,2,NORMAL,0,0,3,9,76,0,0,120,1572,35,2,0,9,0,0
10357,11,bully,6534,2,2,93,21,1781,168,14248,30,49,3823,93,6085,39,1,0,2,NORMAL,0,0,2,2,19,0,0,125,1619,35,2,0,0,0,0
10547,17,bully,6438,2,2,572,31,1773,248,14184,31,50,4109,572,5319,41,1,0,3,NORMAL,0,0,2,2,29,0,0,125,1609,36,3,0,0,0,1
10402,38,bully,6266,9,2,67,110,1742,880,13936,20,50,3606,2348,4047,39,1,0,3,NORMAL,0,0,2,9,101,0,0,124,1579,36,3,0,9,0,1
10684,14,bully,6351,2,2,63,27,1777,216,14216,31,50,4333,63,5605,41,1,0,3,NORMAL,0,0,2,2,25,0,0,125,1613,36,3,0,0,0,1
10695,25,bully,6360,4,2,155,46,1763,368,14104,29,50,4259,1718,4023,41,1,0,3,NORMAL,0,0,2,4,42,0,0,123,1601,36,3,0,2,0,1
10342,43,bully,5909,8,1,1230,120,1704,960,13632,17,50,3618,2383,4000,34,1,0,3,NORMAL,0,0,1,8,112,0,0,118,1547,36,3,0,12,0,1
10629,5,bully,6192,2,2,170,9,1773,72,14184,31,50,4437,170,5394,41,1,0,3,NORMAL,0,0,2,2,7,0,0,123,1611,36,3,0,0,0,1
10138,26,bully,5693,4,4,691,45,1677,360,13416,29,50,4369,691,4940,43,1,0,3,NORMAL,0,0,4,4,41,0,0,116,1522,36,3,0,2,0,1
10887,31,bully,6414,7,1,1508,73,1744,584,13952,25,50,4326,1675,4000,40,1,0,3,NORMAL,0,0,1,7,66,0,0,122,1583,36,3,0,5,0,1
10614,37,bully,6085,8,1,2120,101,1716,808,13728,20,50,3999,2650,3351,37,0,0,3,NORMAL,0,0,1,8,93,0,0,118,1559,36,3,0,9,0,1
10833,22,bully,6296,2,1,993,39,1757,312,14056,31,50,4537,1464,4000,40,1,0,3,NORMAL,0,0,1,2,37,0,0,124,1594,36,3,0,0,0,1
10492,8,bully,5948,2,2,182,13,1737,104,13896,31,50,4544,182,5274,41,1,0,3,NORMAL,0,0,2,2,11,0,0,120,1578,36,3,0,0,0,1
10193,35,bully,5646,8,3,1878,85,1665,680,13320,20,50,4017,2188,3796,39,0,0,3,NORMAL,0,0,3,8,77,0,0,112,1514,36,3,0,9,0,1
10605,27,bully,5978,4,1,1097,50,1703,400,13624,29,50,4551,1450,4000,40,1,0,3,NORMAL,0,0,1,4,46,0,0,118,1546,36,3,0,2,0,1
10478,40,bully,5791,8,1,2836,111,1678,888,13424,20,50,4157,3366,2478,37,0,0,3,NORMAL,0,0,1,8,103,0,0,116,1523,36,3,0,9,0,1
10411,20,bully,5702,2,2,1098,32,1687,256,13496,31,50,4709,1098,4194,41,1,0,3,NORMAL,0,0,2,2,30,0,0,118,1530,36,3,0,0,0,1
10766,2,bully,6023,2,2,249,4,1757,32,14056,31,50,4743,249,5009,41,1,0,3,NORMAL,0,0,2,2,2,0,0,121,1597,36,3,0,0,0,1
11090,48,bully,5090,3,1,4001,160,1750,1280,14000,7,50,4019,5982,0,16,1,1,2,NORMAL,0,1,0,3,125,31,1,126,1591,31,2,0,20,30,1
11242,13,bully,6470,2,2,451,25,1779,200,14232,31,50,4772,451,4778,41,1,0,3,NORMAL,0,0,2,2,23,0,0,125,1615,36,3,0,0,0,1
11378,10,bully,6581,2,2,682,19,1785,152,14280,31,50,4797,682,4522,41,1,0,3,NORMAL,0,0,2,2,17,0,0,125,1621,36,3,0,0,0,1
10969,19,bully,6111,1,1,1926,31,1741,248,13928,31,50,4858,1926,3217,39,0,0,3,NORMAL,0,0,1,1,30,0,0,122,1580,36,3,0,0,0,1
11086,29,bully,6150,6,1,1110,58,1725,464,13800,25,50,4789,1257,3955,39,0,0,3,NORMAL,0,0,1,6,52,0,0,118,1568,36,3,0,5,0,1
10533,49,bully,4533,2,1,4001,200,1652,1600,13216,2,50,2939,7062,0,6,1,2,2,NORMAL,0,1,0,2,118,78,2,118,1504,28,2,0,25,77,0
11035,39,bully,6077,8,1,2756,108,1705,864,13640,20,50,4428,3286,2286,37,0,0,3,NORMAL,0,0,1,8,100,0,0,118,1548,36,3,0,9,0,1
11363,42,bully,5363,7,1,4001,135,1749,1080,13992,18,50,5185,4816,0,33,1,0,3,NORMAL,0,1,0,7,116,12,0,126,1587,33,3,0,9,11,1
11104,16,bully,6105,1,1,1077,26,1742,208,13936,31,50,4999,1077,3924,39,0,0,3,NORMAL,0,0,1,1,25,0,0,122,1581,36,3,0,0,0,1
11322,1,bully,6228,2,2,190,2,1786,16,14288,31,50,5094,190,4716,41,1,0,3,NORMAL,0,0,2,2,0,0,0,123,1624,36,3,0,0,0,1
11444,30,bully,6337,6,1,1322,66,1750,528,14000,25,50,4960,1469,3571,39,0,0,3,NORMAL,0,0,1,6,60,0,0,121,1590,36,3,0,5,0,1
