trial,algorithm,node_count,convergence_time_ms
4,prasle-line,10,3063
6,prasle-line,10,2973
14,prasle-line,10,3283
10,prasle-line,10,3156
5,prasle-line,10,3084
9,prasle-line,10,2938
11,prasle-line,10,3406
8,prasle-line,10,3043
13,prasle-line,10,3254
2,prasle-line,10,2891
3,prasle-line,10,3135
1,prasle-line,10,3067
7,prasle-line,10,3361
12,prasle-line,10,3054
15,prasle-line,10,2847
19,prasle-line,10,3585
18,prasle-line,10,3263
17,prasle-line,10,3083
16,prasle-line,10,3425
21,prasle-line,10,3418
22,prasle-line,10,2987
20,prasle-line,10,3247
24,prasle-line,10,3274
23,prasle-line,10,3113
27,prasle-line,10,2944
26,prasle-line,10,3057
28,prasle-line,10,3108
25,prasle-line,10,3108
29,prasle-line,10,3009
33,prasle-line,10,3348
31,prasle-line,10,2918
30,prasle-line,10,2850
32,prasle-line,10,2971
35,prasle-line,10,2999
34,prasle-line,10,3356
36,prasle-line,10,3156
37,prasle-line,10,3276
38,prasle-line,10,3232
39,prasle-line,10,2999
42,prasle-line,10,3334
40,prasle-line,10,3071
41,prasle-line,10,2943
43,prasle-line,10,3156
45,prasle-line,10,3048
46,prasle-line,10,3137
44,prasle-line,10,3254
47,prasle-line,10,3150
48,prasle-line,10,3310
51,prasle-line,10,2869
50,prasle-line,10,3259
49,prasle-line,10,3132
52,prasle-line,10,2925
55,prasle-line,10,3151
54,prasle-line,10,2933
53,prasle-line,10,3136
56,prasle-line,10,3126
57,prasle-line,10,2787
58,prasle-line,10,2765
59,prasle-line,10,3062
60,prasle-line,10,3117
62,prasle-line,10,3533
61,prasle-line,10,2899
65,prasle-line,10,2952
64,prasle-line,10,3269
66,prasle-line,10,3234
63,prasle-line,10,3018
69,prasle-line,10,2796
67,prasle-line,10,2952
68,prasle-line,10,2915
71,prasle-line,10,2889
70,prasle-line,10,2953
72,prasle-line,10,2868
74,prasle-line,10,3048
73,prasle-line,10,3228
76,prasle-line,10,3025
75,prasle-line,10,3079
78,prasle-line,10,3201
77,prasle-line,10,3102
79,prasle-line,10,3273
80,prasle-line,10,3019
81,prasle-line,10,3179
83,prasle-line,10,3044
84,prasle-line,10,2868
82,prasle-line,10,3186
85,prasle-line,10,3142
86,prasle-line,10,2823
88,prasle-line,10,3321
90,prasle-line,10,3434
87,prasle-line,10,2738
89,prasle-line,10,2970
91,prasle-line,10,3354
93,prasle-line,10,2986
92,prasle-line,10,3211
95,prasle-line,10,2970
94,prasle-line,10,3513
97,prasle-line,10,3158
96,prasle-line,10,3167
98,prasle-line,10,2941
99,prasle-line,10,3118
100,prasle-line,10,3217
