timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
2992,5,bully,2992,1,1,2992,3,1,18,6,1,2,0,2992,0,2,0,0,0,NORMAL,0,3,2,3,3,3,0,1,0,0,0,0,0,0,0
3128,2,bully,3128,1,1,3128,3,3,18,18,1,1,0,3128,0,2,0,0,0,NORMAL,0,3,2,3,3,3,0,3,0,0,0,0,0,0,0
3685,1,bully,3685,1,1,3685,3,4,18,24,1,1,0,3685,0,2,0,0,0,LEADER,1,4,1,4,1,3,0,4,0,0,0,0,0,0,0
3570,3,bully,3570,1,1,3570,3,6,18,36,1,1,0,3570,0,2,0,0,0,NORMAL,0,3,2,3,4,3,0,6,0,0,0,0,0,0,0
3549,4,bully,3549,1,1,3549,3,9,18,54,1,1,0,3549,0,2,0,0,0,NORMAL,0,3,2,3,4,3,0,9,0,0,0,0,0,0,0
5295,5,bully,2992,1,1,2992,6,4,36,24,1,2,2303,2992,0,2,0,0,0,NORMAL,0,3,1,3,5,6,0,4,0,0,0,0,0,0,0
5431,2,bully,3128,1,1,3128,6,9,36,54,1,1,2303,3128,0,2,0,0,0,NORMAL,0,3,1,6,3,6,0,9,0,0,0,0,0,0,0
5988,1,bully,3685,1,1,3685,6,7,36,42,1,1,2303,3685,0,2,0,0,0,LEADER,1,4,1,7,1,6,0,7,0,0,0,0,0,0,0
5873,3,bully,3570,1,1,3570,6,12,36,72,1,1,2303,3570,0,2,0,0,0,NORMAL,0,3,1,6,4,6,0,12,0,0,0,0,0,0,0
5852,4,bully,3549,1,1,3549,6,15,36,90,1,1,2303,3549,0,2,0,0,0,NORMAL,0,3,1,6,4,6,0,15,0,0,0,0,0,0,0
