timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
2754,9,bully,2754,1,1,2754,3,1,18,6,1,5,0,2754,0,2,0,0,0,NORMAL,0,3,2,6,3,3,0,1,0,0,0,0,0,0,0
3005,4,bully,3005,1,1,3005,3,4,18,24,1,2,0,3005,0,2,0,0,0,NORMAL,0,3,2,3,5,3,0,4,0,0,0,0,0,0,0
2868,7,bully,2868,1,1,2868,3,6,18,36,1,2,0,2868,0,2,0,0,0,NORMAL,0,3,2,3,6,3,0,6,0,0,0,0,0,0,0
2890,6,bully,2890,1,1,2890,3,8,18,48,1,1,0,2890,0,2,0,0,0,NORMAL,0,3,2,2,5,3,0,8,0,0,0,0,0,0,0
3196,10,bully,3196,1,1,3196,3,3,18,18,1,1,0,3196,0,2,0,0,0,NORMAL,0,3,2,2,6,3,0,3,0,0,0,0,0,0,0
3026,3,bully,3026,1,1,3026,3,10,18,60,1,1,0,3026,0,2,0,0,0,NORMAL,0,3,2,2,5,3,0,10,0,0,0,0,0,0,0
3584,2,bully,3584,1,1,3584,3,9,18,54,1,1,0,3584,0,2,0,0,0,NORMAL,0,3,2,3,3,3,0,9,0,0,0,0,0,0,0
3311,8,bully,3311,1,1,3311,3,8,18,48,1,2,0,3311,0,2,0,0,0,NORMAL,0,3,2,3,6,3,0,8,0,0,0,0,0,0,0
3141,1,bully,3141,1,1,3141,3,5,18,30,1,1,0,3141,0,2,0,0,0,LEADER,1,4,1,4,1,3,0,5,0,0,0,0,0,0,0
3447,5,bully,3447,1,1,3447,3,10,18,60,1,1,0,3447,0,2,0,0,0,NORMAL,0,3,2,3,3,3,0,10,0,0,0,0,0,0,0
