trial,algorithm,node_count,convergence_time_ms
2,prasle-mesh,5,3148
3,prasle-mesh,5,3033
1,prasle-mesh,5,3151
4,prasle-mesh,5,3302
5,prasle-mesh,5,3399
6,prasle-mesh,5,3389
8,prasle-mesh,5,3323
7,prasle-mesh,5,3030
11,prasle-mesh,5,3244
14,prasle-mesh,5,3229
13,prasle-mesh,5,3015
9,prasle-mesh,5,3053
12,prasle-mesh,5,3262
10,prasle-mesh,5,3324
15,prasle-mesh,5,3517
16,prasle-mesh,5,2835
17,prasle-mesh,5,3317
21,prasle-mesh,5,3145
18,prasle-mesh,5,3464
20,prasle-mesh,5,2911
19,prasle-mesh,5,3279
22,prasle-mesh,5,3635
23,prasle-mesh,5,3282
25,prasle-mesh,5,3571
24,prasle-mesh,5,2985
26,prasle-mesh,5,2806
27,prasle-mesh,5,3310
28,prasle-mesh,5,3480
30,prasle-mesh,5,3361
31,prasle-mesh,5,3338
32,prasle-mesh,5,2797
29,prasle-mesh,5,3217
34,prasle-mesh,5,3247
33,prasle-mesh,5,3051
35,prasle-mesh,5,3278
36,prasle-mesh,5,3076
39,prasle-mesh,5,2917
37,prasle-mesh,5,2923
38,prasle-mesh,5,2833
40,prasle-mesh,5,2992
41,prasle-mesh,5,3154
42,prasle-mesh,5,3125
43,prasle-mesh,5,3308
48,prasle-mesh,5,3014
45,prasle-mesh,5,3353
44,prasle-mesh,5,3295
47,prasle-mesh,5,2813
46,prasle-mesh,5,2865
51,prasle-mesh,5,3249
52,prasle-mesh,5,2890
49,prasle-mesh,5,3633
54,prasle-mesh,5,3043
53,prasle-mesh,5,3685
56,prasle-mesh,5,3440
50,prasle-mesh,5,2809
55,prasle-mesh,5,3072
57,prasle-mesh,5,3413
58,prasle-mesh,5,3156
59,prasle-mesh,5,2956
60,prasle-mesh,5,3463
61,prasle-mesh,5,3163
62,prasle-mesh,5,2881
64,prasle-mesh,5,2731
69,prasle-mesh,5,3393
63,prasle-mesh,5,3155
67,prasle-mesh,5,3748
65,prasle-mesh,5,3331
66,prasle-mesh,5,3070
68,prasle-mesh,5,3339
70,prasle-mesh,5,3130
71,prasle-mesh,5,3111
72,prasle-mesh,5,3389
73,prasle-mesh,5,2942
74,prasle-mesh,5,3460
75,prasle-mesh,5,2974
76,prasle-mesh,5,3427
78,prasle-mesh,5,3386
77,prasle-mesh,5,3084
80,prasle-mesh,5,3159
79,prasle-mesh,5,3499
81,prasle-mesh,5,2855
83,prasle-mesh,5,3760
82,prasle-mesh,5,3336
84,prasle-mesh,5,3175
85,prasle-mesh,5,3135
87,prasle-mesh,5,3312
86,prasle-mesh,5,2985
89,prasle-mesh,5,2994
88,prasle-mesh,5,3057
90,prasle-mesh,5,2993
91,prasle-mesh,5,3636
94,prasle-mesh,5,3378
92,prasle-mesh,5,3065
93,prasle-mesh,5,3093
96,prasle-mesh,5,3020
95,prasle-mesh,5,3184
97,prasle-mesh,5,3341
98,prasle-mesh,5,2922
100,prasle-mesh,5,3401
99,prasle-mesh,5,3326
