trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle-mesh,10,2951,3043,1,6,true
2,prasle-mesh,10,3698,3086,1,6,true
3,prasle-mesh,10,2993,3058,1,6,true
4,prasle-mesh,10,3095,3674,1,6,true
5,prasle-mesh,10,3027,2867,1,6,true
6,prasle-mesh,10,2928,3318,1,6,true
7,prasle-mesh,10,3493,3297,1,6,true
8,prasle-mesh,10,3399,3512,1,6,true
9,prasle-mesh,10,3430,3160,1,6,true
10,prasle-mesh,10,2951,3226,1,6,true
11,prasle-mesh,10,3278,2913,1,6,true
12,prasle-mesh,10,2792,3293,1,6,true
13,prasle-mesh,10,3016,3297,1,6,true
14,prasle-mesh,10,3092,3285,1,6,true
15,prasle-mesh,10,3470,3640,1,6,true
16,prasle-mesh,10,2746,3052,1,6,true
17,prasle-mesh,10,2813,3341,1,6,true
18,prasle-mesh,10,3073,3442,1,6,true
19,prasle-mesh,10,2873,3596,1,6,true
20,prasle-mesh,10,3263,3373,1,6,true
21,prasle-mesh,10,3277,3041,1,6,true
22,prasle-mesh,10,3516,3200,1,6,true
23,prasle-mesh,10,3295,3519,1,6,true
24,prasle-mesh,10,2913,3326,1,6,true
25,prasle-mesh,10,3296,3185,1,6,true
26,prasle-mesh,10,3136,3425,1,6,true
27,prasle-mesh,10,3264,3039,1,6,true
28,prasle-mesh,10,2854,3461,1,6,true
29,prasle-mesh,10,3029,3289,1,6,true
30,prasle-mesh,10,3437,3410,1,6,true
31,prasle-mesh,10,3109,3438,1,6,true
32,prasle-mesh,10,3216,3005,1,6,true
33,prasle-mesh,10,3255,2818,1,6,true
34,prasle-mesh,10,3237,2992,1,6,true
35,prasle-mesh,10,3656,2917,1,6,true
36,prasle-mesh,10,3015,3069,1,6,true
37,prasle-mesh,10,3821,3324,1,6,true
38,prasle-mesh,10,3297,2966,1,6,true
39,prasle-mesh,10,3028,3749,1,6,true
40,prasle-mesh,10,3000,2969,1,6,true
41,prasle-mesh,10,3119,3193,1,6,true
42,prasle-mesh,10,3517,2858,1,6,true
43,prasle-mesh,10,3021,3224,1,6,true
44,prasle-mesh,10,3103,2974,1,6,true
45,prasle-mesh,10,3041,3049,1,6,true
46,prasle-mesh,10,3683,3198,1,6,true
47,prasle-mesh,10,3312,2863,1,6,true
48,prasle-mesh,10,2894,3125,1,6,true
49,prasle-mesh,10,3157,2763,1,6,true
50,prasle-mesh,10,3167,3653,1,6,true
51,prasle-mesh,10,3148,3370,1,6,true
52,prasle-mesh,10,3262,3554,1,6,true
53,prasle-mesh,10,3241,3174,1,6,true
54,prasle-mesh,10,3176,3374,1,6,true
55,prasle-mesh,10,3043,3357,1,6,true
56,prasle-mesh,10,3162,3361,1,6,true
57,prasle-mesh,10,3551,2831,1,6,true
58,prasle-mesh,10,2882,3265,1,6,true
59,prasle-mesh,10,3534,2985,1,6,true
60,prasle-mesh,10,3001,3631,1,6,true
61,prasle-mesh,10,2881,3256,1,6,true
62,prasle-mesh,10,3590,3163,1,6,true
63,prasle-mesh,10,3148,3128,1,6,true
64,prasle-mesh,10,3070,3397,1,6,true
65,prasle-mesh,10,2860,3038,1,6,true
66,prasle-mesh,10,2947,3282,1,6,true
67,prasle-mesh,10,2963,3621,1,6,true
68,prasle-mesh,10,3498,3221,1,6,true
69,prasle-mesh,10,3106,3235,1,6,true
70,prasle-mesh,10,3373,2870,1,6,true
71,prasle-mesh,10,3152,2942,1,6,true
72,prasle-mesh,10,3877,2992,1,6,true
73,prasle-mesh,10,3173,2920,1,6,true
74,prasle-mesh,10,3099,3180,1,6,true
75,prasle-mesh,10,3221,3357,1,6,true
76,prasle-mesh,10,3059,2855,1,6,true
77,prasle-mesh,10,3029,2944,1,6,true
78,prasle-mesh,10,3289,3337,1,6,true
79,prasle-mesh,10,3591,3418,1,6,true
80,prasle-mesh,10,3314,3564,1,6,true
81,prasle-mesh,10,3722,3053,1,6,true
82,prasle-mesh,10,2988,3191,1,6,true
83,prasle-mesh,10,2958,3132,1,6,true
84,prasle-mesh,10,3400,3030,1,6,true
85,prasle-mesh,10,3114,2995,1,6,true
86,prasle-mesh,10,3432,2954,1,6,true
87,prasle-mesh,10,3408,3090,1,6,true
88,prasle-mesh,10,3124,2837,1,6,true
89,prasle-mesh,10,3324,3155,1,6,true
90,prasle-mesh,10,2783,3091,1,6,true
91,prasle-mesh,10,3204,3073,1,6,true
92,prasle-mesh,10,3180,3082,1,6,true
93,prasle-mesh,10,2828,3264,1,6,true
94,prasle-mesh,10,2939,3221,1,6,true
95,prasle-mesh,10,3421,3499,1,6,true
96,prasle-mesh,10,2921,3544,1,6,true
97,prasle-mesh,10,3190,3075,1,6,true
98,prasle-mesh,10,3256,3106,1,6,true
99,prasle-mesh,10,3146,3697,1,6,true
100,prasle-mesh,10,3037,3217,1,6,true
