trial,algorithm,node_count,convergence_time_ms
2,prasle-ring,50,2958
3,prasle-ring,50,2875
4,prasle-ring,50,2842
5,prasle-ring,50,2832
1,prasle-ring,50,2762
8,prasle-ring,50,2900
6,prasle-ring,50,2860
11,prasle-ring,50,2832
13,prasle-ring,50,2829
12,prasle-ring,50,3069
14,prasle-ring,50,2717
10,prasle-ring,50,3073
9,prasle-ring,50,2847
7,prasle-ring,50,2917
17,prasle-ring,50,2797
15,prasle-ring,50,2972
16,prasle-ring,50,2943
18,prasle-ring,50,2887
19,prasle-ring,50,3024
20,prasle-ring,50,2724
22,prasle-ring,50,2824
24,prasle-ring,50,2877
21,prasle-ring,50,2862
25,prasle-ring,50,2783
23,prasle-ring,50,2746
27,prasle-ring,50,3102
26,prasle-ring,50,2788
28,prasle-ring,50,3051
29,prasle-ring,50,2839
30,prasle-ring,50,2921
31,prasle-ring,50,2733
32,prasle-ring,50,2839
34,prasle-ring,50,2797
33,prasle-ring,50,2832
36,prasle-ring,50,2884
35,prasle-ring,50,2783
37,prasle-ring,50,2940
38,prasle-ring,50,2921
40,prasle-ring,50,2805
39,prasle-ring,50,2810
41,prasle-ring,50,2853
42,prasle-ring,50,2884
43,prasle-ring,50,2788
44,prasle-ring,50,2846
45,prasle-ring,50,2847
48,prasle-ring,50,3036
46,prasle-ring,50,2866
47,prasle-ring,50,2774
50,prasle-ring,50,2835
49,prasle-ring,50,3082
51,prasle-ring,50,2785
52,prasle-ring,50,2826
53,prasle-ring,50,2793
54,prasle-ring,50,2858
55,prasle-ring,50,2793
56,prasle-ring,50,2856
57,prasle-ring,50,2797
58,prasle-ring,50,2813
60,prasle-ring,50,3014
59,prasle-ring,50,2752
61,prasle-ring,50,2899
62,prasle-ring,50,2873
63,prasle-ring,50,2905
64,prasle-ring,50,2850
66,prasle-ring,50,2914
65,prasle-ring,50,2777
67,prasle-ring,50,2954
70,prasle-ring,50,2937
68,prasle-ring,50,2881
69,prasle-ring,50,2995
71,prasle-ring,50,2749
73,prasle-ring,50,2840
72,prasle-ring,50,2812
74,prasle-ring,50,2846
76,prasle-ring,50,2908
75,prasle-ring,50,3009
77,prasle-ring,50,2983
78,prasle-ring,50,2839
81,prasle-ring,50,2922
80,prasle-ring,50,2960
82,prasle-ring,50,2920
83,prasle-ring,50,2805
84,prasle-ring,50,2992
79,prasle-ring,50,2811
85,prasle-ring,50,3005
86,prasle-ring,50,2911
88,prasle-ring,50,2848
87,prasle-ring,50,3035
90,prasle-ring,50,2761
93,prasle-ring,50,2957
91,prasle-ring,50,3108
89,prasle-ring,50,2871
92,prasle-ring,50,2746
94,prasle-ring,50,2818
95,prasle-ring,50,2854
96,prasle-ring,50,2871
97,prasle-ring,50,2902
98,prasle-ring,50,2918
99,prasle-ring,50,2815
100,prasle-ring,50,2884
