trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,prasle-ring,5,60,3001,62879,2879
2,prasle-ring,5,60,3037,62915,2915
3,prasle-ring,5,60,3271,63231,3231
4,prasle-ring,5,60,3283,63160,3160
5,prasle-ring,5,60,2918,62796,2796
6,prasle-ring,5,60,2890,63276,3276
7,prasle-ring,5,60,3274,63331,3331
8,prasle-ring,5,60,3628,63506,3506
9,prasle-ring,5,60,2989,63615,3615
10,prasle-ring,5,60,3366,63244,3244
11,prasle-ring,5,60,2970,63009,3009
12,prasle-ring,5,60,3276,63154,3154
13,prasle-ring,5,60,3257,63135,3135
14,prasle-ring,5,60,3605,63626,3626
15,prasle-ring,5,60,3175,63053,3053
16,prasle-ring,5,60,2954,62832,2832
17,prasle-ring,5,60,3486,63370,3370
18,prasle-ring,5,60,3024,63029,3029
19,prasle-ring,5,60,3241,63119,3119
20,prasle-ring,5,60,2793,63253,3253
21,prasle-ring,5,60,2993,62871,2871
22,prasle-ring,5,60,2827,62705,2705
23,prasle-ring,5,60,3454,63331,3331
24,prasle-ring,5,60,3255,63228,3228
25,prasle-ring,5,60,3327,63323,3323
26,prasle-ring,5,60,2893,62771,2771
27,prasle-ring,5,60,2904,62782,2782
28,prasle-ring,5,60,3308,63186,3186
29,prasle-ring,5,60,3094,63441,3441
30,prasle-ring,5,60,2990,63645,3645
31,prasle-ring,5,60,3042,62920,2920
32,prasle-ring,5,60,3167,63232,3232
33,prasle-ring,5,60,3120,62998,2998
34,prasle-ring,5,60,3145,63023,3023
35,prasle-ring,5,60,2858,62736,2736
36,prasle-ring,5,60,3067,63168,3168
37,prasle-ring,5,60,2954,62831,2831
38,prasle-ring,5,60,3425,63314,3314
39,prasle-ring,5,60,2966,63369,3369
40,prasle-ring,5,60,3397,63569,3569
41,prasle-ring,5,60,3570,63448,3448
42,prasle-ring,5,60,3364,63404,3404
43,prasle-ring,5,60,3016,63295,3295
44,prasle-ring,5,60,3416,63294,3294
45,prasle-ring,5,60,3180,63056,3056
46,prasle-ring,5,60,3245,63122,3122
47,prasle-ring,5,60,3762,63640,3640
48,prasle-ring,5,60,3068,63610,3610
49,prasle-ring,5,60,3028,63160,3160
50,prasle-ring,5,60,3147,63025,3025
51,prasle-ring,5,60,3198,63207,3207
52,prasle-ring,5,60,3057,62935,2935
53,prasle-ring,5,60,3357,63235,3235
54,prasle-ring,5,60,3392,63270,3270
55,prasle-ring,5,60,3678,63556,3556
56,prasle-ring,5,60,3255,63133,3133
57,prasle-ring,5,60,3310,63611,3611
58,prasle-ring,5,60,3502,63380,3380
59,prasle-ring,5,60,3291,63169,3169
60,prasle-ring,5,60,3379,63257,3257
61,prasle-ring,5,60,3182,63060,3060
62,prasle-ring,5,60,3303,63177,3177
63,prasle-ring,5,60,2905,62891,2891
64,prasle-ring,5,60,2987,62865,2865
65,prasle-ring,5,60,3375,63606,3606
66,prasle-ring,5,60,3490,63368,3368
67,prasle-ring,5,60,3402,63278,3278
68,prasle-ring,5,60,3020,62898,2898
69,prasle-ring,5,60,3252,63130,3130
70,prasle-ring,5,60,3306,63184,3184
71,prasle-ring,5,60,3043,63803,3803
72,prasle-ring,5,60,3010,63419,3419
73,prasle-ring,5,60,3538,63492,3492
74,prasle-ring,5,60,2799,62677,2677
75,prasle-ring,5,60,3516,63680,3680
76,prasle-ring,5,60,2928,62806,2806
77,prasle-ring,5,60,3311,63327,3327
78,prasle-ring,5,60,3293,63648,3648
79,prasle-ring,5,60,3455,63333,3333
80,prasle-ring,5,60,3617,63495,3495
81,prasle-ring,5,60,3098,62975,2975
82,prasle-ring,5,60,3585,63858,3858
83,prasle-ring,5,60,3668,63546,3546
84,prasle-ring,5,60,3185,63451,3451
85,prasle-ring,5,60,3016,63177,3177
86,prasle-ring,5,60,3086,62964,2964
87,prasle-ring,5,60,3554,63431,3431
88,prasle-ring,5,60,3005,62883,2883
89,prasle-ring,5,60,3229,63548,3548
90,prasle-ring,5,60,2985,62863,2863
91,prasle-ring,5,60,3193,63071,3071
92,prasle-ring,5,60,3304,63487,3487
93,prasle-ring,5,60,2959,63431,3431
94,prasle-ring,5,60,3618,63496,3496
95,prasle-ring,5,60,3388,63263,3263
96,prasle-ring,5,60,3562,63661,3661
97,prasle-ring,5,60,3699,63577,3577
98,prasle-ring,5,60,3593,63494,3494
99,prasle-ring,5,60,3337,63575,3575
100,prasle-ring,5,60,2961,63366,3366
