trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,prasle-ring,100,70,2785,NA
2,prasle-ring,100,70,2893,NA
3,prasle-ring,100,70,2800,NA
4,prasle-ring,100,70,2915,NA
5,prasle-ring,100,70,2773,NA
6,prasle-ring,100,70,2860,NA
7,prasle-ring,100,70,2855,NA
8,prasle-ring,100,70,2849,NA
9,prasle-ring,100,70,2787,NA
10,prasle-ring,100,70,2716,NA
11,prasle-ring,100,70,2935,NA
12,prasle-ring,100,70,2826,NA
13,prasle-ring,100,70,2823,NA
14,prasle-ring,100,70,2847,NA
15,prasle-ring,100,70,2926,NA
16,prasle-ring,100,70,2868,NA
17,prasle-ring,100,70,2899,NA
18,prasle-ring,100,70,2796,NA
19,prasle-ring,100,70,2883,NA
20,prasle-ring,100,70,2823,NA
21,prasle-ring,100,70,2890,NA
22,prasle-ring,100,70,2760,NA
23,prasle-ring,100,70,2802,NA
24,prasle-ring,100,70,2799,NA
25,prasle-ring,100,70,2853,NA
26,prasle-ring,100,70,2916,NA
27,prasle-ring,100,70,3008,NA
28,prasle-ring,100,70,2826,NA
29,prasle-ring,100,70,2873,NA
30,prasle-ring,100,70,2728,NA
31,prasle-ring,100,70,2814,NA
32,prasle-ring,100,70,2734,NA
33,prasle-ring,100,70,2843,NA
34,prasle-ring,100,70,2842,NA
35,prasle-ring,100,70,2863,NA
36,prasle-ring,100,70,2737,NA
37,prasle-ring,100,70,2832,NA
38,prasle-ring,100,70,2737,NA
39,prasle-ring,100,70,2767,NA
40,prasle-ring,100,70,2802,NA
41,prasle-ring,100,70,2839,NA
42,prasle-ring,100,70,2862,NA
43,prasle-ring,100,70,2992,NA
44,prasle-ring,100,70,2836,NA
45,prasle-ring,100,70,2748,NA
46,prasle-ring,100,70,2759,NA
47,prasle-ring,100,70,2848,NA
48,prasle-ring,100,70,2840,NA
49,prasle-ring,100,70,2782,NA
50,prasle-ring,100,70,2897,NA
51,prasle-ring,100,70,2808,NA
52,prasle-ring,100,70,2802,NA
53,prasle-ring,100,70,2799,NA
54,prasle-ring,100,70,2768,NA
55,prasle-ring,100,70,2839,NA
56,prasle-ring,100,70,2946,NA
57,prasle-ring,100,70,2800,NA
58,prasle-ring,100,70,2805,NA
59,prasle-ring,100,70,2837,NA
60,prasle-ring,100,70,2807,NA
61,prasle-ring,100,70,2755,NA
62,prasle-ring,100,70,2800,NA
63,prasle-ring,100,70,2770,NA
64,prasle-ring,100,70,2917,NA
65,prasle-ring,100,70,2997,NA
66,prasle-ring,100,70,2772,NA
67,prasle-ring,100,70,2774,NA
68,prasle-ring,100,70,2861,NA
69,prasle-ring,100,70,2825,NA
70,prasle-ring,100,70,2724,NA
71,prasle-ring,100,70,2881,NA
72,prasle-ring,100,70,2915,NA
73,prasle-ring,100,70,2823,NA
74,prasle-ring,100,70,2784,NA
75,prasle-ring,100,70,2781,NA
76,prasle-ring,100,70,2895,NA
77,prasle-ring,100,70,2876,NA
78,prasle-ring,100,70,2834,NA
79,prasle-ring,100,70,2807,NA
80,prasle-ring,100,70,2809,NA
81,prasle-ring,100,70,2751,NA
82,prasle-ring,100,70,2923,NA
83,prasle-ring,100,70,2781,NA
84,prasle-ring,100,70,2722,NA
85,prasle-ring,100,70,2735,NA
86,prasle-ring,100,70,2820,NA
87,prasle-ring,100,70,2729,NA
88,prasle-ring,100,70,2886,NA
89,prasle-ring,100,70,2888,NA
90,prasle-ring,100,70,2771,NA
91,prasle-ring,100,70,2719,NA
92,prasle-ring,100,70,2966,NA
93,prasle-ring,100,70,2843,NA
94,prasle-ring,100,70,2773,NA
95,prasle-ring,100,70,2851,NA
96,prasle-ring,100,70,2743,NA
97,prasle-ring,100,70,2826,NA
98,prasle-ring,100,70,2790,NA
99,prasle-ring,100,70,2859,NA
100,prasle-ring,100,70,2915,NA
