trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,ring,50,51464,47333,25,50,true
2,ring,50,NA,47455,25,50,true
3,ring,50,51537,48912,25,50,true
4,ring,50,NA,47855,25,50,true
5,ring,50,50450,47256,25,50,true
6,ring,50,NA,48361,25,50,true
7,ring,50,NA,47195,25,50,true
8,ring,50,NA,47829,25,50,true
9,ring,50,NA,47192,25,50,true
10,ring,50,NA,47350,25,50,true
11,ring,50,50765,47467,25,50,true
12,ring,50,NA,48652,25,50,true
13,ring,50,NA,47411,25,50,true
14,ring,50,NA,47567,25,50,true
15,ring,50,NA,48096,25,50,true
16,ring,50,NA,48495,25,50,true
17,ring,50,NA,46829,25,50,true
18,ring,50,NA,48548,25,50,true
19,ring,50,NA,47617,25,50,true
20,ring,50,NA,48082,25,50,true
21,ring,50,NA,48458,25,50,true
22,ring,50,NA,47506,25,50,true
23,ring,50,50580,47316,25,50,true
24,ring,50,NA,49152,25,50,true
25,ring,50,NA,46285,25,50,true
26,ring,50,NA,48574,25,50,true
27,ring,50,NA,46426,25,50,true
28,ring,50,NA,48029,25,50,true
29,ring,50,50653,48117,25,50,true
30,ring,50,NA,47771,25,50,true
31,ring,50,NA,46626,25,50,true
32,ring,50,50388,47989,25,50,true
33,ring,50,50777,46569,25,50,true
34,ring,50,NA,46442,25,50,true
35,ring,50,NA,48250,25,50,true
36,ring,50,NA,46883,25,50,true
37,ring,50,NA,47889,25,50,true
38,ring,50,NA,46857,25,50,true
39,ring,50,NA,48685,25,50,true
40,ring,50,NA,48983,25,50,true
41,ring,50,51286,47522,25,50,true
42,ring,50,NA,48441,25,50,true
43,ring,50,51011,48490,25,50,true
44,ring,50,50544,47227,25,50,true
45,ring,50,NA,46738,25,50,true
46,ring,50,NA,48891,25,50,true
47,ring,50,NA,48773,25,50,true
48,ring,50,NA,46735,25,50,true
49,ring,50,NA,48237,25,50,true
50,ring,50,51100,47395,25,50,true
51,ring,50,51218,47372,25,50,true
52,ring,50,NA,47660,25,50,true
53,ring,50,NA,48387,25,50,true
54,ring,50,NA,47829,25,50,true
55,ring,50,NA,47942,25,50,true
56,ring,50,NA,48475,25,50,true
57,ring,50,NA,47935,25,50,true
58,ring,50,50909,47797,25,50,true
59,ring,50,NA,49012,25,50,true
60,ring,50,NA,47598,25,50,true
61,ring,50,51257,47254,25,50,true
62,ring,50,51253,48138,25,50,true
63,ring,50,50876,47719,25,50,true
64,ring,50,NA,47383,25,50,true
65,ring,50,NA,48347,25,50,true
66,ring,50,50824,47676,25,50,true
67,ring,50,NA,48531,25,50,true
68,ring,50,NA,48200,25,50,true
69,ring,50,NA,46981,25,50,true
70,ring,50,NA,48100,25,50,true
71,ring,50,NA,46568,25,50,true
72,ring,50,NA,47056,25,50,true
73,ring,50,51249,47336,25,50,true
74,ring,50,NA,48099,25,50,true
75,ring,50,NA,46970,25,50,true
76,ring,50,NA,48285,25,50,true
77,ring,50,NA,47335,25,50,true
78,ring,50,NA,48442,25,50,true
79,ring,50,50569,47461,25,50,true
80,ring,50,NA,48786,25,50,true
81,ring,50,NA,47796,25,50,true
82,ring,50,NA,46516,25,50,true
83,ring,50,NA,48265,25,50,true
84,ring,50,NA,47873,25,50,true
85,ring,50,NA,47227,25,50,true
86,ring,50,NA,47009,25,50,true
87,ring,50,50462,47915,25,50,true
88,ring,50,50877,47071,25,50,true
89,ring,50,NA,47656,25,50,true
90,ring,50,NA,47213,25,50,true
91,ring,50,NA,48360,25,50,true
92,ring,50,50670,47711,25,50,true
93,ring,50,NA,48228,25,50,true
94,ring,50,NA,47413,25,50,true
95,ring,50,NA,47900,25,50,true
96,ring,50,51190,48706,25,50,true
97,ring,50,NA,47487,25,50,true
98,ring,50,51229,47952,25,50,true
99,ring,50,NA,48057,25,50,true
100,ring,50,NA,48453,25,50,true
