trial,algorithm,node_count,noise_level,convergence_time_ms,message_count
1,ring,10,70,NA,NA
2,ring,10,70,1783,NA
3,ring,10,70,NA,NA
4,ring,10,70,9148,NA
5,ring,10,70,12743,NA
6,ring,10,70,12844,NA
7,ring,10,70,4143,NA
8,ring,10,70,13593,NA
9,ring,10,70,13240,NA
10,ring,10,70,10303,NA
11,ring,10,70,10706,NA
12,ring,10,70,8749,NA
13,ring,10,70,NA,NA
14,ring,10,70,12788,NA
15,ring,10,70,14357,NA
16,ring,10,70,10454,NA
17,ring,10,70,12920,NA
18,ring,10,70,13398,NA
19,ring,10,70,10863,NA
20,ring,10,70,8760,NA
21,ring,10,70,8912,NA
22,ring,10,70,13063,NA
23,ring,10,70,9546,NA
24,ring,10,70,14153,NA
25,ring,10,70,13293,NA
26,ring,10,70,5080,NA
27,ring,10,70,8657,NA
28,ring,10,70,9820,NA
29,ring,10,70,4148,NA
30,ring,10,70,9168,NA
31,ring,10,70,13430,NA
32,ring,10,70,4074,NA
33,ring,10,70,13608,NA
34,ring,10,70,NA,NA
35,ring,10,70,33297,NA
36,ring,10,70,9790,NA
37,ring,10,70,NA,NA
38,ring,10,70,4340,NA
39,ring,10,70,8925,NA
40,ring,10,70,14673,NA
41,ring,10,70,13305,NA
42,ring,10,70,9883,NA
43,ring,10,70,13213,NA
44,ring,10,70,9606,NA
45,ring,10,70,10324,NA
46,ring,10,70,9153,NA
47,ring,10,70,13053,NA
48,ring,10,70,14616,NA
49,ring,10,70,9973,NA
50,ring,10,70,9790,NA
51,ring,10,70,9903,NA
52,ring,10,70,13364,NA
53,ring,10,70,9568,NA
54,ring,10,70,2428,NA
55,ring,10,70,9041,NA
56,ring,10,70,13278,NA
57,ring,10,70,9017,NA
58,ring,10,70,5293,NA
59,ring,10,70,NA,NA
60,ring,10,70,4100,NA
61,ring,10,70,10476,NA
62,ring,10,70,10890,NA
63,ring,10,70,12655,NA
64,ring,10,70,9912,NA
65,ring,10,70,10718,NA
66,ring,10,70,9742,NA
67,ring,10,70,13456,NA
68,ring,10,70,NA,NA
69,ring,10,70,4329,NA
70,ring,10,70,10059,NA
71,ring,10,70,13040,NA
72,ring,10,70,9418,NA
73,ring,10,70,24118,NA
74,ring,10,70,9204,NA
75,ring,10,70,NA,NA
76,ring,10,70,1810,NA
77,ring,10,70,11475,NA
78,ring,10,70,12777,NA
79,ring,10,70,12416,NA
80,ring,10,70,13910,NA
81,ring,10,70,3418,NA
82,ring,10,70,10500,NA
83,ring,10,70,8543,NA
84,ring,10,70,2909,NA
85,ring,10,70,2640,NA
86,ring,10,70,14138,NA
87,ring,10,70,13701,NA
88,ring,10,70,3354,NA
89,ring,10,70,4046,NA
90,ring,10,70,21139,NA
91,ring,10,70,13009,NA
92,ring,10,70,9668,NA
93,ring,10,70,9835,NA
94,ring,10,70,3786,NA
95,ring,10,70,13220,NA
96,ring,10,70,13419,NA
97,ring,10,70,10240,NA
98,ring,10,70,9585,NA
99,ring,10,70,3079,NA
100,ring,10,70,9592,NA
