timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
1833,5,ring,1833,1,0,0,2,1,28,14,1,4,0,1833,0,2,0,0,0,NORMAL,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
1880,1,ring,1880,1,0,0,1,1,14,14,1,1,0,1880,0,2,0,0,0,LEADER,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1968,2,ring,1968,1,0,0,1,2,14,28,1,1,0,1968,0,2,0,0,0,NORMAL,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2518,4,ring,2518,1,0,0,2,3,28,42,1,1,0,2518,0,2,0,0,0,NORMAL,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
1971,3,ring,1971,1,0,0,1,3,14,42,1,1,0,1971,0,2,0,0,0,NORMAL,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
2927,3,ring,1971,1,0,0,1,3,14,42,1,1,956,1971,0,2,0,0,0,NORMAL,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
4018,5,ring,1833,1,0,0,3,2,42,28,1,4,2185,1833,0,2,0,0,0,NORMAL,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
3862,1,ring,1880,1,0,0,1,1,14,14,1,1,1982,1880,0,2,0,0,0,LEADER,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3883,3,ring,1971,1,0,0,1,3,14,42,1,1,1912,1971,0,2,0,0,0,NORMAL,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
4436,2,ring,1968,1,0,0,1,2,14,28,1,1,2468,1968,0,2,0,0,0,NORMAL,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
5032,4,ring,2518,1,0,0,3,5,42,70,1,1,2514,2518,0,2,0,0,0,NORMAL,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0
4882,3,ring,1971,1,0,0,2,5,28,70,2,3,2911,1971,0,3,0,0,0,LEADER,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0
5845,1,ring,1880,1,0,0,2,2,28,28,1,1,3965,1880,0,2,0,0,0,LEADER,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0
5964,3,ring,1971,1,0,0,2,5,28,70,2,3,3993,1971,0,3,0,0,0,LEADER,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0
6875,2,ring,1968,1,0,0,2,5,28,70,1,1,4907,1968,0,2,0,0,0,NORMAL,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0
7046,3,ring,1971,1,0,0,2,5,28,70,2,3,5075,1971,0,3,0,0,0,LEADER,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0
7829,1,ring,1880,1,0,0,4,3,56,42,2,2,5949,1880,0,3,0,0,0,NORMAL,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
8455,4,ring,2518,1,0,0,3,7,42,98,1,1,5937,2518,0,2,0,0,0,NORMAL,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0
8129,3,ring,1971,1,0,0,3,6,42,84,3,2,6158,1971,0,4,0,0,0,NORMAL,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0
8993,5,ring,1833,1,0,0,4,3,56,42,1,4,7160,1833,0,2,0,0,0,NORMAL,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
9300,2,ring,1968,1,0,0,3,7,42,98,2,2,7332,1968,0,3,0,0,0,LEADER,1,0,0,3,0,0,7,0,0,0,0,0,0,0,0
11084,3,ring,1971,1,0,0,3,7,42,98,3,2,9113,1971,0,4,0,0,0,NORMAL,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0
11726,2,ring,1968,1,0,0,3,7,42,98,2,2,9758,1968,0,3,0,0,0,LEADER,1,0,0,3,0,0,7,0,0,0,0,0,0,0,0
12031,4,ring,2518,1,0,0,4,7,56,98,2,4,9513,2518,0,3,0,0,0,LEADER,1,0,0,4,0,0,7,0,0,0,0,0,0,0,0
13510,1,ring,1880,1,0,0,4,3,56,42,2,2,11630,1880,0,3,0,0,0,NORMAL,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
