trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-line,5,2163,2420,2,5,true
2,adaptive-prasle-line,5,1931,2129,2,5,true
3,adaptive-prasle-line,5,1965,2209,2,5,true
4,adaptive-prasle-line,5,2227,2554,2,5,true
5,adaptive-prasle-line,5,2204,2086,2,5,true
6,adaptive-prasle-line,5,2866,1961,2,5,true
7,adaptive-prasle-line,5,2388,1780,2,5,true
8,adaptive-prasle-line,5,2457,1743,2,5,true
9,adaptive-prasle-line,5,2260,2731,2,5,true
10,adaptive-prasle-line,5,1563,2424,2,5,true
