timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
1429,11,ring,1429,1,0,0,1,0,14,0,1,11,0,1429,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1436,42,ring,1436,1,0,0,1,0,14,0,1,42,0,1436,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1551,40,ring,1551,1,0,0,1,0,14,0,1,40,0,1551,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1769,25,ring,1769,1,0,0,1,0,14,0,1,25,0,1769,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1484,20,ring,1484,1,0,0,1,0,14,0,1,20,0,1484,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1606,9,ring,1606,1,0,0,1,0,14,0,1,9,0,1606,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1621,17,ring,1621,1,0,0,1,0,14,0,1,17,0,1621,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1735,15,ring,1735,1,0,0,1,0,14,0,1,15,0,1735,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1566,8,ring,1566,1,0,0,1,0,14,0,1,8,0,1566,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1654,27,ring,1654,1,0,0,1,0,14,0,1,27,0,1654,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1721,47,ring,1721,1,0,0,1,0,14,0,1,47,0,1721,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1539,46,ring,1539,1,0,0,1,0,14,0,1,46,0,1539,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1993,41,ring,1993,1,0,0,1,0,14,0,1,41,0,1993,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1676,10,ring,1676,1,0,0,2,1,28,14,1,2,0,1676,0,2,0,0,0,NORMAL,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
1790,24,ring,1790,1,0,0,1,0,14,0,1,24,0,1790,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1839,2,ring,1839,1,0,0,1,1,14,14,1,2,0,1839,0,2,0,0,0,LEADER,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1845,21,ring,1845,1,0,0,1,0,14,0,1,21,0,1845,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1824,34,ring,1824,1,0,0,1,0,14,0,1,34,0,1824,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1877,49,ring,1877,1,0,0,1,0,14,0,1,49,0,1877,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1939,32,ring,1939,1,0,0,1,0,14,0,1,32,0,1939,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1687,37,ring,1687,1,0,0,1,0,14,0,1,37,0,1687,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1584,50,ring,1584,1,0,0,1,0,14,0,1,50,0,1584,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1873,12,ring,1873,1,0,0,2,1,28,14,1,2,0,1873,0,2,0,0,0,NORMAL,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
1517,30,ring,1517,1,0,0,1,0,14,0,1,30,0,1517,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2211,26,ring,2211,1,0,0,1,0,14,0,1,26,0,2211,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2178,16,ring,2178,1,0,0,1,1,14,14,1,8,0,2178,0,2,0,0,0,NORMAL,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1857,44,ring,1857,1,0,0,1,0,14,0,1,44,0,1857,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1599,18,ring,1599,1,0,0,1,0,14,0,1,18,0,1599,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1743,48,ring,1743,1,0,0,1,0,14,0,1,48,0,1743,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2075,29,ring,2075,1,0,0,1,0,14,0,1,29,0,2075,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1905,22,ring,1905,1,0,0,1,0,14,0,1,22,0,1905,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2130,38,ring,2130,1,0,0,1,0,14,0,1,38,0,2130,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2299,45,ring,2299,1,0,0,1,0,14,0,1,45,0,2299,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2245,36,ring,2245,1,0,0,1,0,14,0,1,36,0,2245,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1776,5,ring,1776,1,0,0,2,3,28,42,1,2,0,1776,0,2,0,0,0,NORMAL,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
2356,42,ring,1436,1,0,0,1,0,14,0,1,42,920,1436,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2471,40,ring,1551,1,0,0,1,0,14,0,1,40,920,1551,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2042,19,ring,2042,1,0,0,1,0,14,0,1,19,0,2042,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2689,25,ring,1769,1,0,0,1,0,14,0,1,25,920,1769,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2404,20,ring,1484,1,0,0,1,0,14,0,1,20,920,1484,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2108,39,ring,2108,1,0,0,1,0,14,0,1,39,0,2108,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2266,35,ring,2266,1,0,0,1,0,14,0,1,35,0,2266,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2541,17,ring,1621,1,0,0,1,0,14,0,1,17,920,1621,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2165,6,ring,2165,1,0,0,2,4,28,56,1,2,0,2165,0,2,0,0,0,NORMAL,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0
2351,3,ring,2351,1,0,0,1,2,14,28,1,2,0,2351,0,2,0,0,0,NORMAL,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2226,4,ring,2226,1,0,0,1,3,14,42,1,2,0,2226,0,2,0,0,0,NORMAL,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
2574,27,ring,1654,1,0,0,1,0,14,0,1,27,920,1654,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2163,31,ring,2163,1,0,0,1,0,14,0,1,31,0,2163,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2641,47,ring,1721,1,0,0,1,0,14,0,1,47,920,1721,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2459,46,ring,1539,1,0,0,1,0,14,0,1,46,920,1539,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2348,23,ring,2348,1,0,0,1,0,14,0,1,23,0,2348,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2913,41,ring,1993,1,0,0,1,0,14,0,1,41,920,1993,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2096,28,ring,2096,1,0,0,1,0,14,0,1,28,0,2096,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2710,24,ring,1790,1,0,0,1,0,14,0,1,24,920,1790,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2765,21,ring,1845,1,0,0,1,0,14,0,1,21,920,1845,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2393,1,ring,2393,1,0,0,1,3,14,42,1,1,0,2393,0,2,0,0,0,LEADER,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0
2744,34,ring,1824,1,0,0,1,0,14,0,1,34,920,1824,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2797,49,ring,1877,1,0,0,1,0,14,0,1,49,920,1877,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2289,7,ring,2289,1,0,0,2,3,28,42,1,2,0,2289,0,2,0,0,0,NORMAL,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
2859,32,ring,1939,1,0,0,1,0,14,0,1,32,920,1939,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2381,33,ring,2381,1,0,0,1,0,14,0,1,33,0,2381,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2607,37,ring,1687,1,0,0,1,0,14,0,1,37,920,1687,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2504,50,ring,1584,1,0,0,1,0,14,0,1,50,920,1584,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2314,13,ring,2314,1,0,0,1,2,14,28,1,2,0,2314,0,2,0,0,0,NORMAL,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2293,14,ring,2293,1,0,0,1,2,14,28,1,2,0,2293,0,2,0,0,0,NORMAL,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2437,30,ring,1517,1,0,0,1,0,14,0,1,30,920,1517,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3131,26,ring,2211,1,0,0,1,0,14,0,1,26,920,2211,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3098,16,ring,2178,1,0,0,1,1,14,14,1,8,920,2178,0,2,0,0,0,NORMAL,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2777,44,ring,1857,1,0,0,1,0,14,0,1,44,920,1857,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2414,43,ring,2414,1,0,0,1,0,14,0,1,43,0,2414,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2519,18,ring,1599,1,0,0,1,0,14,0,1,18,920,1599,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2663,48,ring,1743,1,0,0,1,0,14,0,1,48,920,1743,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2995,29,ring,2075,1,0,0,1,0,14,0,1,29,920,2075,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
