trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-mesh,10,2581,2002,5,10,true
2,adaptive-prasle-mesh,10,1947,2170,5,10,true
3,adaptive-prasle-mesh,10,2180,1640,5,10,true
4,adaptive-prasle-mesh,10,1988,2506,5,10,true
5,adaptive-prasle-mesh,10,2431,2300,5,10,true
6,adaptive-prasle-mesh,10,1905,2093,5,10,true
7,adaptive-prasle-mesh,10,1927,2087,5,10,true
8,adaptive-prasle-mesh,10,2127,1500,5,10,true
9,adaptive-prasle-mesh,10,2277,2417,5,10,true
10,adaptive-prasle-mesh,10,2340,2030,5,10,true
