trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-ring,50,1523,1585,25,50,true
2,adaptive-prasle-ring,50,1857,1611,25,50,true
3,adaptive-prasle-ring,50,1656,1678,25,50,true
4,adaptive-prasle-ring,50,1596,1690,25,50,true
5,adaptive-prasle-ring,50,1687,1617,25,50,true
6,adaptive-prasle-ring,50,1539,1598,25,50,true
7,adaptive-prasle-ring,50,1996,1571,25,50,true
8,adaptive-prasle-ring,50,1522,1722,25,50,true
9,adaptive-prasle-ring,50,1580,1598,25,50,true
10,adaptive-prasle-ring,50,1540,1619,25,50,true
