timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
2116,1,ring,2116,1,0,0,1,4,14,56,1,1,0,2116,0,2,0,0,0,LEADER,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0
2360,2,ring,2360,1,0,0,1,4,14,56,1,1,0,2360,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
2322,3,ring,2322,1,0,0,1,4,14,56,1,1,0,2322,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
1818,4,ring,1818,1,0,0,1,4,14,56,1,1,0,1818,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
2242,5,ring,2242,1,0,0,1,4,14,56,1,1,0,2242,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
3226,2,ring,2360,1,0,0,1,4,14,56,1,1,866,2360,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
3191,3,ring,2322,1,0,0,1,4,14,56,1,1,869,2322,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
2795,4,ring,1818,1,0,0,1,4,14,56,1,1,977,1818,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
3162,5,ring,2242,1,0,0,1,4,14,56,1,1,920,2242,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
3579,1,ring,2116,1,0,0,1,4,14,56,1,1,1463,2116,0,2,0,0,0,LEADER,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0
4092,2,ring,2360,1,0,0,1,4,14,56,1,1,1732,2360,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
4060,3,ring,2322,1,0,0,1,4,14,56,1,1,1738,2322,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
4083,5,ring,2242,1,0,0,2,6,28,84,1,1,1841,2242,0,2,0,0,0,NORMAL,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0
3773,4,ring,1818,1,0,0,2,6,28,84,1,1,1955,1818,0,2,0,0,0,NORMAL,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0
4941,2,ring,2360,1,0,0,2,9,28,126,2,2,2581,2360,0,3,0,0,0,LEADER,1,0,0,2,0,0,9,0,0,0,0,0,0,0,0
4943,3,ring,2322,1,0,0,2,9,28,126,2,2,2621,2322,0,3,0,0,0,NORMAL,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0
5051,1,ring,2116,1,0,0,2,9,28,126,1,1,2935,2116,0,2,0,0,0,LEADER,1,0,0,2,0,0,9,0,0,0,0,0,0,0,0
