trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle,10,2132,1838,5,10,true
2,adaptive-prasle,10,2012,2236,5,10,true
3,adaptive-prasle,10,2473,2008,5,10,true
4,adaptive-prasle,10,1926,2098,5,10,true
5,adaptive-prasle,10,1538,2167,5,10,true
6,adaptive-prasle,10,1893,2175,5,10,true
7,adaptive-prasle,10,2090,2316,5,10,true
8,adaptive-prasle,10,1777,1715,5,10,true
9,adaptive-prasle,10,1990,2019,5,10,true
10,adaptive-prasle,10,1923,1690,5,10,true
