timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
10127,71,ring,8171,5,2,4045,122,2253,976,18024,7,87,849,5152,4000,13,2,0,2,ELECTION,0,0,0,5,116,1,131,2101,19,0,0,0,13,0,0
10179,84,ring,8210,5,1,95,132,2262,1056,18096,4,87,761,5240,4000,10,1,0,2,ELECTION,0,0,0,5,127,0,133,2108,19,0,0,0,15,0,0
10045,44,ring,7332,6,1,17,98,2261,784,18088,15,66,2447,3554,4000,22,1,0,2,NORMAL,0,0,0,6,92,0,135,2105,19,0,0,0,4,0,0
10263,29,ring,7484,4,1,28,58,2268,464,18144,17,66,2681,3320,4000,22,1,0,2,NORMAL,0,0,0,4,54,0,136,2111,19,0,0,0,2,0,0
10447,43,ring,7512,6,2,54,98,2310,784,18480,17,67,2669,3272,4059,25,1,0,2,NORMAL,0,0,0,6,92,0,142,2145,21,0,0,0,4,0,0
10030,76,ring,7793,6,2,217,138,2281,1104,18248,4,87,761,2414,6826,12,1,0,2,ELECTION,0,0,0,6,132,0,141,2117,21,0,0,0,17,0,0
10451,78,ring,8137,6,2,253,145,2331,1160,18648,6,80,799,2489,6713,14,1,0,2,NORMAL,0,0,0,6,139,0,148,2158,23,0,0,0,17,0,0
10604,100,ring,4603,2,1,4001,245,2356,1960,18848,1,100,2910,7092,0,3,1,3,2,ELECTION,0,0,0,2,149,91,149,2183,22,0,0,0,22,90,0
10233,93,ring,8281,5,2,2149,149,2333,1192,18664,2,94,262,4981,4758,9,1,0,2,ELECTION,0,0,0,5,144,0,146,2162,23,0,0,0,21,0,0
10399,19,ring,7296,2,2,139,37,2341,296,18728,24,80,3103,139,6758,28,1,0,2,NORMAL,0,0,0,2,35,0,148,2168,23,0,0,0,0,0,1
10536,23,ring,7384,3,2,180,44,2352,352,18816,23,80,3119,213,6669,28,1,0,2,NORMAL,0,0,0,3,41,0,150,2177,23,0,0,0,1,0,1
10684,31,ring,7472,4,3,336,65,2359,520,18872,22,80,3122,369,6510,29,1,0,2,NORMAL,0,0,0,4,61,0,152,2182,23,0,0,0,2,0,1
10205,83,ring,4205,5,1,4001,177,2334,1416,18672,5,87,3514,6487,0,10,1,1,2,ELECTION,0,0,0,5,143,28,151,2158,23,0,0,0,19,27,0
10384,58,ring,7117,9,6,640,129,2352,1032,18816,14,62,2252,858,6890,30,1,0,3,NORMAL,0,0,0,9,120,0,151,2174,24,0,0,0,9,0,0
10181,41,ring,6861,6,2,990,91,2318,728,18544,21,87,3054,2934,4012,29,1,0,4,NORMAL,0,0,0,6,85,0,148,2142,24,0,0,0,4,0,1
10855,47,ring,7502,4,1,3447,106,2395,848,19160,20,87,3079,3721,3201,25,0,0,4,NORMAL,0,0,0,4,102,0,158,2209,24,0,0,0,5,0,1
10314,81,ring,4314,6,2,4827,180,2359,1440,18872,5,87,3401,6449,150,12,1,1,4,ELECTION,0,0,0,6,145,28,154,2178,23,0,0,0,19,27,0
10669,63,ring,8002,9,3,3001,145,2398,1160,19184,12,87,2133,3568,4300,24,1,0,4,NORMAL,0,0,0,9,136,0,158,2212,24,0,0,0,13,0,1
10196,9,ring,6775,2,2,747,18,2336,144,18688,26,87,3421,747,5832,30,1,0,4,NORMAL,0,0,0,2,16,0,151,2157,24,0,0,0,0,0,2
10506,87,ring,4506,5,2,4565,188,2391,1504,19128,3,94,3103,6662,236,9,1,1,3,ELECTION,0,0,0,5,150,32,156,2210,22,0,0,0,20,31,0
10925,13,ring,7494,2,2,324,26,2425,208,19400,26,87,3431,324,6245,30,1,0,4,NORMAL,0,0,0,2,24,0,159,2238,24,0,0,0,0,0,2
