trial,algorithm,node_count,convergence_time_ms
2,adaptive-prasle-line,100,1573
5,adaptive-prasle-line,100,1528
3,adaptive-prasle-line,100,1580
9,adaptive-prasle-line,100,1595
1,adaptive-prasle-line,100,1492
6,adaptive-prasle-line,100,1493
4,adaptive-prasle-line,100,1478
7,adaptive-prasle-line,100,1619
11,adaptive-prasle-line,100,1470
10,adaptive-prasle-line,100,1523
8,adaptive-prasle-line,100,1529
14,adaptive-prasle-line,100,1532
13,adaptive-prasle-line,100,1538
12,adaptive-prasle-line,100,1596
15,adaptive-prasle-line,100,1589
16,adaptive-prasle-line,100,1615
17,adaptive-prasle-line,100,1438
19,adaptive-prasle-line,100,1607
20,adaptive-prasle-line,100,1484
18,adaptive-prasle-line,100,1446
21,adaptive-prasle-line,100,1604
22,adaptive-prasle-line,100,1452
23,adaptive-prasle-line,100,1613
24,adaptive-prasle-line,100,1462
25,adaptive-prasle-line,100,1485
27,adaptive-prasle-line,100,1494
28,adaptive-prasle-line,100,1495
26,adaptive-prasle-line,100,1470
29,adaptive-prasle-line,100,1565
33,adaptive-prasle-line,100,1570
30,adaptive-prasle-line,100,1497
34,adaptive-prasle-line,100,1514
32,adaptive-prasle-line,100,1630
31,adaptive-prasle-line,100,1620
35,adaptive-prasle-line,100,1625
37,adaptive-prasle-line,100,1448
36,adaptive-prasle-line,100,1524
38,adaptive-prasle-line,100,1519
39,adaptive-prasle-line,100,1594
40,adaptive-prasle-line,100,1556
42,adaptive-prasle-line,100,1531
41,adaptive-prasle-line,100,1612
43,adaptive-prasle-line,100,1476
44,adaptive-prasle-line,100,1588
45,adaptive-prasle-line,100,1633
46,adaptive-prasle-line,100,1549
47,adaptive-prasle-line,100,1651
48,adaptive-prasle-line,100,1527
50,adaptive-prasle-line,100,1545
53,adaptive-prasle-line,100,1443
51,adaptive-prasle-line,100,1445
49,adaptive-prasle-line,100,1457
52,adaptive-prasle-line,100,1482
54,adaptive-prasle-line,100,1532
55,adaptive-prasle-line,100,1777
56,adaptive-prasle-line,100,1527
57,adaptive-prasle-line,100,1516
59,adaptive-prasle-line,100,1494
58,adaptive-prasle-line,100,1530
61,adaptive-prasle-line,100,1616
60,adaptive-prasle-line,100,1543
62,adaptive-prasle-line,100,1470
63,adaptive-prasle-line,100,1616
65,adaptive-prasle-line,100,1499
66,adaptive-prasle-line,100,1567
68,adaptive-prasle-line,100,1568
67,adaptive-prasle-line,100,1621
64,adaptive-prasle-line,100,1629
70,adaptive-prasle-line,100,1500
69,adaptive-prasle-line,100,1576
71,adaptive-prasle-line,100,1566
72,adaptive-prasle-line,100,1470
73,adaptive-prasle-line,100,1461
74,adaptive-prasle-line,100,1520
75,adaptive-prasle-line,100,1516
76,adaptive-prasle-line,100,1704
79,adaptive-prasle-line,100,1602
77,adaptive-prasle-line,100,1575
81,adaptive-prasle-line,100,1530
80,adaptive-prasle-line,100,1581
84,adaptive-prasle-line,100,1487
83,adaptive-prasle-line,100,1550
78,adaptive-prasle-line,100,1745
82,adaptive-prasle-line,100,1487
85,adaptive-prasle-line,100,1624
87,adaptive-prasle-line,100,1435
86,adaptive-prasle-line,100,1610
88,adaptive-prasle-line,100,1489
90,adaptive-prasle-line,100,1624
91,adaptive-prasle-line,100,1516
93,adaptive-prasle-line,100,1495
92,adaptive-prasle-line,100,1526
89,adaptive-prasle-line,100,1517
97,adaptive-prasle-line,100,1468
96,adaptive-prasle-line,100,1477
98,adaptive-prasle-line,100,1437
94,adaptive-prasle-line,100,1628
95,adaptive-prasle-line,100,1524
99,adaptive-prasle-line,100,1559
100,adaptive-prasle-line,100,1667
