trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-line,100,1506,1569,50,100,true
2,adaptive-prasle-line,100,1624,1626,50,100,true
3,adaptive-prasle-line,100,1539,1628,50,100,true
4,adaptive-prasle-line,100,1749,1506,50,100,true
5,adaptive-prasle-line,100,1645,1596,50,100,true
6,adaptive-prasle-line,100,1556,1539,50,100,true
7,adaptive-prasle-line,100,1650,1655,50,100,true
8,adaptive-prasle-line,100,1661,1479,50,100,true
9,adaptive-prasle-line,100,1700,1817,50,100,true
10,adaptive-prasle-line,100,1585,1577,50,100,true
11,adaptive-prasle-line,100,1535,1731,50,100,true
12,adaptive-prasle-line,100,1583,1725,50,100,true
13,adaptive-prasle-line,100,1673,1508,50,100,true
14,adaptive-prasle-line,100,1645,1711,50,100,true
15,adaptive-prasle-line,100,1609,1635,50,100,true
16,adaptive-prasle-line,100,1652,1562,50,100,true
17,adaptive-prasle-line,100,1507,1442,50,100,true
18,adaptive-prasle-line,100,1803,1502,50,100,true
19,adaptive-prasle-line,100,1637,1679,50,100,true
20,adaptive-prasle-line,100,1590,1577,50,100,true
21,adaptive-prasle-line,100,1610,1525,50,100,true
22,adaptive-prasle-line,100,1561,1442,50,100,true
23,adaptive-prasle-line,100,1568,1590,50,100,true
24,adaptive-prasle-line,100,1507,1651,50,100,true
25,adaptive-prasle-line,100,1775,1673,50,100,true
26,adaptive-prasle-line,100,1481,1711,50,100,true
27,adaptive-prasle-line,100,1455,1607,50,100,true
28,adaptive-prasle-line,100,1546,1600,50,100,true
29,adaptive-prasle-line,100,1772,1537,50,100,true
30,adaptive-prasle-line,100,1751,1605,50,100,true
31,adaptive-prasle-line,100,1635,1599,50,100,true
32,adaptive-prasle-line,100,1644,1567,50,100,true
33,adaptive-prasle-line,100,1505,1723,50,100,true
34,adaptive-prasle-line,100,1744,1535,50,100,true
35,adaptive-prasle-line,100,1730,1541,50,100,true
36,adaptive-prasle-line,100,1757,1543,50,100,true
37,adaptive-prasle-line,100,1480,1613,50,100,true
38,adaptive-prasle-line,100,1440,1549,50,100,true
39,adaptive-prasle-line,100,1541,1727,50,100,true
40,adaptive-prasle-line,100,1636,1799,50,100,true
41,adaptive-prasle-line,100,1488,1493,50,100,true
42,adaptive-prasle-line,100,1503,1619,50,100,true
43,adaptive-prasle-line,100,1652,1665,50,100,true
44,adaptive-prasle-line,100,1590,1542,50,100,true
45,adaptive-prasle-line,100,1638,1606,50,100,true
46,adaptive-prasle-line,100,1717,1590,50,100,true
47,adaptive-prasle-line,100,1470,1541,50,100,true
48,adaptive-prasle-line,100,1764,1608,50,100,true
49,adaptive-prasle-line,100,1786,1771,50,100,true
50,adaptive-prasle-line,100,1482,1526,50,100,true
51,adaptive-prasle-line,100,1577,1659,50,100,true
52,adaptive-prasle-line,100,1572,1621,50,100,true
53,adaptive-prasle-line,100,1589,1653,50,100,true
54,adaptive-prasle-line,100,1512,1653,50,100,true
55,adaptive-prasle-line,100,1735,1624,50,100,true
56,adaptive-prasle-line,100,1727,1682,50,100,true
57,adaptive-prasle-line,100,1637,1435,50,100,true
58,adaptive-prasle-line,100,1529,1690,50,100,true
59,adaptive-prasle-line,100,1580,1636,50,100,true
60,adaptive-prasle-line,100,1488,1453,50,100,true
61,adaptive-prasle-line,100,1719,1563,50,100,true
62,adaptive-prasle-line,100,1966,1582,50,100,true
63,adaptive-prasle-line,100,1634,1596,50,100,true
64,adaptive-prasle-line,100,1545,1759,50,100,true
65,adaptive-prasle-line,100,1600,1570,50,100,true
66,adaptive-prasle-line,100,1566,1738,50,100,true
67,adaptive-prasle-line,100,1814,1501,50,100,true
68,adaptive-prasle-line,100,1815,1616,50,100,true
69,adaptive-prasle-line,100,1641,1630,50,100,true
70,adaptive-prasle-line,100,1631,1562,50,100,true
71,adaptive-prasle-line,100,1657,1487,50,100,true
72,adaptive-prasle-line,100,1522,1528,50,100,true
73,adaptive-prasle-line,100,1630,1510,50,100,true
74,adaptive-prasle-line,100,1615,1572,50,100,true
75,adaptive-prasle-line,100,1556,1611,50,100,true
76,adaptive-prasle-line,100,1471,1525,50,100,true
77,adaptive-prasle-line,100,1622,1446,50,100,true
78,adaptive-prasle-line,100,1734,1500,50,100,true
79,adaptive-prasle-line,100,1651,1721,50,100,true
80,adaptive-prasle-line,100,1585,1445,50,100,true
81,adaptive-prasle-line,100,1702,1560,50,100,true
82,adaptive-prasle-line,100,1469,1557,50,100,true
83,adaptive-prasle-line,100,1492,1539,50,100,true
84,adaptive-prasle-line,100,1602,1679,50,100,true
85,adaptive-prasle-line,100,1498,1562,50,100,true
86,adaptive-prasle-line,100,1662,1556,50,100,true
87,adaptive-prasle-line,100,1721,1541,50,100,true
88,adaptive-prasle-line,100,1440,1575,50,100,true
89,adaptive-prasle-line,100,1661,1481,50,100,true
90,adaptive-prasle-line,100,1584,1677,50,100,true
91,adaptive-prasle-line,100,1544,1677,50,100,true
92,adaptive-prasle-line,100,1434,1606,50,100,true
93,adaptive-prasle-line,100,1745,1654,50,100,true
94,adaptive-prasle-line,100,1617,1520,50,100,true
95,adaptive-prasle-line,100,1563,1627,50,100,true
96,adaptive-prasle-line,100,1763,1566,50,100,true
97,adaptive-prasle-line,100,1814,1525,50,100,true
98,adaptive-prasle-line,100,1464,1737,50,100,true
99,adaptive-prasle-line,100,1501,1551,50,100,true
100,adaptive-prasle-line,100,1587,1463,50,100,true
