timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,rounds_completed,current_round,min_value,value_updates,broadcasts
1846,4,adaptive-prasle,1846,1,0,0,1,0,14,0,1,4,0,1846,0,2,0,0,0,LEADER,1,0,0,0,0,1
1961,2,adaptive-prasle,1961,1,0,0,1,0,14,0,1,2,0,1961,0,2,0,0,0,LEADER,1,0,0,0,0,1
2281,5,adaptive-prasle,2281,1,0,0,2,2,28,28,1,1,0,2281,0,2,0,0,0,NORMAL,0,0,0,0,0,2
2352,3,adaptive-prasle,2352,1,0,0,2,3,28,42,1,1,0,2352,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1982,1,adaptive-prasle,1982,1,0,0,1,4,14,56,1,1,0,1982,0,2,0,0,0,LEADER,1,0,0,0,0,1
3194,3,adaptive-prasle,2352,1,0,0,2,4,28,56,1,1,842,2352,0,2,0,0,0,NORMAL,0,0,0,0,0,2
3177,5,adaptive-prasle,2281,1,0,0,2,3,28,42,1,1,896,2281,0,2,0,0,0,NORMAL,0,0,0,0,0,2
2902,1,adaptive-prasle,1982,1,0,0,1,4,14,56,1,1,920,1982,0,2,0,0,0,LEADER,1,0,0,0,0,1
3822,1,adaptive-prasle,1982,1,0,0,1,4,14,56,1,1,1840,1982,0,2,0,0,0,LEADER,1,0,0,0,0,1
4734,2,adaptive-prasle,1961,1,0,0,2,3,28,42,1,2,2773,1961,0,2,0,0,0,LEADER,1,0,0,0,0,2
4987,4,adaptive-prasle,1846,1,0,0,2,4,28,56,1,4,3141,1846,0,2,0,0,0,LEADER,1,0,0,0,0,2
5043,1,adaptive-prasle,1982,1,0,0,2,6,28,84,1,1,3061,1982,0,3,0,0,0,LEADER,1,0,0,0,0,2
6863,1,adaptive-prasle,1982,1,0,0,2,6,28,84,1,1,4881,1982,0,3,0,0,0,LEADER,1,0,0,0,0,2
8030,3,adaptive-prasle,2352,1,0,0,3,6,42,84,1,1,5678,2352,0,2,0,0,0,NORMAL,0,0,0,0,0,3
9030,2,adaptive-prasle,1961,1,0,0,3,5,42,70,1,2,7069,1961,0,2,0,0,0,LEADER,1,0,0,0,0,3
9015,5,adaptive-prasle,2281,1,0,0,3,5,42,70,1,1,6734,2281,0,2,0,0,0,NORMAL,0,0,0,0,0,3
8683,1,adaptive-prasle,1982,1,0,0,2,6,28,84,1,1,6701,1982,0,3,0,0,0,LEADER,1,0,0,0,0,2
10504,1,adaptive-prasle,1982,1,0,0,3,7,42,98,1,1,8522,1982,0,4,0,0,0,LEADER,1,0,0,0,0,3
12282,4,adaptive-prasle,1846,1,0,0,3,9,42,126,1,4,10436,1846,0,2,0,0,0,LEADER,1,0,0,0,0,3
13657,3,adaptive-prasle,2352,1,0,0,5,7,70,98,1,1,11305,2352,0,3,0,0,0,NORMAL,0,0,0,0,0,5
15137,2,adaptive-prasle,1961,1,0,0,4,8,56,112,2,1,13176,1961,0,3,0,0,0,NORMAL,0,0,0,0,0,4
15372,1,adaptive-prasle,1982,1,0,0,3,8,42,112,1,1,13390,1982,0,4,0,0,0,LEADER,1,0,0,0,0,3
16492,5,adaptive-prasle,2281,1,0,0,5,7,70,98,2,4,14211,2281,0,3,0,0,0,NORMAL,0,0,0,0,0,5
20241,1,adaptive-prasle,1982,1,0,0,4,10,56,140,1,1,18259,1982,0,4,0,0,0,LEADER,1,0,0,0,0,4
21315,4,adaptive-prasle,1846,1,0,0,4,11,56,154,1,4,19469,1846,0,3,0,0,0,LEADER,1,0,0,0,0,4
21380,2,adaptive-prasle,1961,1,0,0,5,10,70,140,2,1,19419,1961,0,3,0,0,0,NORMAL,0,0,0,0,0,5
25110,1,adaptive-prasle,1982,1,0,0,5,10,70,140,1,1,23128,1982,0,5,0,0,0,LEADER,1,0,0,0,0,5
25909,3,adaptive-prasle,2352,1,0,0,6,9,84,126,1,1,23557,2352,0,3,0,0,0,NORMAL,0,0,0,0,0,6
27634,2,adaptive-prasle,1961,1,0,0,5,11,70,154,2,1,25673,1961,0,3,0,0,0,NORMAL,0,0,0,0,0,5
29978,1,adaptive-prasle,1982,1,0,0,5,11,70,154,1,1,27996,1982,0,5,0,0,0,LEADER,1,0,0,0,0,5
30868,5,adaptive-prasle,2281,1,0,0,5,9,70,126,2,4,28587,2281,0,3,0,0,0,NORMAL,0,0,0,0,0,5
32345,4,adaptive-prasle,1846,1,0,0,4,11,56,154,1,4,30499,1846,0,3,0,0,0,LEADER,1,0,0,0,0,4
33889,2,adaptive-prasle,1961,1,0,0,6,11,84,154,3,2,31928,1961,0,4,0,0,0,LEADER,1,0,0,0,0,6
40143,2,adaptive-prasle,1961,1,0,0,6,11,84,154,3,2,38182,1961,0,4,0,0,0,LEADER,1,0,0,0,0,6
40257,3,adaptive-prasle,2352,1,0,0,6,10,84,140,1,1,37905,2352,0,3,0,0,0,NORMAL,0,0,0,0,0,6
43375,4,adaptive-prasle,1846,1,0,0,4,11,56,154,1,4,41529,1846,0,3,0,0,0,LEADER,1,0,0,0,0,4
44832,5,adaptive-prasle,2281,1,0,0,5,9,70,126,2,4,42551,2281,0,3,0,0,0,NORMAL,0,0,0,0,0,5
45178,1,adaptive-prasle,1982,1,0,0,5,11,70,154,1,1,43196,1982,0,5,0,0,0,LEADER,1,0,0,0,0,5
46397,2,adaptive-prasle,1961,1,0,0,6,12,84,168,3,2,44436,1961,0,4,0,0,0,LEADER,1,0,0,0,0,6
54845,3,adaptive-prasle,2352,1,0,0,8,12,112,168,1,1,52493,2352,0,4,0,0,0,NORMAL,0,0,0,0,0,8
