timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,rounds_completed,current_round,min_value,value_updates,broadcasts
1450,17,adaptive-prasle,1450,1,0,0,1,0,14,0,1,17,0,1450,0,2,0,0,0,LEADER,1,0,0,0,0,1
1573,46,adaptive-prasle,1573,1,0,0,2,2,28,28,1,2,0,1573,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1436,49,adaptive-prasle,1436,1,0,0,2,3,28,42,1,2,0,1436,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1483,27,adaptive-prasle,1483,1,0,0,2,3,28,42,1,2,0,1483,0,2,0,0,0,NORMAL,0,0,0,0,0,2
2011,25,adaptive-prasle,2011,1,0,0,2,4,28,56,1,2,0,2011,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1613,14,adaptive-prasle,1613,1,0,0,2,4,28,56,1,2,0,1613,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1908,19,adaptive-prasle,1908,1,0,0,2,4,28,56,1,2,0,1908,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1776,15,adaptive-prasle,1776,1,0,0,2,4,28,56,1,2,0,1776,0,2,0,0,0,NORMAL,0,0,0,0,0,2
2007,31,adaptive-prasle,2007,1,0,0,2,4,28,56,1,2,0,2007,0,2,0,0,0,NORMAL,0,0,0,0,0,2
2126,28,adaptive-prasle,2126,1,0,0,2,5,28,70,1,2,0,2126,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1904,37,adaptive-prasle,1904,1,0,0,2,5,28,70,1,2,0,1904,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1864,11,adaptive-prasle,1864,1,0,0,2,5,28,70,1,2,0,1864,0,2,0,0,0,NORMAL,0,0,0,0,0,2
2159,38,adaptive-prasle,2159,1,0,0,2,5,28,70,1,2,0,2159,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1979,16,adaptive-prasle,1979,1,0,0,1,5,14,70,1,2,0,1979,0,2,0,0,0,NORMAL,0,0,0,0,0,1
2039,24,adaptive-prasle,2039,1,0,0,2,5,28,70,1,2,0,2039,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1714,2,adaptive-prasle,1714,1,0,0,1,5,14,70,1,2,0,1714,0,2,0,0,0,LEADER,1,0,0,0,0,1
1532,47,adaptive-prasle,1532,1,0,0,1,5,14,70,1,2,0,1532,0,2,0,0,0,NORMAL,0,0,0,0,0,1
1511,4,adaptive-prasle,1511,1,0,0,1,5,14,70,1,2,0,1511,0,2,0,0,0,NORMAL,0,0,0,0,0,1
1777,22,adaptive-prasle,1777,1,0,0,1,5,14,70,1,2,0,1777,0,2,0,0,0,NORMAL,0,0,0,0,0,1
2062,12,adaptive-prasle,2062,1,0,0,2,5,28,70,1,2,0,2062,0,2,0,0,0,NORMAL,0,0,0,0,0,2
2018,18,adaptive-prasle,2018,1,0,0,2,5,28,70,1,2,0,2018,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1966,6,adaptive-prasle,1966,1,0,0,1,5,14,70,1,2,0,1966,0,2,0,0,0,NORMAL,0,0,0,0,0,1
1815,9,adaptive-prasle,1815,1,0,0,2,7,28,98,1,1,0,1815,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1690,44,adaptive-prasle,1690,1,0,0,2,7,28,98,1,1,0,1690,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1973,29,adaptive-prasle,1973,1,0,0,2,7,28,98,1,1,0,1973,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1892,41,adaptive-prasle,1892,1,0,0,2,7,28,98,1,1,0,1892,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1906,21,adaptive-prasle,1906,1,0,0,2,8,28,112,1,1,0,1906,0,2,0,0,0,NORMAL,0,0,0,0,0,2
2365,10,adaptive-prasle,2365,1,0,0,2,11,28,154,1,1,0,2365,0,2,0,0,0,NORMAL,0,0,0,0,0,2
2094,35,adaptive-prasle,2094,1,0,0,2,11,28,154,1,1,0,2094,0,2,0,0,0,NORMAL,0,0,0,0,0,2
1754,34,adaptive-prasle,1754,1,0,0,2,11,28,154,1,1,0,1754,0,2,0,0,0,NORMAL,0,0,0,0,0,2
