timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
1521,3,bully,1521,1,0,0,2,3,28,42,1,1,0,1521,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
1601,1,bully,1601,1,0,0,1,5,14,70,1,1,0,1601,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0
1882,5,bully,1882,1,0,0,1,5,14,70,1,1,0,1882,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
1969,2,bully,1969,1,0,0,1,5,14,70,1,1,0,1969,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
2414,4,bully,2414,1,0,0,1,5,14,70,1,1,0,2414,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
2596,1,bully,1601,1,0,0,1,5,14,70,1,1,995,1601,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0
2877,5,bully,1882,1,0,0,1,5,14,70,1,1,995,1882,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
2817,2,bully,1969,1,0,0,1,5,14,70,1,1,848,1969,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
3334,4,bully,2414,1,0,0,1,5,14,70,1,1,920,2414,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
3591,1,bully,1601,1,0,0,1,5,14,70,1,1,1990,1601,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0
3872,5,bully,1882,1,0,0,1,5,14,70,1,1,1990,1882,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
3695,3,bully,1521,1,0,0,2,4,28,56,1,1,2174,1521,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
3665,2,bully,1969,1,0,0,1,5,14,70,1,1,1696,1969,0,2,0,0,0,NORMAL,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
4255,4,bully,2414,1,0,0,2,8,28,112,1,1,1841,2414,0,2,0,0,0,NORMAL,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0
4472,2,bully,1969,1,0,0,2,10,28,140,1,1,2503,1969,0,3,0,0,0,NORMAL,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
4932,5,bully,1882,1,0,0,3,9,42,126,1,1,3050,1882,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0
4661,1,bully,1601,1,0,0,2,10,28,140,1,1,3060,1601,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,10,0,0,0,0,0,0,0
5257,2,bully,1969,1,0,0,2,10,28,140,1,1,3288,1969,0,3,0,0,0,NORMAL,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
6005,5,bully,1882,1,0,0,3,9,42,126,1,1,4123,1882,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0
5767,1,bully,1601,1,0,0,2,10,28,140,1,1,4166,1601,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,10,0,0,0,0,0,0,0
5900,3,bully,1521,1,0,0,3,9,42,126,1,1,4379,1521,0,2,0,0,0,NORMAL,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0
6042,2,bully,1969,1,0,0,2,10,28,140,1,1,4073,1969,0,3,0,0,0,NORMAL,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
7078,5,bully,1882,1,0,0,3,11,42,154,1,1,5196,1882,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0
6873,1,bully,1601,1,0,0,2,12,28,168,1,1,5272,1601,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,12,0,0,0,0,0,0,0
6954,2,bully,1969,1,0,0,3,11,42,154,2,2,4985,1969,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,11,0,0,0,0,0,0,0
8077,5,bully,1882,1,0,0,5,15,70,210,1,1,6195,1882,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0
7975,1,bully,1601,1,0,0,3,17,42,238,1,1,6374,1601,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,17,0,0,0,0,0,0,0
8086,2,bully,1969,1,0,0,4,16,56,224,2,2,6117,1969,0,4,0,0,0,LEADER,1,0,0,4,0,0,0,16,0,0,0,0,0,0,0
8531,3,bully,1521,1,0,0,5,15,70,210,1,1,7010,1521,0,3,0,0,0,NORMAL,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0
9036,5,bully,1882,1,0,0,5,15,70,210,1,1,7154,1882,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0
9066,1,bully,1601,1,0,0,3,17,42,238,1,1,7465,1601,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,17,0,0,0,0,0,0,0
9153,2,bully,1969,1,0,0,4,16,56,224,2,2,7184,1969,0,4,0,0,0,LEADER,1,0,0,4,0,0,0,16,0,0,0,0,0,0,0
9995,5,bully,1882,1,0,0,5,16,70,224,1,1,8113,1882,0,4,0,0,0,NORMAL,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0
10157,1,bully,1601,1,0,0,3,18,42,252,1,1,8556,1601,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,18,0,0,0,0,0,0,0
10221,2,bully,1969,1,0,0,5,16,70,224,2,2,8252,1969,0,5,0,0,0,LEADER,1,0,0,5,0,0,0,16,0,0,0,0,0,0,0
11303,1,bully,1601,1,0,0,4,19,56,266,1,1,9702,1601,0,5,0,0,0,LEADER,1,0,0,4,0,0,0,19,0,0,0,0,0,0,0
11980,3,bully,1521,1,0,0,5,18,70,252,1,1,10459,1521,0,3,0,0,0,NORMAL,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0
12616,4,bully,2414,1,0,0,3,20,42,280,1,1,10202,2414,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,20,0,0,0,0,0,0,0
12556,1,bully,1601,1,0,0,4,19,56,266,1,1,10955,1601,0,5,0,0,0,LEADER,1,0,0,4,0,0,0,19,0,0,0,0,0,0,0
13489,2,bully,1969,1,0,0,6,18,84,252,2,2,11520,1969,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,18,0,0,0,0,0,0,0
13809,1,bully,1601,1,0,0,4,20,56,280,1,1,12208,1601,0,5,0,0,0,LEADER,1,0,0,4,0,0,0,20,0,0,0,0,0,0,0
15063,1,bully,1601,1,0,0,5,20,70,280,1,1,13462,1601,0,6,0,0,0,LEADER,1,0,0,5,0,0,0,20,0,0,0,0,0,0,0
15429,3,bully,1521,1,0,0,5,20,70,280,1,1,13908,1521,0,3,0,0,0,NORMAL,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0
16316,1,bully,1601,1,0,0,5,20,70,280,1,1,14715,1601,0,6,0,0,0,LEADER,1,0,0,5,0,0,0,20,0,0,0,0,0,0,0
18879,3,bully,1521,1,0,0,6,20,84,280,2,3,17358,1521,0,4,0,0,0,LEADER,1,0,0,6,0,0,0,20,0,0,0,0,0,0,0
19952,5,bully,1882,1,0,0,6,20,84,280,1,1,18070,1882,0,5,0,0,0,NORMAL,0,0,0,6,0,0,0,20,0,0,0,0,0,0,0
20106,4,bully,2414,1,0,0,3,23,42,322,1,1,17692,2414,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0
22328,3,bully,1521,1,0,0,6,20,84,280,2,3,20807,1521,0,4,0,0,0,LEADER,1,0,0,6,0,0,0,20,0,0,0,0,0,0,0
23395,1,bully,1601,1,0,0,5,21,70,294,1,1,21794,1601,0,6,0,0,0,LEADER,1,0,0,5,0,0,0,21,0,0,0,0,0,0,0
24390,2,bully,1969,1,0,0,6,20,84,280,2,2,22421,1969,0,5,0,0,0,LEADER,1,0,0,6,0,0,0,20,0,0,0,0,0,0,0
25777,3,bully,1521,1,0,0,6,20,84,280,2,3,24256,1521,0,4,0,0,0,LEADER,1,0,0,6,0,0,0,20,0,0,0,0,0,0,0
27596,4,bully,2414,1,0,0,3,25,42,350,1,1,25182,2414,0,3,0,0,0,NORMAL,0,0,0,3,0,0,0,25,0,0,0,0,0,0,0
32008,5,bully,1882,1,0,0,6,24,84,336,1,1,30126,1882,0,5,0,0,0,NORMAL,0,0,0,6,0,0,0,24,0,0,0,0,0,0,0
32892,1,bully,1601,1,0,0,6,24,84,336,1,1,31291,1601,0,7,0,0,0,LEADER,1,0,0,6,0,0,0,24,0,0,0,0,0,0,0
35087,4,bully,2414,1,0,0,4,26,56,364,1,1,32673,2414,0,4,0,0,0,NORMAL,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0
36316,2,bully,1969,1,0,0,7,23,98,322,3,1,34347,1969,0,6,0,0,0,NORMAL,0,0,0,7,0,0,0,23,0,0,0,0,0,0,0
37061,3,bully,1521,1,0,0,7,23,98,322,3,1,35540,1521,0,5,0,0,0,NORMAL,0,0,0,7,0,0,0,23,0,0,0,0,0,0,0
41396,1,bully,1601,1,0,0,6,24,84,336,1,1,39795,1601,0,7,0,0,0,LEADER,1,0,0,6,0,0,0,24,0,0,0,0,0,0,0
42577,4,bully,2414,1,0,0,4,26,56,364,1,1,40163,2414,0,4,0,0,0,NORMAL,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0
44064,5,bully,1882,1,0,0,6,24,84,336,1,1,42182,1882,0,5,0,0,0,NORMAL,0,0,0,6,0,0,0,24,0,0,0,0,0,0,0
50067,4,bully,2414,1,0,0,4,27,56,378,1,1,47653,2414,0,4,0,0,0,NORMAL,0,0,0,4,0,0,0,27,0,0,0,0,0,0,0
49900,1,bully,1601,1,0,0,6,25,84,350,1,1,48299,1601,0,7,0,0,0,LEADER,1,0,0,6,0,0,0,25,0,0,0,0,0,0,0
50289,2,bully,1969,1,0,0,7,24,98,336,3,1,48320,1969,0,6,0,0,0,NORMAL,0,0,0,7,0,0,0,24,0,0,0,0,0,0,0
52261,3,bully,1521,1,0,0,7,24,98,336,3,1,50740,1521,0,5,0,0,0,NORMAL,0,0,0,7,0,0,0,24,0,0,0,0,0,0,0
56122,5,bully,1882,1,0,0,8,26,112,364,1,1,54240,1882,0,6,0,0,0,NORMAL,0,0,0,8,0,0,0,26,0,0,0,0,0,0,0
