trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle,50,1984,1900,25,50,true
2,adaptive-prasle,50,1574,1536,25,50,true
3,adaptive-prasle,50,1838,1800,25,50,true
4,adaptive-prasle,50,1817,1881,25,50,true
5,adaptive-prasle,50,1843,1603,25,50,true
6,adaptive-prasle,50,1718,1542,25,50,true
7,adaptive-prasle,50,1789,1690,25,50,true
8,adaptive-prasle,50,1753,1667,25,50,true
9,adaptive-prasle,50,1811,1915,25,50,true
10,adaptive-prasle,50,1739,1745,25,50,true
