timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,elections_won,elections_lost,msg_election_sent,msg_answer_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_answer_recv,msg_coordinator_recv,msg_alive_recv,duplicates_filtered,invalid_coordinators,coordinator_reannouncements,alive_adoptions
10766,8,bully,5408,2,2,138,12,74,96,592,1,10,5358,138,4505,6,1,0,2,NORMAL,0,0,2,2,10,0,0,13,57,2,2,0,0,0,0
10018,3,bully,4614,2,2,30,5,81,40,648,1,10,5404,30,4567,6,1,0,2,NORMAL,0,0,2,2,3,0,0,13,64,2,2,0,0,0,0
11039,2,bully,5437,2,2,69,3,83,24,664,1,10,5602,69,4330,6,1,0,2,NORMAL,0,0,2,2,1,0,0,13,66,2,2,0,0,0,0
10209,9,bully,4594,2,2,140,13,72,104,576,1,10,5615,140,4246,6,1,0,2,NORMAL,0,0,2,2,11,0,0,12,56,2,2,0,0,0,0
10903,5,bully,5000,2,1,56,8,78,64,624,1,10,5903,98,4000,5,1,0,2,NORMAL,0,0,1,2,6,0,0,13,61,2,2,0,0,0,0
11188,10,bully,5187,1,1,4001,20,67,160,536,1,10,6001,4001,0,2,1,3,0,LEADER,1,1,0,1,14,2,3,14,53,0,0,0,0,1,0
11460,4,bully,4943,1,1,14,6,81,48,648,1,10,6517,14,3470,4,0,0,3,NORMAL,0,0,1,1,5,0,0,14,62,2,3,0,0,0,0
11324,7,bully,4677,1,1,77,10,77,80,616,1,10,6647,77,3277,4,0,0,3,NORMAL,0,0,1,1,9,0,0,14,58,2,3,0,0,0,0
11597,1,bully,4928,1,1,43,1,86,8,688,1,10,6669,43,3289,4,0,0,3,NORMAL,0,0,1,1,0,0,0,14,67,2,3,0,0,0,0
11881,6,bully,4865,1,1,13,9,78,72,624,1,10,7016,13,2972,4,0,0,3,NORMAL,0,0,1,1,8,0,0,14,59,2,3,0,0,0,0
20766,8,bully,5408,2,2,138,12,79,96,632,1,10,15358,138,4505,6,1,0,7,NORMAL,0,0,2,2,10,0,0,13,57,2,7,0,0,0,0
20018,3,bully,4614,2,2,30,5,86,40,688,1,10,15404,30,4567,6,1,0,7,NORMAL,0,0,2,2,3,0,0,13,64,2,7,0,0,0,0
21039,2,bully,5437,2,2,69,3,88,24,704,1,10,15602,69,4330,6,1,0,7,NORMAL,0,0,2,2,1,0,0,13,66,2,7,0,0,0,0
20209,9,bully,4594,2,2,140,13,77,104,616,1,10,15615,140,4246,6,1,0,7,NORMAL,0,0,2,2,11,0,0,12,56,2,7,0,0,0,0
20903,5,bully,5000,2,1,56,8,83,64,664,1,10,15903,98,4000,5,1,0,7,NORMAL,0,0,1,2,6,0,0,13,61,2,7,0,0,0,0
21188,10,bully,5187,1,1,4001,25,67,200,536,1,10,16001,4001,0,2,1,8,0,LEADER,1,1,0,1,14,2,8,14,53,0,0,0,0,1,0
21460,4,bully,4943,1,1,14,6,86,48,688,1,10,16517,14,3470,4,0,0,8,NORMAL,0,0,1,1,5,0,0,14,62,2,8,0,0,0,0
21324,7,bully,4677,1,1,77,10,82,80,656,1,10,16647,77,3277,4,0,0,8,NORMAL,0,0,1,1,9,0,0,14,58,2,8,0,0,0,0
21597,1,bully,4928,1,1,43,1,91,8,728,1,10,16669,43,3289,4,0,0,8,NORMAL,0,0,1,1,0,0,0,14,67,2,8,0,0,0,0
21881,6,bully,4865,1,1,13,9,83,72,664,1,10,17016,13,2972,4,0,0,8,NORMAL,0,0,1,1,8,0,0,14,59,2,8,0,0,0,0
30766,8,bully,5408,2,2,138,12,84,96,672,1,10,25358,138,4505,6,1,0,12,NORMAL,0,0,2,2,10,0,0,13,57,2,12,0,0,0,0
30018,3,bully,4614,2,2,30,5,91,40,728,1,10,25404,30,4567,6,1,0,12,NORMAL,0,0,2,2,3,0,0,13,64,2,12,0,0,0,0
31039,2,bully,5437,2,2,69,3,93,24,744,1,10,25602,69,4330,6,1,0,12,NORMAL,0,0,2,2,1,0,0,13,66,2,12,0,0,0,0
30209,9,bully,4594,2,2,140,13,82,104,656,1,10,25615,140,4246,6,1,0,12,NORMAL,0,0,2,2,11,0,0,12,56,2,12,0,0,0,0
30903,5,bully,5000,2,1,56,8,88,64,704,1,10,25903,98,4000,5,1,0,12,NORMAL,0,0,1,2,6,0,0,13,61,2,12,0,0,0,0
31188,10,bully,5187,1,1,4001,30,67,240,536,1,10,26001,4001,0,2,1,13,0,LEADER,1,1,0,1,14,2,13,14,53,0,0,0,0,1,0
31460,4,bully,4943,1,1,14,6,91,48,728,1,10,26517,14,3470,4,0,0,13,NORMAL,0,0,1,1,5,0,0,14,62,2,13,0,0,0,0
31324,7,bully,4677,1,1,77,10,87,80,696,1,10,26647,77,3277,4,0,0,13,NORMAL,0,0,1,1,9,0,0,14,58,2,13,0,0,0,0
31597,1,bully,4928,1,1,43,1,96,8,768,1,10,26669,43,3289,4,0,0,13,NORMAL,0,0,1,1,0,0,0,14,67,2,13,0,0,0,0
31881,6,bully,4865,1,1,13,9,88,72,704,1,10,27016,13,2972,4,0,0,13,NORMAL,0,0,1,1,8,0,0,14,59,2,13,0,0,0,0
