trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,bully,10,60,5276,67299,7299
2,bully,10,60,5297,67337,7337
3,bully,10,60,6013,68050,8050
4,bully,10,60,4879,66912,6912
5,bully,10,60,6160,66195,6195
6,bully,10,60,6083,66122,6122
7,bully,10,60,6075,66106,6106
8,bully,10,60,5662,67671,7671
9,bully,10,60,6154,66168,6168
10,bully,10,60,4960,66978,6978
11,bully,10,60,6091,68130,8130
12,bully,10,60,4461,67729,7729
13,bully,10,60,5687,67701,7701
14,bully,10,60,5622,67665,7665
15,bully,10,60,4211,66188,6188
16,bully,10,60,5794,67812,7812
17,bully,10,60,4430,67548,7548
18,bully,10,60,6032,68073,8073
19,bully,10,60,5881,67901,7901
20,bully,10,60,6234,68271,8271
21,bully,10,60,6149,68192,8192
22,bully,10,60,4740,66842,6842
23,bully,10,60,4160,66203,6203
24,bully,10,60,6060,68076,8076
25,bully,10,60,6244,66288,6288
26,bully,10,60,6427,66440,6440
27,bully,10,60,6679,66685,6685
28,bully,10,60,5851,67874,7874
29,bully,10,60,4336,66342,6342
30,bully,10,60,6061,66083,6083
31,bully,10,60,4340,67410,7410
32,bully,10,60,5861,67893,7893
33,bully,10,60,4893,66925,6925
34,bully,10,60,4648,66688,6688
35,bully,10,60,6415,66436,6436
36,bully,10,60,5645,67674,7674
37,bully,10,60,5900,67905,7905
38,bully,10,60,4438,67326,7326
39,bully,10,60,6041,66085,6085
40,bully,10,60,4565,66605,6605
41,bully,10,60,6091,66100,6100
42,bully,10,60,4379,67801,7801
43,bully,10,60,5514,67545,7545
44,bully,10,60,4876,66901,6901
45,bully,10,60,4510,68133,8133
46,bully,10,60,6045,66068,6068
47,bully,10,60,6631,66636,6636
48,bully,10,60,4169,66196,6196
49,bully,10,60,5060,67093,7093
50,bully,10,60,6306,66330,6330
51,bully,10,60,5292,67308,7308
52,bully,10,60,4635,66387,6387
53,bully,10,60,5217,67237,7237
54,bully,10,60,4947,66974,6974
55,bully,10,60,5336,67363,7363
56,bully,10,60,5861,67891,7891
57,bully,10,60,5524,67538,7538
58,bully,10,60,4523,66547,6547
59,bully,10,60,5530,67569,7569
60,bully,10,60,5958,67971,7971
61,bully,10,60,4558,66299,6299
62,bully,10,60,4880,66899,6899
63,bully,10,60,4237,67749,7749
64,bully,10,60,5438,67477,7477
65,bully,10,60,5328,67348,7348
66,bully,10,60,5803,67820,7820
67,bully,10,60,4457,66729,6729
68,bully,10,60,5772,67799,7799
69,bully,10,60,5565,67587,7587
70,bully,10,60,5583,67598,7598
71,bully,10,60,5070,67095,7095
72,bully,10,60,4549,66580,6580
73,bully,10,60,5404,67430,7430
74,bully,10,60,4938,66974,6974
75,bully,10,60,4823,66867,6867
76,bully,10,60,4264,66300,6300
77,bully,10,60,6151,66158,6158
78,bully,10,60,4267,67698,7698
79,bully,10,60,4385,66877,6877
80,bully,10,60,5004,67021,7021
81,bully,10,60,4372,67274,7274
82,bully,10,60,4440,67312,7312
83,bully,10,60,4632,66671,6671
84,bully,10,60,5111,67133,7133
85,bully,10,60,4768,66260,6260
86,bully,10,60,4943,66983,6983
87,bully,10,60,5030,67050,7050
88,bully,10,60,4810,66855,6855
89,bully,10,60,5609,67623,7623
90,bully,10,60,5959,67990,7990
91,bully,10,60,4915,66923,6923
92,bully,10,60,4867,66814,6814
93,bully,10,60,6454,66468,6468
94,bully,10,60,5508,67549,7549
95,bully,10,60,6027,66067,6067
96,bully,10,60,4705,66746,6746
97,bully,10,60,5081,67103,7103
98,bully,10,60,5811,67845,7845
99,bully,10,60,5045,67061,7061
100,bully,10,60,6201,66228,6228
