trial,algorithm,node_count,convergence_time_ms
1,prasle-line,50,2971
6,prasle-line,50,2798
4,prasle-line,50,2765
2,prasle-line,50,2825
7,prasle-line,50,2819
3,prasle-line,50,2807
8,prasle-line,50,2921
13,prasle-line,50,2921
10,prasle-line,50,2893
5,prasle-line,50,2800
11,prasle-line,50,2907
9,prasle-line,50,2869
14,prasle-line,50,2808
12,prasle-line,50,2732
15,prasle-line,50,3003
18,prasle-line,50,2819
17,prasle-line,50,2975
16,prasle-line,50,2852
21,prasle-line,50,2791
19,prasle-line,50,3105
20,prasle-line,50,2751
22,prasle-line,50,2820
24,prasle-line,50,2944
23,prasle-line,50,2864
27,prasle-line,50,2905
26,prasle-line,50,2833
25,prasle-line,50,2884
28,prasle-line,50,2770
29,prasle-line,50,2749
30,prasle-line,50,2940
31,prasle-line,50,2800
34,prasle-line,50,2871
32,prasle-line,50,2821
35,prasle-line,50,3012
37,prasle-line,50,2736
36,prasle-line,50,2810
33,prasle-line,50,2871
38,prasle-line,50,2933
41,prasle-line,50,3105
42,prasle-line,50,2781
40,prasle-line,50,2851
39,prasle-line,50,2825
44,prasle-line,50,2884
43,prasle-line,50,3032
45,prasle-line,50,2971
48,prasle-line,50,3135
46,prasle-line,50,2991
47,prasle-line,50,2754
49,prasle-line,50,2994
50,prasle-line,50,2821
51,prasle-line,50,2727
52,prasle-line,50,2818
53,prasle-line,50,2945
54,prasle-line,50,2958
55,prasle-line,50,2759
56,prasle-line,50,2820
57,prasle-line,50,2843
58,prasle-line,50,2772
60,prasle-line,50,2800
61,prasle-line,50,2776
59,prasle-line,50,2733
62,prasle-line,50,2910
65,prasle-line,50,2725
63,prasle-line,50,2899
64,prasle-line,50,2746
66,prasle-line,50,2782
67,prasle-line,50,2803
68,prasle-line,50,2883
69,prasle-line,50,2915
70,prasle-line,50,2760
71,prasle-line,50,2893
72,prasle-line,50,3036
76,prasle-line,50,2810
73,prasle-line,50,2794
74,prasle-line,50,2813
75,prasle-line,50,2792
78,prasle-line,50,2853
77,prasle-line,50,2718
80,prasle-line,50,2833
81,prasle-line,50,2917
79,prasle-line,50,2773
82,prasle-line,50,2816
83,prasle-line,50,2902
84,prasle-line,50,2765
85,prasle-line,50,2776
87,prasle-line,50,2720
86,prasle-line,50,2814
88,prasle-line,50,2791
89,prasle-line,50,2875
90,prasle-line,50,3010
94,prasle-line,50,2976
91,prasle-line,50,3010
93,prasle-line,50,2725
92,prasle-line,50,2853
95,prasle-line,50,2730
96,prasle-line,50,2721
97,prasle-line,50,2973
98,prasle-line,50,2792
100,prasle-line,50,2979
99,prasle-line,50,2722
