trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,prasle-line,10,60,3274,63152,3152
2,prasle-line,10,60,3151,63029,3029
3,prasle-line,10,60,3397,63274,3274
4,prasle-line,10,60,2936,62814,2814
5,prasle-line,10,60,3240,63118,3118
6,prasle-line,10,60,2837,62715,2715
7,prasle-line,10,60,3050,62928,2928
8,prasle-line,10,60,2989,62867,2867
9,prasle-line,10,60,2868,62746,2746
10,prasle-line,10,60,2986,62863,2863
11,prasle-line,10,60,3357,63235,3235
12,prasle-line,10,60,3001,62879,2879
13,prasle-line,10,60,2841,62719,2719
14,prasle-line,10,60,3287,63164,3164
15,prasle-line,10,60,3224,63102,3102
16,prasle-line,10,60,2818,62696,2696
17,prasle-line,10,60,3144,63022,3022
18,prasle-line,10,60,2851,62729,2729
19,prasle-line,10,60,3234,63112,3112
20,prasle-line,10,60,2964,62842,2842
21,prasle-line,10,60,2845,62723,2723
22,prasle-line,10,60,3054,63257,3257
23,prasle-line,10,60,3060,62938,2938
24,prasle-line,10,60,3101,62979,2979
25,prasle-line,10,60,2939,62817,2817
26,prasle-line,10,60,2936,62814,2814
27,prasle-line,10,60,3032,62910,2910
28,prasle-line,10,60,3122,63000,3000
29,prasle-line,10,60,2942,62820,2820
30,prasle-line,10,60,3071,62949,2949
31,prasle-line,10,60,2998,62876,2876
32,prasle-line,10,60,2810,62688,2688
33,prasle-line,10,60,3413,63291,3291
34,prasle-line,10,60,2924,62802,2802
35,prasle-line,10,60,2872,62750,2750
36,prasle-line,10,60,3151,63029,3029
37,prasle-line,10,60,3061,62939,2939
38,prasle-line,10,60,2935,62813,2813
39,prasle-line,10,60,3217,63095,3095
40,prasle-line,10,60,3200,63078,3078
41,prasle-line,10,60,3031,62909,2909
42,prasle-line,10,60,3022,62902,2902
43,prasle-line,10,60,3133,63011,3011
44,prasle-line,10,60,2935,62813,2813
45,prasle-line,10,60,3140,63018,3018
46,prasle-line,10,60,3210,63088,3088
47,prasle-line,10,60,2873,62751,2751
48,prasle-line,10,60,2991,62869,2869
49,prasle-line,10,60,2976,62854,2854
50,prasle-line,10,60,3282,63160,3160
51,prasle-line,10,60,3004,62882,2882
52,prasle-line,10,60,2903,62781,2781
53,prasle-line,10,60,2846,62722,2722
54,prasle-line,10,60,2880,62957,2957
55,prasle-line,10,60,2956,62834,2834
56,prasle-line,10,60,3097,62975,2975
57,prasle-line,10,60,3159,63465,3465
58,prasle-line,10,60,2929,62807,2807
59,prasle-line,10,60,2851,63433,3433
60,prasle-line,10,60,3066,62944,2944
61,prasle-line,10,60,3076,62954,2954
62,prasle-line,10,60,3006,63160,3160
63,prasle-line,10,60,3311,63189,3189
64,prasle-line,10,60,3243,63119,3119
65,prasle-line,10,60,3278,63156,3156
66,prasle-line,10,60,3183,63059,3059
67,prasle-line,10,60,3011,62889,2889
68,prasle-line,10,60,3184,63336,3336
69,prasle-line,10,60,3013,62891,2891
70,prasle-line,10,60,2896,63268,3268
71,prasle-line,10,60,3309,63187,3187
72,prasle-line,10,60,3278,63156,3156
73,prasle-line,10,60,2935,62813,2813
74,prasle-line,10,60,2871,62749,2749
75,prasle-line,10,60,3306,63233,3233
76,prasle-line,10,60,2835,62713,2713
77,prasle-line,10,60,3372,63250,3250
78,prasle-line,10,60,2761,62639,2639
79,prasle-line,10,60,3054,62932,2932
80,prasle-line,10,60,3021,62899,2899
81,prasle-line,10,60,3159,63037,3037
82,prasle-line,10,60,2868,62746,2746
83,prasle-line,10,60,3022,62900,2900
84,prasle-line,10,60,2796,62674,2674
85,prasle-line,10,60,2820,62698,2698
86,prasle-line,10,60,3236,63114,3114
87,prasle-line,10,60,3105,62983,2983
88,prasle-line,10,60,2916,62794,2794
89,prasle-line,10,60,3485,63363,3363
90,prasle-line,10,60,3260,63138,3138
91,prasle-line,10,60,2863,62740,2740
92,prasle-line,10,60,3272,63150,3150
93,prasle-line,10,60,2876,62754,2754
94,prasle-line,10,60,3485,63363,3363
95,prasle-line,10,60,3034,62912,2912
96,prasle-line,10,60,2965,62843,2843
97,prasle-line,10,60,3050,62928,2928
98,prasle-line,10,60,2876,62952,2952
99,prasle-line,10,60,3397,63275,3275
100,prasle-line,10,60,2904,62781,2781
